https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFUND,Volume USDT
1659564000,2022-08-03 22:00:00,SFUND/USDT,2.7755,2.8099,2.7569,2.7575,36346.07488517,100958.50283009094
1659560400,2022-08-03 21:00:00,SFUND/USDT,2.8064,2.8078,2.7358,2.7702,44172.47775175,122400.341577738429
1659556800,2022-08-03 20:00:00,SFUND/USDT,2.8259,2.8489,2.7883,2.8064,14548.68948285,40908.073747154717
1659553200,2022-08-03 19:00:00,SFUND/USDT,2.7808,2.8457,2.7795,2.8179,13793.68283485,38866.745045252462
1659549600,2022-08-03 18:00:00,SFUND/USDT,2.7751,2.8306,2.7571,2.7813,6264.52430543,17438.444327622034
1659546000,2022-08-03 17:00:00,SFUND/USDT,2.7573,2.8105,2.7465,2.7807,20008.82784872,55330.797188347446
1659542400,2022-08-03 16:00:00,SFUND/USDT,2.5977,2.895,2.5773,2.7573,50869.18781247,135186.274038023867
1659538800,2022-08-03 15:00:00,SFUND/USDT,2.543,2.5998,2.5407,2.5977,15551.37025933,39940.488217488872
1659535200,2022-08-03 14:00:00,SFUND/USDT,2.5175,2.5599,2.5175,2.5429,49466.98803666,125640.732546934654
1659531600,2022-08-03 13:00:00,SFUND/USDT,2.4965,2.5717,2.4887,2.5189,40647.28047681,102060.71731391288
1659528000,2022-08-03 12:00:00,SFUND/USDT,2.5036,2.5592,2.4958,2.4998,25842.58829231,64897.717281589306
1659524400,2022-08-03 11:00:00,SFUND/USDT,2.5102,2.5148,2.495,2.5007,22355.99164729,55960.972493037717
1659520800,2022-08-03 10:00:00,SFUND/USDT,2.4741,2.5192,2.4741,2.5111,14095.35807639,35318.176977868269
1659517200,2022-08-03 09:00:00,SFUND/USDT,2.4629,2.4903,2.4629,2.4783,5144.93699058,12762.164754452902
1659513600,2022-08-03 08:00:00,SFUND/USDT,2.4181,2.599,2.4173,2.4686,32338.40104654,79997.130020931793
1659510000,2022-08-03 07:00:00,SFUND/USDT,2.3417,2.4367,2.3366,2.4258,7655.07900406,18264.871737699571
1659506400,2022-08-03 06:00:00,SFUND/USDT,2.3213,2.3441,2.3074,2.3316,1972.16127581,4576.196624063712
1659502800,2022-08-03 05:00:00,SFUND/USDT,2.303,2.322,2.3013,2.3188,29444.77119883,68050.303297515097
1659499200,2022-08-03 04:00:00,SFUND/USDT,2.2992,2.3107,2.2939,2.302,39890.12834705,91753.247339364039
1659495600,2022-08-03 03:00:00,SFUND/USDT,2.2889,2.3059,2.2889,2.2908,21191.59038919,48628.267220712487
1659492000,2022-08-03 02:00:00,SFUND/USDT,2.2918,2.2935,2.2837,2.2918,11142.53034212,25484.194458700616
1659488400,2022-08-03 01:00:00,SFUND/USDT,2.2771,2.3466,2.2763,2.2947,13637.57330232,31205.602919333704
1659484800,2022-08-03 00:00:00,SFUND/USDT,2.3025,2.3835,2.2767,2.2941,68094.81484046,157176.786623565558
1659481200,2022-08-02 23:00:00,SFUND/USDT,2.3149,2.3197,2.3023,2.3023,71067.77185848,164119.498119594693
1659477600,2022-08-02 22:00:00,SFUND/USDT,2.2964,2.3167,2.2934,2.3151,27417.7812715,63089.540045235597
1659474000,2022-08-02 21:00:00,SFUND/USDT,2.3057,2.3058,2.2903,2.2958,61330.17740336,140834.337084642212
1659470400,2022-08-02 20:00:00,SFUND/USDT,2.3062,2.3072,2.2945,2.3029,27606.71203265,63487.15023381896
1659466800,2022-08-02 19:00:00,SFUND/USDT,2.3076,2.3204,2.2904,2.3079,23546.29070571,54320.156928855964
1659463200,2022-08-02 18:00:00,SFUND/USDT,2.2983,2.32,2.2983,2.3076,38325.18247674,88339.632740904922
1659459600,2022-08-02 17:00:00,SFUND/USDT,2.308,2.3198,2.2978,2.2998,7096.75127811,16392.04428605866
1659456000,2022-08-02 16:00:00,SFUND/USDT,2.2002,2.308,2.2002,2.308,20267.2612259,45673.684966174825
1659452400,2022-08-02 15:00:00,SFUND/USDT,2.1939,2.2039,2.1931,2.2016,15272.34153385,33525.802304950464
1659448800,2022-08-02 14:00:00,SFUND/USDT,2.172,2.1948,2.17,2.1936,76950.02336192,168000.52859238495
1659445200,2022-08-02 13:00:00,SFUND/USDT,2.1572,2.172,2.1572,2.1714,63019.47086068,136644.560699181157
1659441600,2022-08-02 12:00:00,SFUND/USDT,2.1746,2.1764,2.1554,2.1554,20872.76085919,45273.200272328846
1659438000,2022-08-02 11:00:00,SFUND/USDT,2.1601,2.1788,2.1564,2.1754,17481.71863345,37801.694954841813
1659434400,2022-08-02 10:00:00,SFUND/USDT,2.136,2.1633,2.1328,2.1603,34928.60444534,75074.739819491513
1659430800,2022-08-02 09:00:00,SFUND/USDT,2.1652,2.167,2.133,2.1365,56946.96853835,122533.09592415603
1659427200,2022-08-02 08:00:00,SFUND/USDT,2.1592,2.1967,2.1375,2.1615,17459.53203497,37690.148344331719
1659423600,2022-08-02 07:00:00,SFUND/USDT,2.154,2.1622,2.1406,2.1622,8974.77778323,19283.149161215525
1659420000,2022-08-02 06:00:00,SFUND/USDT,2.1531,2.1817,2.1428,2.149,15546.4429887,33639.493629567358
1659416400,2022-08-02 05:00:00,SFUND/USDT,2.1464,2.1585,2.1414,2.1536,23084.16288469,49641.625514260937
1659412800,2022-08-02 04:00:00,SFUND/USDT,2.1554,2.1635,2.1454,2.1471,44702.3684203,96375.768656390746
