https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UAH,Volume ETH
1653350400000,2022-05-24 00:00:00,ETH/UAH,73144.8992,74141.3044,70308.8372,71347.7605,47599206.47374784,667.14366562
1653264000000,2022-05-23 00:00:00,ETH/UAH,74674.0862,76316.9,72749.5275,72978.8016,54478665.76338756,746.49986803
1653177600000,2022-05-22 00:00:00,ETH/UAH,72587.2194,74943.2979,71900.0,74836.4374,52847963.689358234,706.17957676
1653091200000,2022-05-21 00:00:00,ETH/UAH,71302.6527,73287.7154,71000.0,72716.8848,52575402.20277421,723.01505142
1653004800000,2022-05-20 00:00:00,ETH/UAH,71824.6346,72700.0,70000.0011,71178.4585,52500627.44182613,737.59152064
1652918400000,2022-05-19 00:00:00,ETH/UAH,67426.5052,72150.0,67227.8615,71897.29,53270777.01181935,740.92885854
1652832000000,2022-05-18 00:00:00,ETH/UAH,71732.0759,72163.1381,67181.0,67331.5261,50557389.167487,750.87246786
1652745600000,2022-05-17 00:00:00,ETH/UAH,68540.2932,72483.7348,68274.2,71748.5032,52722973.92221882,734.83029709
1652659200000,2022-05-16 00:00:00,ETH/UAH,71462.9663,71652.651,67072.8947,68292.07,51300391.167637445,751.19104118
1652572800000,2022-05-15 00:00:00,ETH/UAH,70288.6617,72005.6884,68474.7236,71602.3368,53302542.2309877,744.42461815
1652486400000,2022-05-14 00:00:00,ETH/UAH,69348.4162,71172.5191,67071.1775,70236.8924,52234590.251628615,743.69164789
1652400000000,2022-05-13 00:00:00,ETH/UAH,66951.5424,73369.0,66120.0526,69455.166,52502430.08032223,755.91828663
1652313600000,2022-05-12 00:00:00,ETH/UAH,69580.2471,72610.0468,60304.8782,66557.4917,49619066.448401734,745.50685702
1652227200000,2022-05-11 00:00:00,ETH/UAH,77010.186,81507.3218,67300.0,68910.3021,51858586.60589572,752.55201364
1652140800000,2022-05-10 00:00:00,ETH/UAH,73875.7405,80066.3839,72533.7097,76923.9573,57231237.59675632,743.99757378
1652054400000,2022-05-09 00:00:00,ETH/UAH,83089.6505,83440.0373,73154.849,73426.688,56723500.40639021,772.51884773
1651968000000,2022-05-08 00:00:00,ETH/UAH,87842.3847,87893.0048,80300.0001,83148.7206,62605554.824342795,752.93467383
1651881600000,2022-05-07 00:00:00,ETH/UAH,89744.933,89912.8,86693.0906,87813.25,64425599.298338614,733.66603899
1651795200000,2022-05-06 00:00:00,ETH/UAH,91581.8177,91829.7999,87815.3,89777.4863,66957200.96160088,745.81282815
1651708800000,2022-05-05 00:00:00,ETH/UAH,97159.2532,97444.7009,90531.4,91593.9787,68525272.39814453,748.14167231
1651622400000,2022-05-04 00:00:00,ETH/UAH,92665.0459,98999.9999,92283.8,97197.558,70804741.65164836,728.46214564
1651536000000,2022-05-03 00:00:00,ETH/UAH,95297.7968,95349.6171,92000.0,92670.9129,64047858.070274375,691.13226649
1651449600000,2022-05-02 00:00:00,ETH/UAH,94705.1403,95999.9797,92827.764,95302.8022,71519291.34566781,750.44269103
1651363200000,2022-05-01 00:00:00,ETH/UAH,93236.864,95099.1556,93000.0,94721.2065,70117585.6972704,740.25224433
1651276800000,2022-04-30 00:00:00,ETH/UAH,95938.5854,96574.8999,93161.7621,93197.8727,70002350.3118921,751.1153236
1651190400000,2022-04-29 00:00:00,ETH/UAH,99555.1322,99873.1999,95500,95931.2895,69041604.11727989,719.69848917
1651104000000,2022-04-28 00:00:00,ETH/UAH,97020.2101,101036.8611,96500.0012,99575.506,76315531.55417773,766.40867438
1651017600000,2022-04-27 00:00:00,ETH/UAH,93590.0308,97863.3857,93270.3896,97038.7126,69702318.73437351,718.29393514
1650931200000,2022-04-26 00:00:00,ETH/UAH,99946.5453,100316.0,92907.9756,93599.0505,71540234.73282763,764.32650065
1650844800000,2022-04-25 00:00:00,ETH/UAH,95777.547,100156.9167,91000.0002,99957.7577,75121182.88418433,751.5292921
1650758400000,2022-04-24 00:00:00,ETH/UAH,96250.4895,96250.4895,95914.2018,95938.5279,3789535.7964324444,39.49962418
1650672000000,2022-04-23 00:00:00,ETH/UAH,96109.8988,96722.908,94899.7877,96250.4756,71436326.83899733,742.19193613
1650585600000,2022-04-22 00:00:00,ETH/UAH,96278.2723,97705.4678,95710.9001,96195.8698,72888997.34944522,757.71441644
1650499200000,2022-04-21 00:00:00,ETH/UAH,98232.332,98383.3366,98095.607,98318.936,3552258.8434450887,36.12995612
1650412800000,2022-04-20 00:00:00,ETH/UAH,97979.2303,99738.7,97186.2,98193.5032,73025898.03757891,743.6937848
1650326400000,2022-04-19 00:00:00,ETH/UAH,97522.3756,99000.0,96118.2655,98060.3806,72931689.09450065,743.74266802
1650240000000,2022-04-18 00:00:00,ETH/UAH,95847.5819,97602.0,92164.33,97501.8243,71699025.11628717,735.36085741
1650153600000,2022-04-17 00:00:00,ETH/UAH,98126.9127,98154.0274,95854.9143,95889.6357,69340178.88088064,723.12485468
1650067200000,2022-04-16 00:00:00,ETH/UAH,97568.0928,98585.6167,96497.1,98116.5119,73005308.78271739,744.06751085
1649980800000,2022-04-15 00:00:00,ETH/UAH,96592.1346,98203.5997,96289.2238,97564.0455,58559127.53670677,600.21217075
1649894400000,2022-04-14 00:00:00,ETH/UAH,99877.7037,100277.0191,95553.6456,96514.1644,49152821.89046279,509.28091432
1649808000000,2022-04-13 00:00:00,ETH/UAH,96965.3033,100235.5736,96056.1328,99860.3348,49639382.318574935,497.08808225
1649721600000,2022-04-12 00:00:00,ETH/UAH,95691.6203,98742.0,94753.517,96970.173,49141201.84792574,506.76615631
1649635200000,2022-04-11 00:00:00,ETH/UAH,102776.2433,103199.485,94880.991,95546.7113,48430099.30852264,506.87353494
1649548800000,2022-04-10 00:00:00,ETH/UAH,104815.5968,104858.3601,104384.6905,104423.4256,1872198.7852895136,17.92891561
1649462400000,2022-04-09 00:00:00,ETH/UAH,102145.4727,104947.0798,102145.4727,104834.4269,52315620.27084732,499.03091778
1649376000000,2022-04-08 00:00:00,ETH/UAH,103701.6023,106100.7651,101800.0,102136.9782,51586683.956523776,505.07352837
1649289600000,2022-04-07 00:00:00,ETH/UAH,101664.5499,104729.7437,100986.5458,103724.6093,53784445.22849331,518.53119131
1649203200000,2022-04-06 00:00:00,ETH/UAH,109338.3429,109338.3429,101576.0398,101599.6794,52799034.905912004,519.67718026
1649116800000,2022-04-05 00:00:00,ETH/UAH,112778.8585,113254.0499,105000.0,109285.7492,51484781.01799025,471.1024209
