https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BMON,Volume USDT
1653436800,2022-05-25 00:00:00,BMON/USDT,0.01648,0.0169,0.01621,0.01648,6112400.50632643,101283.9041699428043
1653350400,2022-05-24 00:00:00,BMON/USDT,0.01619,0.01684,0.016,0.01648,6391925.71959142,105378.1772956107093
1653264000,2022-05-23 00:00:00,BMON/USDT,0.01657,0.01787,0.016,0.01618,9234249.65801712,156206.6485118565997
1653177600,2022-05-22 00:00:00,BMON/USDT,0.01636,0.01721,0.01562,0.01659,10211606.60148196,168118.3429153789189
1653091200,2022-05-21 00:00:00,BMON/USDT,0.01554,0.01642,0.01534,0.01636,10746212.1479484,169757.7801236445153
1653004800,2022-05-20 00:00:00,BMON/USDT,0.01654,0.01707,0.0151,0.01555,12053101.78480367,193271.3880033898783
1652918400,2022-05-19 00:00:00,BMON/USDT,0.01513,0.01791,0.015,0.01653,10756714.53761265,170544.3806034020604
1652832000,2022-05-18 00:00:00,BMON/USDT,0.01495,0.01568,0.01485,0.01513,12165286.98746657,183491.2502980354626
1652745600,2022-05-17 00:00:00,BMON/USDT,0.01376,0.01576,0.01373,0.01494,6935388.74480044,103247.3858099860019
1652659200,2022-05-16 00:00:00,BMON/USDT,0.01415,0.0151,0.0133,0.01371,21856138.9467258,304019.3464460666254
1652572800,2022-05-15 00:00:00,BMON/USDT,0.01283,0.01498,0.0127,0.01415,17338588.77796164,229260.8937074190807
1652486400,2022-05-14 00:00:00,BMON/USDT,0.01313,0.01337,0.01193,0.01286,8598576.83407756,111174.6813093562848
1652400000,2022-05-13 00:00:00,BMON/USDT,0.01172,0.01442,0.01105,0.01312,12113049.67621978,160711.5045157528567
1652313600,2022-05-12 00:00:00,BMON/USDT,0.01439,0.0153,0.00733,0.01175,17120271.98348843,205035.9585112434212
1652227200,2022-05-11 00:00:00,BMON/USDT,0.0177,0.01822,0.0138,0.0144,31787946.68029827,516543.9216168295079
1652140800,2022-05-10 00:00:00,BMON/USDT,0.0173,0.01854,0.0161,0.01772,36883787.60506937,652723.8140678293092
1652054400,2022-05-09 00:00:00,BMON/USDT,0.02016,0.02039,0.01683,0.01726,32954266.04796048,626795.630586663879
1651968000,2022-05-08 00:00:00,BMON/USDT,0.02148,0.02166,0.02,0.02016,19644050.76449112,409397.7666165457039
1651881600,2022-05-07 00:00:00,BMON/USDT,0.0223,0.0227,0.0212,0.02157,15997766.62535789,353396.931971186808
1651795200,2022-05-06 00:00:00,BMON/USDT,0.02225,0.02276,0.0217,0.02231,17449816.85803986,389795.354778922065
1651708800,2022-05-05 00:00:00,BMON/USDT,0.02417,0.02528,0.0218,0.02235,17015295.98581054,398293.0054356999194
1651622400,2022-05-04 00:00:00,BMON/USDT,0.02366,0.02475,0.02311,0.02417,9529641.10378641,224896.7804466425609
1651536000,2022-05-03 00:00:00,BMON/USDT,0.02369,0.02465,0.02338,0.02366,5581217.25017596,132834.8472420029746
1651449600,2022-05-02 00:00:00,BMON/USDT,0.02444,0.02471,0.02334,0.02369,17908055.15016449,428489.6945331054851
1651363200,2022-05-01 00:00:00,BMON/USDT,0.02331,0.02478,0.02311,0.02467,20377042.76965195,481199.674163370989
1651276800,2022-04-30 00:00:00,BMON/USDT,0.02469,0.0254,0.02302,0.0234,18422428.43841493,456041.6426153876845
1651190400,2022-04-29 00:00:00,BMON/USDT,0.02694,0.0273,0.02454,0.02468,15492373.74793917,399650.0563561183576
1651104000,2022-04-28 00:00:00,BMON/USDT,0.02625,0.02946,0.0261,0.02694,15776012.52620227,422873.317923898515
1651017600,2022-04-27 00:00:00,BMON/USDT,0.02607,0.02689,0.02541,0.02626,8765141.12150721,230545.9494051272429
1650931200,2022-04-26 00:00:00,BMON/USDT,0.02869,0.0289,0.02555,0.02614,1332254.73058598,36616.3543080484116
1650844800,2022-04-25 00:00:00,BMON/USDT,0.02939,0.0298,0.02807,0.02887,1721324.63064289,49682.4226981369851
1650758400,2022-04-24 00:00:00,BMON/USDT,0.0297,0.03017,0.02905,0.02939,1984715.74965412,58811.2895802922347
1650672000,2022-04-23 00:00:00,BMON/USDT,0.0337,0.03383,0.02902,0.02975,7922661.01459618,243910.6580097370632
1650585600,2022-04-22 00:00:00,BMON/USDT,0.03743,0.03769,0.03146,0.0337,11157810.90322717,378392.9254849135797
1650499200,2022-04-21 00:00:00,BMON/USDT,0.04174,0.04533,0.0363,0.03743,10684659.62435926,431835.2457500687168
1650412800,2022-04-20 00:00:00,BMON/USDT,0.04485,0.04628,0.04118,0.04176,2136735.55194181,92283.4427847615768
1650326400,2022-04-19 00:00:00,BMON/USDT,0.04623,0.068,0.0433,0.04481,26260703.70411779,1302778.5045491949336
1650240000,2022-04-18 00:00:00,BMON/USDT,0.04243,0.06515,0.03901,0.0465,20801787.67968809,1048830.3650335102814
1650153600,2022-04-17 00:00:00,BMON/USDT,0.04425,0.04529,0.0419,0.04243,201674.75626898,8695.7840355866587
1650067200,2022-04-16 00:00:00,BMON/USDT,0.04456,0.04559,0.0435,0.04402,115898.02977821,5179.5423188178222
1649980800,2022-04-15 00:00:00,BMON/USDT,0.0458,0.04614,0.0434,0.0446,170147.59519808,7636.8175359671282
1649894400,2022-04-14 00:00:00,BMON/USDT,0.04693,0.0481,0.04341,0.046,478694.5866074,21550.7209141472926
1649808000,2022-04-13 00:00:00,BMON/USDT,0.04509,0.05097,0.04494,0.04677,638911.78456681,30016.8865558128309
1649721600,2022-04-12 00:00:00,BMON/USDT,0.0432,0.04563,0.04257,0.04485,388877.0782452,17155.4267018295393
1649635200,2022-04-11 00:00:00,BMON/USDT,0.04599,0.04657,0.04301,0.04352,583829.14680346,26003.936058368101
1649548800,2022-04-10 00:00:00,BMON/USDT,0.04603,0.0498,0.04568,0.04593,1710122.30331727,81138.7859727965326
