https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDAO,Volume USDT
1650067200,2022-04-16 00:00:00,SDAO/USDT,1.7397,1.754,1.6511,1.6803,262951.00967715,444603.374275325123
1649980800,2022-04-15 00:00:00,SDAO/USDT,1.8264,1.837,1.6335,1.7402,645149.6851388,1106858.414471128317
1649894400,2022-04-14 00:00:00,SDAO/USDT,1.7367,1.968,1.7296,1.8263,802490.48489486,1493939.762703388914
1649808000,2022-04-13 00:00:00,SDAO/USDT,1.6543,1.7523,1.5711,1.7377,295842.20430858,491674.207552886212
1649721600,2022-04-12 00:00:00,SDAO/USDT,1.5081,1.7239,1.484,1.6543,566695.12854332,915734.226259330874
1649635200,2022-04-11 00:00:00,SDAO/USDT,1.5995,1.6023,1.4135,1.51,432894.0100861,648151.158917455632
1649548800,2022-04-10 00:00:00,SDAO/USDT,1.5638,1.6428,1.5622,1.603,127623.19118512,205292.797335752588
1649462400,2022-04-09 00:00:00,SDAO/USDT,1.5352,1.5939,1.5301,1.5642,182458.59333728,284636.475934000704
1649376000,2022-04-08 00:00:00,SDAO/USDT,1.6206,1.6743,1.532,1.5381,319013.66806134,515695.346207466912
1649289600,2022-04-07 00:00:00,SDAO/USDT,1.4971,1.6278,1.496,1.6206,296582.40426615,465691.95727251224
1649203200,2022-04-06 00:00:00,SDAO/USDT,1.631,1.631,1.4711,1.498,306600.08290951,470329.534166629694
1649116800,2022-04-05 00:00:00,SDAO/USDT,1.6233,1.6795,1.5889,1.6315,227507.60280616,372517.350590380034
1649030400,2022-04-04 00:00:00,SDAO/USDT,1.622,1.641,1.5285,1.624,264905.33298332,420080.478431214788
1648944000,2022-04-03 00:00:00,SDAO/USDT,1.5487,1.6692,1.5282,1.6274,204163.15990994,326200.770861419987
1648857600,2022-04-02 00:00:00,SDAO/USDT,1.602,1.602,1.5228,1.5484,249791.79003654,390155.875267884867
1648771200,2022-04-01 00:00:00,SDAO/USDT,1.326,1.7153,1.287,1.602,698954.58026947,1018906.598033011198
1648684800,2022-03-31 00:00:00,SDAO/USDT,1.5206,1.523,1.3197,1.325,447415.45634642,639479.091119304291
1648598400,2022-03-30 00:00:00,SDAO/USDT,1.6074,1.61,1.513,1.5202,284309.16716524,441883.779099938672
1648512000,2022-03-29 00:00:00,SDAO/USDT,1.653,1.7613,1.5796,1.61,340522.30929907,567973.999704290031
1648425600,2022-03-28 00:00:00,SDAO/USDT,1.597,1.7768,1.5661,1.6501,489328.43647392,811803.747689623624
1648339200,2022-03-27 00:00:00,SDAO/USDT,1.512,1.6027,1.494,1.5889,231569.99207063,354208.109188217377
1648252800,2022-03-26 00:00:00,SDAO/USDT,1.5551,1.5563,1.4528,1.512,342983.91598796,518097.154031917479
1648166400,2022-03-25 00:00:00,SDAO/USDT,1.496,1.5918,1.495,1.5564,525252.35554254,814628.905667119578
1648080000,2022-03-24 00:00:00,SDAO/USDT,1.5606,1.7466,1.475,1.497,582613.07698768,897184.345279763244
1647993600,2022-03-23 00:00:00,SDAO/USDT,1.427,1.617,1.3708,1.5539,627797.30242815,946579.493133586132
1647907200,2022-03-22 00:00:00,SDAO/USDT,1.331,1.761,1.2996,1.4272,959045.50495058,1422001.852316188396
1647820800,2022-03-21 00:00:00,SDAO/USDT,1.1039,1.63,1.099,1.3281,559053.02827397,700654.487634795508
1647734400,2022-03-20 00:00:00,SDAO/USDT,1.045,1.1393,1.0442,1.1037,483773.33797306,529566.380189477209
1647648000,2022-03-19 00:00:00,SDAO/USDT,0.958,1.0557,0.9568,1.0464,267575.64970805,265266.53385576726
1647561600,2022-03-18 00:00:00,SDAO/USDT,0.9396,0.9612,0.91,0.958,191130.9309424,178713.04686878683
1647475200,2022-03-17 00:00:00,SDAO/USDT,0.9089,0.95,0.902,0.9427,146120.15548302,136382.465913329963
1647388800,2022-03-16 00:00:00,SDAO/USDT,0.832,0.9119,0.8232,0.9105,220358.32559853,189884.375893348782
1647302400,2022-03-15 00:00:00,SDAO/USDT,0.838,0.8434,0.8146,0.83,173255.58235729,143893.532915228828
1647216000,2022-03-14 00:00:00,SDAO/USDT,0.842,0.8502,0.8218,0.8391,148583.98576613,124652.216848413223
1647129600,2022-03-13 00:00:00,SDAO/USDT,0.867,0.868,0.8404,0.842,262930.1340282,223520.110828280774
1647043200,2022-03-12 00:00:00,SDAO/USDT,0.813,0.8783,0.8122,0.8671,139576.08423475,119274.47116819356
1646956800,2022-03-11 00:00:00,SDAO/USDT,0.7821,0.8131,0.7749,0.8131,126675.21855738,100116.404038381722
1646870400,2022-03-10 00:00:00,SDAO/USDT,0.783,0.786,0.758,0.783,76135.63744763,58832.612720317588
1646784000,2022-03-09 00:00:00,SDAO/USDT,0.7738,0.7989,0.7738,0.783,63659.3343694,50258.62455866502
1646697600,2022-03-08 00:00:00,SDAO/USDT,0.768,0.7819,0.7642,0.772,59171.99045132,45741.788135056847
