https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LOKA,Volume USDT
1652918400,2022-05-19 00:00:00,LOKA/USDT,1.0315,1.084,0.9563,1.0618,193216.99056904,197067.185313557924
1652832000,2022-05-18 00:00:00,LOKA/USDT,1.1269,1.1694,0.972,1.028,229167.14018218,246473.214122091292
1652745600,2022-05-17 00:00:00,LOKA/USDT,1.0405,1.1723,1.0318,1.122,193645.27077176,214099.734109490944
1652659200,2022-05-16 00:00:00,LOKA/USDT,1.2368,1.2433,1.0348,1.0348,162483.60019616,178014.270962260943
1652572800,2022-05-15 00:00:00,LOKA/USDT,1.1551,1.2634,1.0918,1.2386,148251.58097219,173562.739085120861
1652486400,2022-05-14 00:00:00,LOKA/USDT,1.088,1.195,0.9811,1.1638,231216.50060306,253452.596800736677
1652400000,2022-05-13 00:00:00,LOKA/USDT,0.9971,1.386,0.9544,1.0991,478947.1474035,579504.730909673266
1652313600,2022-05-12 00:00:00,LOKA/USDT,1.088,1.3389,0.77,0.9937,332078.84877255,331242.997339174238
1652227200,2022-05-11 00:00:00,LOKA/USDT,2.1857,2.25,0.8787,1.0866,593520.20844736,923913.673474725096
1652140800,2022-05-10 00:00:00,LOKA/USDT,2.2875,2.4829,2.01,2.1897,378412.16811783,865895.808829495525
1652054400,2022-05-09 00:00:00,LOKA/USDT,2.6061,2.8459,2.283,2.283,466962.31229606,1238090.841353904581
1651968000,2022-05-08 00:00:00,LOKA/USDT,2.5566,2.684,2.4509,2.6049,166851.53517431,425090.89493549838
1651881600,2022-05-07 00:00:00,LOKA/USDT,2.6508,2.6854,2.4799,2.5591,95273.00585212,247676.995245761337
1651795200,2022-05-06 00:00:00,LOKA/USDT,2.7128,2.7815,2.5471,2.6521,436518.73516521,1166124.179821821531
1651708800,2022-05-05 00:00:00,LOKA/USDT,2.9019,3.1963,2.5531,2.7152,403282.78963943,1160892.345106185932
1651622400,2022-05-04 00:00:00,LOKA/USDT,2.606,2.9582,2.6005,2.8927,222347.77594593,614495.905577690589
1651536000,2022-05-03 00:00:00,LOKA/USDT,2.8739,2.9955,2.6054,2.6071,197950.21875708,554521.801182097777
1651449600,2022-05-02 00:00:00,LOKA/USDT,2.7101,3.095,2.71,2.8663,421918.7791704,1212455.015123140999
1651363200,2022-05-01 00:00:00,LOKA/USDT,2.3578,2.7472,2.3424,2.7098,214874.01623183,539604.645544629082
1651276800,2022-04-30 00:00:00,LOKA/USDT,2.5062,2.6838,2.3493,2.3571,217681.97721135,553074.497523770879
1651190400,2022-04-29 00:00:00,LOKA/USDT,2.6289,3.176,2.4973,2.4992,567445.3593415,1595739.120665448697
1651104000,2022-04-28 00:00:00,LOKA/USDT,2.4914,3.0967,2.3688,2.6252,570820.29813019,1570511.949893500317
1651017600,2022-04-27 00:00:00,LOKA/USDT,2.234,2.5761,2.2006,2.492,323242.58161452,771526.28153919985
1650931200,2022-04-26 00:00:00,LOKA/USDT,2.5917,2.6758,2.2171,2.2322,181148.69853935,440732.356821709187
1650844800,2022-04-25 00:00:00,LOKA/USDT,2.6705,2.6798,2.3561,2.5921,165944.88593413,418168.703355977138
1650758400,2022-04-24 00:00:00,LOKA/USDT,2.7984,2.8636,2.5831,2.6697,130900.60464021,354483.022986418972
1650672000,2022-04-23 00:00:00,LOKA/USDT,2.8601,2.9,2.76,2.7935,139523.5901648,394963.815219254332
1650585600,2022-04-22 00:00:00,LOKA/USDT,2.844,2.9556,2.7458,2.863,116986.52297126,333084.239849497639
1650499200,2022-04-21 00:00:00,LOKA/USDT,3.0006,3.3793,2.8414,2.8447,224459.7108199,692517.907004593124
1650412800,2022-04-20 00:00:00,LOKA/USDT,3.1593,3.3202,2.9652,3.0059,235124.18493019,729007.7062251583
1650326400,2022-04-19 00:00:00,LOKA/USDT,3.2101,3.5031,3.085,3.1678,309423.57184779,1010301.332450022834
1650240000,2022-04-18 00:00:00,LOKA/USDT,2.7516,3.4003,2.7229,3.2039,780216.45728503,2338557.224134043505
1650153600,2022-04-17 00:00:00,LOKA/USDT,2.7067,3.1587,2.6367,2.7553,304772.90869371,884609.843771242214
1650067200,2022-04-16 00:00:00,LOKA/USDT,2.6883,2.7375,2.6018,2.7157,91757.79105475,245553.932116495357
1649980800,2022-04-15 00:00:00,LOKA/USDT,2.7226,2.8115,2.6,2.6881,86026.3004893,231502.846537597851
1649894400,2022-04-14 00:00:00,LOKA/USDT,2.9043,3.0533,2.6938,2.7202,105507.58050194,303463.260389465513
1649808000,2022-04-13 00:00:00,LOKA/USDT,2.8174,2.9446,2.7216,2.9043,156571.47024473,445071.948519286969
1649721600,2022-04-12 00:00:00,LOKA/USDT,2.7721,2.9616,2.7056,2.8222,145516.45233703,413672.257024603341
1649635200,2022-04-11 00:00:00,LOKA/USDT,3.2885,3.3133,2.7047,2.7626,253589.82063277,767229.05399415125
1649548800,2022-04-10 00:00:00,LOKA/USDT,3.188,3.6,3.188,3.2793,274367.4011563,938918.914936617947
1649462400,2022-04-09 00:00:00,LOKA/USDT,3.0367,3.2204,2.9606,3.188,117612.24270447,365240.173252906265
1649376000,2022-04-08 00:00:00,LOKA/USDT,3.2904,3.4428,3.0177,3.0343,178566.09923635,576072.42456420247
1649289600,2022-04-07 00:00:00,LOKA/USDT,3.2186,3.4879,3.1182,3.3018,184409.11608074,608669.261464960674
1649203200,2022-04-06 00:00:00,LOKA/USDT,3.4573,3.8932,3.2046,3.2121,307753.17484289,1087420.170982361908
1649116800,2022-04-05 00:00:00,LOKA/USDT,3.525,4.0471,3.4039,3.4549,338195.88048239,1269298.339315372388
1649030400,2022-04-04 00:00:00,LOKA/USDT,4.0161,4.0314,3.3514,3.5255,272856.30044337,1008501.461823198037
1648944000,2022-04-03 00:00:00,LOKA/USDT,4.1016,4.4853,3.8041,4.0156,378370.42198029,1568609.738883727571
1648857600,2022-04-02 00:00:00,LOKA/USDT,4.0941,5.4596,4.025,4.1139,1094381.43767955,5049015.133803173334
1648771200,2022-04-01 00:00:00,LOKA/USDT,3.9181,4.9668,3.664,4.0941,870181.50285748,3797730.823414455851
1648684800,2022-03-31 00:00:00,LOKA/USDT,4.2626,5,3.8058,3.932,1015768.02167663,4292546.187783665855
1648598400,2022-03-30 00:00:00,LOKA/USDT,3.929,5.928,3.5272,4.272,2630306.87371678,12095702.390638934483
1648512000,2022-03-29 00:00:00,LOKA/USDT,1.757,4.1,1.757,3.929,1286717.20916246,4417647.539027689527
