https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WNCG,Volume BTC
1650844800,2022-04-25 00:00:00,WNCG/BTC,0.00001445,0.00001817,0.00001309,0.0000149,50256.8214,0.71585659183
1650758400,2022-04-24 00:00:00,WNCG/BTC,0.00001452,0.00001473,0.00001438,0.00001448,13704.6109,0.199904067653
1650672000,2022-04-23 00:00:00,WNCG/BTC,0.00001504,0.00001506,0.00001439,0.00001455,4569.73044953,0.0674153484039218
1650585600,2022-04-22 00:00:00,WNCG/BTC,0.00001523,0.00001531,0.00001494,0.00001508,5958.7331,0.090461466404
1650499200,2022-04-21 00:00:00,WNCG/BTC,0.00001631,0.00001631,0.00001505,0.0000151,9609.031,0.150954526363
1650412800,2022-04-20 00:00:00,WNCG/BTC,0.00001651,0.00001658,0.00001594,0.00001617,9104.92036803,0.1480042320548965
1650326400,2022-04-19 00:00:00,WNCG/BTC,0.00001643,0.00001661,0.00001629,0.00001648,8496.1777,0.139592895491
1650240000,2022-04-18 00:00:00,WNCG/BTC,0.00001689,0.00001718,0.00001572,0.00001645,21061.89998102,0.348249492713793
1650153600,2022-04-17 00:00:00,WNCG/BTC,0.00001729,0.00001737,0.0000169,0.00001694,1262.7703,0.021564445831
1650067200,2022-04-16 00:00:00,WNCG/BTC,0.0000169,0.00001728,0.00001686,0.00001724,6571.3019,0.112275592218
1649980800,2022-04-15 00:00:00,WNCG/BTC,0.00001717,0.00001815,0.00001684,0.00001693,11795.35145397,0.2047632968767487
1649894400,2022-04-14 00:00:00,WNCG/BTC,0.0000174,0.00001752,0.00001683,0.00001721,5376.83755058,0.0916324152049992
1649808000,2022-04-13 00:00:00,WNCG/BTC,0.00001763,0.00001775,0.00001722,0.00001739,4213.5897,0.073505905911
1649721600,2022-04-12 00:00:00,WNCG/BTC,0.00001733,0.0000177,0.00001733,0.00001766,4422.0147,0.077412364998
1649635200,2022-04-11 00:00:00,WNCG/BTC,0.00001715,0.00001787,0.00001662,0.00001729,7180.8722,0.123136928254
1649548800,2022-04-10 00:00:00,WNCG/BTC,0.00001733,0.0000178,0.00001708,0.00001722,7513.66414119,0.1309860741878822
1649462400,2022-04-09 00:00:00,WNCG/BTC,0.00001716,0.00001756,0.00001699,0.0000174,2782.41662909,0.0482061485628388
1649376000,2022-04-08 00:00:00,WNCG/BTC,0.00001753,0.00001797,0.00001687,0.00001718,8469.4371,0.144992046096
1649289600,2022-04-07 00:00:00,WNCG/BTC,0.00001719,0.00001786,0.00001701,0.0000176,12747.0716,0.221958682579
1649203200,2022-04-06 00:00:00,WNCG/BTC,0.00001728,0.00001778,0.00001658,0.0000172,15538.2155,0.264533603973
1649116800,2022-04-05 00:00:00,WNCG/BTC,0.00001763,0.00001851,0.0000169,0.00001724,18302.3950378,0.324633091429864
1649030400,2022-04-04 00:00:00,WNCG/BTC,0.00001858,0.00001921,0.0000173,0.00001758,22563.887,0.411029499667
1648944000,2022-04-03 00:00:00,WNCG/BTC,0.00001907,0.0000209,0.00001765,0.00001849,60844.60559466,1.1870456642538942
1648857600,2022-04-02 00:00:00,WNCG/BTC,0.00001875,0.00002112,0.0000176,0.00001898,218738.0802,4.19032489374
