https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume ETH
1654153200,2022-06-02 07:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1654149600,2022-06-02 06:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1654146000,2022-06-02 05:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1654142400,2022-06-02 04:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1654138800,2022-06-02 03:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1654135200,2022-06-02 02:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1654131600,2022-06-02 01:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1654128000,2022-06-02 00:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1654124400,2022-06-01 23:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.00000000,0.0
1654120800,2022-06-01 22:00:00,LINK/ETH,0.00378000,0.00378000,0.00378000,0.00378000,0.91748700,0.00346810086
1654117200,2022-06-01 21:00:00,LINK/ETH,0.00383398,0.00383398,0.00383398,0.00383398,0.00000000,0.0
1654113600,2022-06-01 20:00:00,LINK/ETH,0.00383398,0.00383398,0.00383398,0.00383398,0.00000000,0.0
1654110000,2022-06-01 19:00:00,LINK/ETH,0.00383398,0.00383398,0.00383398,0.00383398,0.00000000,0.0
1654106400,2022-06-01 18:00:00,LINK/ETH,0.00383398,0.00383398,0.00383398,0.00383398,0.00000000,0.0
1654102800,2022-06-01 17:00:00,LINK/ETH,0.00383398,0.00383398,0.00383398,0.00383398,0.00000000,0.0
1654099200,2022-06-01 16:00:00,LINK/ETH,0.00383398,0.00383398,0.00383398,0.00383398,0.00000000,0.0
1654095600,2022-06-01 15:00:00,LINK/ETH,0.00383398,0.00383398,0.00383398,0.00383398,2.84765700,0.01091785998486
1654092000,2022-06-01 14:00:00,LINK/ETH,0.00389864,0.00389864,0.00389864,0.00389864,0.00000000,0.0
1654088400,2022-06-01 13:00:00,LINK/ETH,0.00389864,0.00389864,0.00389864,0.00389864,0.00000000,0.0
1654084800,2022-06-01 12:00:00,LINK/ETH,0.00389864,0.00389864,0.00389864,0.00389864,0.00000000,0.0
