https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BICO,Volume USDT
1652227200,2022-05-11 00:00:00,BICO/USDT,0.742,0.769,0.435,0.489,387724.84228624,220284.72734248527
1652140800,2022-05-10 00:00:00,BICO/USDT,0.733,0.82,0.704,0.749,366780.0892888,282587.6574710909
1652054400,2022-05-09 00:00:00,BICO/USDT,0.916,0.932,0.727,0.728,504823.90506263,421909.96264306993
1651968000,2022-05-08 00:00:00,BICO/USDT,0.962,0.965,0.896,0.909,249924.05448346,232502.76892879926
1651881600,2022-05-07 00:00:00,BICO/USDT,1.046,1.059,0.941,0.964,214619.24758607,216964.97371268307
1651795200,2022-05-06 00:00:00,BICO/USDT,1.033,1.049,0.991,1.044,221640.64211571,226613.82742253956
1651708800,2022-05-05 00:00:00,BICO/USDT,1.141,1.164,0.998,1.035,263804.58461204,281074.92018949861
1651622400,2022-05-04 00:00:00,BICO/USDT,1.035,1.171,1.035,1.14,284311.22358781,311674.72840306197
1651536000,2022-05-03 00:00:00,BICO/USDT,1.047,1.132,1.031,1.037,236056.93914038,252465.95871591273
1651449600,2022-05-02 00:00:00,BICO/USDT,1.073,1.142,1.011,1.042,202087.71606381,215953.88108760386
1651363200,2022-05-01 00:00:00,BICO/USDT,1.007,1.106,1.006,1.073,120233.1828603,127197.2937298672
1651276800,2022-04-30 00:00:00,BICO/USDT,1.1,1.14,1,1.009,146124.93271269,157866.23235986046
1651190400,2022-04-29 00:00:00,BICO/USDT,1.182,1.193,1.082,1.096,72235.84067055,82161.82241662952
1651104000,2022-04-28 00:00:00,BICO/USDT,1.213,1.245,1.162,1.181,67440.71802894,80839.55312356871
1651017600,2022-04-27 00:00:00,BICO/USDT,1.13,1.3,1.116,1.215,92119.34146898,111579.19614875982
1650931200,2022-04-26 00:00:00,BICO/USDT,1.238,1.258,1.107,1.133,43331.05806213,51750.14525102697
1650844800,2022-04-25 00:00:00,BICO/USDT,1.281,1.281,1.16,1.238,168438.43161397,203277.5361190201
1650758400,2022-04-24 00:00:00,BICO/USDT,1.303,1.327,1.272,1.278,137339.14034016,178329.00531680906
1650672000,2022-04-23 00:00:00,BICO/USDT,1.324,1.349,1.289,1.303,102547.1631221,135511.00636868685
1650585600,2022-04-22 00:00:00,BICO/USDT,1.338,1.37,1.298,1.321,56774.33376268,75454.30810380507
1650499200,2022-04-21 00:00:00,BICO/USDT,1.453,1.476,1.328,1.348,120351.23457137,169247.3008173586
1650412800,2022-04-20 00:00:00,BICO/USDT,1.365,1.56,1.336,1.459,321473.61929311,461617.62231107963
