https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GALAX3S,Volume USDT
1653782400,2022-05-29 00:00:00,GALAX3S/USDT,3.8551,4.2249,2.8572,2.9337,58136.96370551,202702.951993023555
1653696000,2022-05-28 00:00:00,GALAX3S/USDT,4.3107,4.4654,3.7382,3.8366,41341.02154964,166778.343127290107
1653609600,2022-05-27 00:00:00,GALAX3S/USDT,3.8682,4.6842,3.6662,4.3107,75430.67135991,312687.521456703629
1653523200,2022-05-26 00:00:00,GALAX3S/USDT,3.048,4.1335,2.6971,3.8682,88437.37580418,305312.324948223064
1653436800,2022-05-25 00:00:00,GALAX3S/USDT,2.7369,3.1794,2.6135,3.048,56103.53407207,165463.049031858968
1653350400,2022-05-24 00:00:00,GALAX3S/USDT,3.1093,3.5,2.6048,2.7063,72759.56647227,220917.928501673281
1653264000,2022-05-23 00:00:00,GALAX3S/USDT,2.6992,3.2388,2.0902,3.1093,115297.7764889,294776.486655811834
1653177600,2022-05-22 00:00:00,GALAX3S/USDT,2.6063,3,2.5606,2.6971,52450.96080858,144098.681065975008
1653091200,2022-05-21 00:00:00,GALAX3S/USDT,2.9835,3.312,2.5111,2.5861,55911.12352183,165164.096923885848
1653004800,2022-05-20 00:00:00,GALAX3S/USDT,2.695,3.4228,2.5,3.0077,112530.0827373,344576.455102436045
1652918400,2022-05-19 00:00:00,GALAX3S/USDT,3.9376,4.4434,2.4685,2.694,144140.08981468,475272.983408348613
1652832000,2022-05-18 00:00:00,GALAX3S/USDT,2.8701,4.1121,2.71,3.9376,97673.23469113,346003.269030749845
1652745600,2022-05-17 00:00:00,GALAX3S/USDT,3.2409,3.5324,2.4524,2.87,90642.46287739,267818.501657891999
1652659200,2022-05-16 00:00:00,GALAX3S/USDT,2.2455,3.369,2.2455,3.2528,131967.59929143,401430.273936449078
1652572800,2022-05-15 00:00:00,GALAX3S/USDT,2.2455,3.0058,2.0203,2.2409,98006.02368348,256702.043241630614
1652486400,2022-05-14 00:00:00,GALAX3S/USDT,3.5952,3.6661,1.9377,2.2724,327996.727431,972675.414375115625
1652400000,2022-05-13 00:00:00,GALAX3S/USDT,15.5953,16.9379,2.45,3.5954,339127.4072522,1415743.05132111437
1652313600,2022-05-12 00:00:00,GALAX3S/USDT,18.1475,29.8074,11.864,15.5025,84866.22567623,1688258.62212144689
1652227200,2022-05-11 00:00:00,GALAX3S/USDT,8.3778,20,7.4719,18.0033,64969.71932884,897062.270019742763
1652140800,2022-05-10 00:00:00,GALAX3S/USDT,11.3381,12.5,5.8558,8.3778,58204.23974052,474759.338670362083
1652054400,2022-05-09 00:00:00,GALAX3S/USDT,7.0482,11.3657,6.6553,11.3489,50405.9759591,455213.224337449039
1651968000,2022-05-08 00:00:00,GALAX3S/USDT,6.3917,7.4323,6.1182,7.03,34631.76155966,231583.561576402708
1651881600,2022-05-07 00:00:00,GALAX3S/USDT,5.5228,6.9069,5.0226,6.4,44775.03739998,268257.255665439175
1651795200,2022-05-06 00:00:00,GALAX3S/USDT,6.1363,7,4.943,5.5067,74542.58205172,445294.787018326358
1651708800,2022-05-05 00:00:00,GALAX3S/USDT,4.3471,6.7999,4.2162,6.1295,100065.18667349,564680.198210734211
1651622400,2022-05-04 00:00:00,GALAX3S/USDT,8.5063,8.6356,4.0001,4.3471,82225.46004591,504131.703532497289
1651536000,2022-05-03 00:00:00,GALAX3S/USDT,8.6514,9.258,7.044,8.5063,41978.63748536,352691.21160485219
1651449600,2022-05-02 00:00:00,GALAX3S/USDT,7.4989,9.1146,7.3512,8.6512,29902.74282864,245661.295464529657
