https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ADA,Volume EUR
1650128400,2022-04-16 17:00:00,ADA/EUR,0.87457,0.87457,0.87316,0.87323,249.73422940,218.07542113896199
1650124800,2022-04-16 16:00:00,ADA/EUR,0.87311,0.87317,0.87163,0.87163,12802.35963028,11158.920724540956
1650121200,2022-04-16 15:00:00,ADA/EUR,0.88503,0.88503,0.86822,0.86822,1588.14686133,1378.8608679439326
1650117600,2022-04-16 14:00:00,ADA/EUR,0.88363,0.88549,0.88248,0.88549,392.47228264,347.5302815548936
1650114000,2022-04-16 13:00:00,ADA/EUR,0.88488,0.88488,0.88107,0.88224,105.93718995,93.46202646148801
1650110400,2022-04-16 12:00:00,ADA/EUR,0.88289,0.88289,0.87997,0.88190,272.97031531,240.73252107188898
1650106800,2022-04-16 11:00:00,ADA/EUR,0.88270,0.88439,0.88111,0.88111,215.90519123,190.2362230446653
1650103200,2022-04-16 10:00:00,ADA/EUR,0.88071,0.88364,0.88071,0.88364,780.04830826,689.2818871108664
1650099600,2022-04-16 09:00:00,ADA/EUR,0.88475,0.88475,0.88112,0.88154,1278.52741832,1127.0730603458128
1650096000,2022-04-16 08:00:00,ADA/EUR,0.88844,0.88844,0.88494,0.88494,5000.58143218,4425.214532593369
1650092400,2022-04-16 07:00:00,ADA/EUR,0.88758,0.88759,0.88758,0.88759,1122.44523401,996.2711652549358
1650088800,2022-04-16 06:00:00,ADA/EUR,0.88716,0.88772,0.88716,0.88723,1375.30773823,1220.214284589803
1650085200,2022-04-16 05:00:00,ADA/EUR,0.88360,0.88506,0.88360,0.88506,1084.31843038,959.6868699921229
1650081600,2022-04-16 04:00:00,ADA/EUR,0.88426,0.88426,0.88426,0.88426,0.00000000,0.0
1650078000,2022-04-16 03:00:00,ADA/EUR,0.88426,0.88426,0.88426,0.88426,69.64731125,61.586331445925005
1650074400,2022-04-16 02:00:00,ADA/EUR,0.88857,0.88857,0.88443,0.88443,178.44867500,157.82536163025003
1650070800,2022-04-16 01:00:00,ADA/EUR,0.88573,0.88958,0.88322,0.88958,415.09164632,369.2572267333456
