https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KAR,Volume USDT
1655856000,2022-06-22 00:00:00,KAR/USDT,0.4898,0.4931,0.4671,0.4721,49237.81966148,23774.009138468846
1655769600,2022-06-21 00:00:00,KAR/USDT,0.4977,0.5235,0.4834,0.4898,113359.69680639,57461.501774273901
1655683200,2022-06-20 00:00:00,KAR/USDT,0.4915,0.5124,0.4723,0.4994,91110.02287014,45209.21251775533
1655596800,2022-06-19 00:00:00,KAR/USDT,0.4693,0.4944,0.43,0.4944,133041.25451866,62196.494348480034
1655510400,2022-06-18 00:00:00,KAR/USDT,0.4481,0.56,0.4191,0.4723,632614.57124824,309170.20467361155
1655424000,2022-06-17 00:00:00,KAR/USDT,0.4383,0.4622,0.438,0.4482,27770.29893046,12408.38360128769
1655337600,2022-06-16 00:00:00,KAR/USDT,0.4965,0.5105,0.4338,0.4338,41381.74527204,19139.958749518364
1655251200,2022-06-15 00:00:00,KAR/USDT,0.4701,0.5124,0.4286,0.4965,123767.02489325,56667.72854526431
1655164800,2022-06-14 00:00:00,KAR/USDT,0.4334,0.4872,0.4058,0.4694,188123.27399716,85114.493400634098
1655078400,2022-06-13 00:00:00,KAR/USDT,0.4314,0.4415,0.391,0.435,192157.44519968,79881.982842254232
1654992000,2022-06-12 00:00:00,KAR/USDT,0.4621,0.4664,0.4314,0.4338,99986.91112897,44767.187528147213
1654905600,2022-06-11 00:00:00,KAR/USDT,0.4775,0.487,0.4514,0.4611,62725.07403913,29157.089044282149
1654819200,2022-06-10 00:00:00,KAR/USDT,0.5064,0.5241,0.4661,0.478,74730.46213738,36896.582361510121
1654732800,2022-06-09 00:00:00,KAR/USDT,0.4945,0.55,0.4945,0.5064,227136.49472034,118676.270064204435
1654646400,2022-06-08 00:00:00,KAR/USDT,0.5104,0.513,0.488,0.4931,39025.21376239,19545.584616630968
1654560000,2022-06-07 00:00:00,KAR/USDT,0.5197,0.5237,0.4986,0.5112,45687.04872836,23218.967434452549
1654473600,2022-06-06 00:00:00,KAR/USDT,0.5179,0.5494,0.5111,0.5197,34197.40085668,18213.182609778459
1654387200,2022-06-05 00:00:00,KAR/USDT,0.5161,0.539,0.505,0.5199,17191.64946545,8915.085565005786
1654300800,2022-06-04 00:00:00,KAR/USDT,0.519,0.5213,0.5053,0.5125,10320.99009129,5340.870785380905
1654214400,2022-06-03 00:00:00,KAR/USDT,0.5557,0.5595,0.5107,0.5188,45370.16971683,24138.589640322227
1654128000,2022-06-02 00:00:00,KAR/USDT,0.5356,0.6025,0.5299,0.5525,42757.11985103,23343.606826552489
1654041600,2022-06-01 00:00:00,KAR/USDT,0.5843,0.6277,0.524,0.5411,49258.18893497,28706.168269510903
1653955200,2022-05-31 00:00:00,KAR/USDT,0.5773,0.5998,0.567,0.5839,85065.37192001,49330.257644621977
1653868800,2022-05-30 00:00:00,KAR/USDT,0.5055,0.6313,0.4996,0.5772,93115.72603927,50597.31647677719
1653782400,2022-05-29 00:00:00,KAR/USDT,0.4896,0.5151,0.4803,0.5031,41625.65340877,20748.5737275918
1653696000,2022-05-28 00:00:00,KAR/USDT,0.4843,0.5026,0.4754,0.4903,26239.97651904,12887.873560142149
1653609600,2022-05-27 00:00:00,KAR/USDT,0.5003,0.5084,0.47,0.4853,89916.21961053,43997.524494685707
1653523200,2022-05-26 00:00:00,KAR/USDT,0.5773,0.5881,0.4882,0.5053,130741.96468364,68564.043737394218
1653436800,2022-05-25 00:00:00,KAR/USDT,0.5953,0.6294,0.5667,0.5773,48668.57984539,28807.101789359702
1653350400,2022-05-24 00:00:00,KAR/USDT,0.5898,0.6065,0.553,0.5995,43253.68118541,25149.977292230574
1653264000,2022-05-23 00:00:00,KAR/USDT,0.604,0.6281,0.5805,0.5923,82769.456832,50099.589724980237
1653177600,2022-05-22 00:00:00,KAR/USDT,0.5772,0.6255,0.5752,0.6052,67076.60160744,40180.192270191175
1653091200,2022-05-21 00:00:00,KAR/USDT,0.5642,0.5945,0.5518,0.5748,54807.36262629,31069.015235450203
1653004800,2022-05-20 00:00:00,KAR/USDT,0.5891,0.608,0.54,0.5717,89386.51381304,51070.872272158337
1652918400,2022-05-19 00:00:00,KAR/USDT,0.5727,0.5969,0.5441,0.583,145124.76427828,82589.695131874924
1652832000,2022-05-18 00:00:00,KAR/USDT,0.6329,0.6351,0.5451,0.5714,71843.85117857,41821.777513340156
1652745600,2022-05-17 00:00:00,KAR/USDT,0.5962,0.6538,0.5932,0.6334,57202.48118686,35478.389659740369
1652659200,2022-05-16 00:00:00,KAR/USDT,0.6457,0.6612,0.584,0.5969,164461.20498935,100460.565101201729
1652572800,2022-05-15 00:00:00,KAR/USDT,0.6149,0.6649,0.5683,0.6523,211462.45115175,130351.095703002978
1652486400,2022-05-14 00:00:00,KAR/USDT,0.6055,0.6505,0.549,0.6211,107190.27752193,63496.889519967835
1652400000,2022-05-13 00:00:00,KAR/USDT,0.5762,0.6767,0.568,0.6055,159088.25762878,101351.366127271299
1652313600,2022-05-12 00:00:00,KAR/USDT,0.608,0.632,0.549,0.5793,223631.07428737,130052.121514653499
1652227200,2022-05-11 00:00:00,KAR/USDT,0.7977,0.8263,0.6,0.6084,291082.00695149,199531.130922381659
1652140800,2022-05-10 00:00:00,KAR/USDT,0.7703,0.868,0.7411,0.7994,108597.16638971,88664.616810640996
1652054400,2022-05-09 00:00:00,KAR/USDT,0.9022,0.9249,0.7649,0.7712,213160.85454663,176650.326038945807
1651968000,2022-05-08 00:00:00,KAR/USDT,1.0395,1.05,0.8912,0.9026,148408.3387724,140488.304285958016
1651881600,2022-05-07 00:00:00,KAR/USDT,1.086,1.0982,1.0129,1.0413,74209.06022786,78527.971851147691
1651795200,2022-05-06 00:00:00,KAR/USDT,1.0931,1.1332,1.05,1.089,78989.26188035,85299.795786963831
1651708800,2022-05-05 00:00:00,KAR/USDT,1.1973,1.3348,1.08,1.0893,82474.27768844,95001.087406377305
1651622400,2022-05-04 00:00:00,KAR/USDT,1.0842,1.2141,1.0801,1.2013,80341.36077658,91388.190801373692
1651536000,2022-05-03 00:00:00,KAR/USDT,1.1167,1.14,1.08,1.0852,37314.48957392,41175.629750839023
1651449600,2022-05-02 00:00:00,KAR/USDT,1.1093,1.14,1.0801,1.1173,47119.00542413,52264.017528762503
1651363200,2022-05-01 00:00:00,KAR/USDT,1.0733,1.1227,1,1.1133,87349.91281043,94330.788258657464
1651276800,2022-04-30 00:00:00,KAR/USDT,1.175,1.2032,1.05,1.0774,70663.70771747,79402.327493005362
1651190400,2022-04-29 00:00:00,KAR/USDT,1.2543,1.26,1.1601,1.1773,63852.33952214,76933.566755811311
1651104000,2022-04-28 00:00:00,KAR/USDT,1.2333,1.2788,1.2274,1.2573,41383.18076546,51843.420941132625
1651017600,2022-04-27 00:00:00,KAR/USDT,1.2568,1.2899,1.2201,1.2334,45405.69873295,56866.370104260516
1650931200,2022-04-26 00:00:00,KAR/USDT,1.3482,1.3547,1.23,1.2506,38054.97820668,49340.022280926937
1650844800,2022-04-25 00:00:00,KAR/USDT,1.3079,1.3512,1.22,1.3512,73718.03778412,93998.082352666411
1650758400,2022-04-24 00:00:00,KAR/USDT,1.3241,1.34,1.2901,1.3093,29241.61930287,38304.45297077256
1650672000,2022-04-23 00:00:00,KAR/USDT,1.3533,1.3605,1.2362,1.3205,66659.9626275,87909.110101701551
1650585600,2022-04-22 00:00:00,KAR/USDT,1.3733,1.4143,1.32,1.3547,75927.95918883,103981.758857409399
1650499200,2022-04-21 00:00:00,KAR/USDT,1.4173,1.4865,1.3289,1.376,80285.52321343,115292.861484113738
1650412800,2022-04-20 00:00:00,KAR/USDT,1.4084,1.584,1.3745,1.4206,84833.84621525,122162.805464387854
1650326400,2022-04-19 00:00:00,KAR/USDT,1.3607,1.5285,1.3212,1.4132,72998.69153864,101034.710733985839
1650240000,2022-04-18 00:00:00,KAR/USDT,1.4053,1.4147,1.2355,1.3633,131889.31283169,173653.760452080917
1650153600,2022-04-17 00:00:00,KAR/USDT,1.4813,1.4977,1.4025,1.4126,45184.29280887,65928.630312890349
1650067200,2022-04-16 00:00:00,KAR/USDT,1.3949,1.5075,1.3949,1.4808,45783.67466104,66478.607265378362
1649980800,2022-04-15 00:00:00,KAR/USDT,1.4013,1.4337,1.3466,1.3959,53651.1544076,73915.070089500763
1649894400,2022-04-14 00:00:00,KAR/USDT,1.4053,1.455,1.3787,1.4013,66389.26660149,93921.35679650664
1649808000,2022-04-13 00:00:00,KAR/USDT,1.3598,1.4284,1.2898,1.4,89518.97121914,121111.368881158475
1649721600,2022-04-12 00:00:00,KAR/USDT,1.3225,1.408,1.288,1.3639,70969.92932848,96713.511344356896
1649635200,2022-04-11 00:00:00,KAR/USDT,1.5582,1.5629,1.3006,1.3186,112394.29683605,158540.91814459477
1649548800,2022-04-10 00:00:00,KAR/USDT,1.4565,1.602,1.4561,1.5588,106568.7925222,161655.594091411945
1649462400,2022-04-09 00:00:00,KAR/USDT,1.4677,1.686,1.41,1.4603,243334.33463674,366411.836479648916
1649376000,2022-04-08 00:00:00,KAR/USDT,1.633,1.75,1.4268,1.4613,236822.43372952,375899.631501182011
1649289600,2022-04-07 00:00:00,KAR/USDT,1.6612,1.7068,1.6,1.6343,80707.84019936,132855.566032537218
1649203200,2022-04-06 00:00:00,KAR/USDT,1.7508,1.8225,1.6089,1.6612,120879.96051836,204711.466963781323
1649116800,2022-04-05 00:00:00,KAR/USDT,1.8576,1.9415,1.7385,1.7508,103188.17776245,190561.638406751746
1649030400,2022-04-04 00:00:00,KAR/USDT,1.8932,1.8932,1.7649,1.8645,96038.47534717,175007.163275497139
1648944000,2022-04-03 00:00:00,KAR/USDT,1.9368,2.0038,1.812,1.8856,144373.80919906,275027.295755294496
1648857600,2022-04-02 00:00:00,KAR/USDT,1.7692,2.1677,1.7613,1.9381,342380.15236298,675128.04869293492
1648771200,2022-04-01 00:00:00,KAR/USDT,1.745,1.8,1.6552,1.7613,157325.72526582,273494.454897161468
1648684800,2022-03-31 00:00:00,KAR/USDT,1.6818,1.8145,1.6408,1.7411,183007.30695693,318495.217476062818
