https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume KNC,Volume USDT
1655769600,2022-06-21 00:00:00,KNC/USDT,1.315,1.56,1.277,1.372,213013.61002628,295989.57965301921
1655683200,2022-06-20 00:00:00,KNC/USDT,1.31,1.33,1.223,1.315,129958.80354162,167866.41127007768
1655596800,2022-06-19 00:00:00,KNC/USDT,1.251,1.327,1.16,1.31,53737.8240944,68122.15307540343
1655510400,2022-06-18 00:00:00,KNC/USDT,1.373,1.38,1.045,1.247,133372.48869232,157173.94148204324
1655424000,2022-06-17 00:00:00,KNC/USDT,1.347,1.422,1.334,1.372,21139.16789103,29057.13645752904
1655337600,2022-06-16 00:00:00,KNC/USDT,1.528,1.56,1.322,1.351,63069.41132454,87981.41874661317
1655251200,2022-06-15 00:00:00,KNC/USDT,1.352,1.541,1.288,1.52,151636.8278643,213237.30703444962
1655164800,2022-06-14 00:00:00,KNC/USDT,1.225,1.383,1.118,1.354,81575.31719034,104309.73111021926
1655078400,2022-06-13 00:00:00,KNC/USDT,1.45,1.45,1.169,1.232,89087.73442777,110937.15130208934
1654992000,2022-06-12 00:00:00,KNC/USDT,1.643,1.658,1.438,1.438,36493.0443874,55362.26123278953
1654905600,2022-06-11 00:00:00,KNC/USDT,1.767,1.811,1.577,1.647,54603.11054124,94915.52597784616
1654819200,2022-06-10 00:00:00,KNC/USDT,1.888,1.898,1.738,1.769,53624.73241035,97405.71578551213
1654732800,2022-06-09 00:00:00,KNC/USDT,1.87,1.907,1.844,1.888,57550.00034864,108217.96825215606
1654646400,2022-06-08 00:00:00,KNC/USDT,1.894,1.965,1.848,1.87,56682.70008308,107754.66118816964
1654560000,2022-06-07 00:00:00,KNC/USDT,1.968,1.968,1.808,1.893,52055.33949317,97425.61765053676
1654473600,2022-06-06 00:00:00,KNC/USDT,1.896,2.06,1.886,1.973,178506.50250292,352475.31532001574
1654387200,2022-06-05 00:00:00,KNC/USDT,1.908,1.968,1.865,1.9,27389.76267035,52124.75193428749
1654300800,2022-06-04 00:00:00,KNC/USDT,1.908,1.939,1.835,1.896,21436.5349875,40411.2329787337
1654214400,2022-06-03 00:00:00,KNC/USDT,2.024,2.024,1.849,1.913,69817.14259905,134305.73775200094
1654128000,2022-06-02 00:00:00,KNC/USDT,1.989,2.06,1.894,2.025,74037.38451565,144814.40375545411
1654041600,2022-06-01 00:00:00,KNC/USDT,2.196,2.28,1.921,1.996,199965.47419688,421994.03722331594
1653955200,2022-05-31 00:00:00,KNC/USDT,2.225,2.476,2.115,2.185,153193.6426339,342691.06402812574
1653868800,2022-05-30 00:00:00,KNC/USDT,1.904,2.317,1.865,2.229,93305.47259991,201887.18912052843
1653782400,2022-05-29 00:00:00,KNC/USDT,1.915,1.938,1.796,1.9,37879.52657764,70569.92977675142
1653696000,2022-05-28 00:00:00,KNC/USDT,1.799,1.96,1.795,1.911,132271.15773587,253857.16388591891
1653609600,2022-05-27 00:00:00,KNC/USDT,1.921,1.94,1.745,1.796,98162.95295876,178771.91206490911
1653523200,2022-05-26 00:00:00,KNC/USDT,2.151,2.151,1.83,1.919,442839.23186436,873683.05124987753
1653436800,2022-05-25 00:00:00,KNC/USDT,2.144,2.31,2.027,2.146,210989.57988041,456826.66410688815
1653350400,2022-05-24 00:00:00,KNC/USDT,2.215,2.238,1.972,2.144,276301.96849652,577445.74993283186
1653264000,2022-05-23 00:00:00,KNC/USDT,2.577,2.577,2.134,2.207,262341.17183612,624393.79118433162
1653177600,2022-05-22 00:00:00,KNC/USDT,2.576,2.669,2.503,2.58,200044.33177171,512198.29452700312
1653091200,2022-05-21 00:00:00,KNC/USDT,2.605,2.671,2.459,2.571,279325.69805927,711747.30800405605
1653004800,2022-05-20 00:00:00,KNC/USDT,2.658,2.9,2.435,2.598,685621.18186469,1798936.79418387445
1652918400,2022-05-19 00:00:00,KNC/USDT,2.2,2.696,1.998,2.662,638959.13177581,1465490.22554796312
1652832000,2022-05-18 00:00:00,KNC/USDT,2.12,2.35,1.979,2.19,508531.93208237,1099127.85622434429
1652745600,2022-05-17 00:00:00,KNC/USDT,1.537,2.167,1.534,2.127,409824.67787475,783219.7378467467
1652659200,2022-05-16 00:00:00,KNC/USDT,1.715,1.716,1.486,1.535,73680.51323454,115473.12651030522
1652572800,2022-05-15 00:00:00,KNC/USDT,1.652,1.72,1.536,1.72,178356.76959341,288336.18801130729
1652486400,2022-05-14 00:00:00,KNC/USDT,1.55,1.78,1.446,1.652,201066.54854167,326521.70259977969
1652400000,2022-05-13 00:00:00,KNC/USDT,1.295,1.892,1.276,1.55,218685.30716137,367669.14997737985
1652313600,2022-05-12 00:00:00,KNC/USDT,1.456,1.537,1.115,1.298,170614.73676703,219621.98945664113
1652227200,2022-05-11 00:00:00,KNC/USDT,1.988,2.057,1.326,1.449,192429.32753002,315886.69106628399
1652140800,2022-05-10 00:00:00,KNC/USDT,2.057,2.306,1.894,1.994,238378.4791607,504511.21122242134
1652054400,2022-05-09 00:00:00,KNC/USDT,2.403,2.524,2.028,2.043,437664.26205605,1015234.25275781394
1651968000,2022-05-08 00:00:00,KNC/USDT,2.627,2.63,2.284,2.405,239292.88634034,573070.27680595553
1651881600,2022-05-07 00:00:00,KNC/USDT,3.032,3.04,2.545,2.624,51932.96418811,143942.2098269138
1651795200,2022-05-06 00:00:00,KNC/USDT,3.03,3.113,2.714,3.023,218720.99534076,640647.94399405483
1651708800,2022-05-05 00:00:00,KNC/USDT,3.742,3.819,2.974,3.037,386425.88486271,1297251.8242653259
1651622400,2022-05-04 00:00:00,KNC/USDT,3.487,3.78,3.21,3.738,430436.22442057,1494783.12630035384
1651536000,2022-05-03 00:00:00,KNC/USDT,4.07,4.08,3.439,3.497,173443.07934777,642776.40134201718
1651449600,2022-05-02 00:00:00,KNC/USDT,4.538,4.676,3.94,4.082,190304.28282365,796559.35545760906
1651363200,2022-05-01 00:00:00,KNC/USDT,4.882,5.001,4.416,4.539,149893.88731041,696642.548676536
1651276800,2022-04-30 00:00:00,KNC/USDT,5.328,5.371,4.856,4.887,112765.54742048,574982.82292802481
1651190400,2022-04-29 00:00:00,KNC/USDT,5.543,5.727,5.121,5.328,131208.75560203,709663.02283101088
1651104000,2022-04-28 00:00:00,KNC/USDT,5.563,5.737,5.177,5.545,127888.07808558,705866.7749934056
1651017600,2022-04-27 00:00:00,KNC/USDT,5.23,5.65,5.122,5.559,67674.30755392,368358.30016375098
1650931200,2022-04-26 00:00:00,KNC/USDT,4.38,5.666,4.38,5.243,90929.95374396,490027.546904083
