https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DPET,Volume USDT
1653091200,2022-05-21 00:00:00,DPET/USDT,0.1878,0.1997,0.1794,0.1938,338083.70553628,63115.560458968719
1653004800,2022-05-20 00:00:00,DPET/USDT,0.1801,0.1947,0.1744,0.1868,507043.52525509,93073.916550682715
1652918400,2022-05-19 00:00:00,DPET/USDT,0.1736,0.195,0.1569,0.1801,631928.63048594,108507.582411874266
1652832000,2022-05-18 00:00:00,DPET/USDT,0.1843,0.1856,0.1724,0.1736,21884.95395093,3905.919928208145
1652745600,2022-05-17 00:00:00,DPET/USDT,0.1846,0.19,0.1754,0.1843,308229.57539251,56825.239015268794
1652659200,2022-05-16 00:00:00,DPET/USDT,0.2006,0.2006,0.1819,0.1847,132651.79003696,24597.50871687238
1652572800,2022-05-15 00:00:00,DPET/USDT,0.1672,0.3176,0.1617,0.2006,648569.51049126,129631.281418771757
1652486400,2022-05-14 00:00:00,DPET/USDT,0.173,0.1811,0.1557,0.167,266007.25723352,44658.367653727473
1652400000,2022-05-13 00:00:00,DPET/USDT,0.1582,0.1944,0.1575,0.173,339338.94225724,60378.98396623857
1652313600,2022-05-12 00:00:00,DPET/USDT,0.1795,0.1897,0.147,0.1583,317806.56134433,53470.245158133069
1652227200,2022-05-11 00:00:00,DPET/USDT,0.2229,0.23,0.1784,0.1784,363399.92038952,76483.8452056494
1652140800,2022-05-10 00:00:00,DPET/USDT,0.2253,0.2328,0.215,0.2221,89447.91499166,20169.829701890464
1652054400,2022-05-09 00:00:00,DPET/USDT,0.2628,0.2643,0.2094,0.2253,491702.13822382,121088.026736743859
1651968000,2022-05-08 00:00:00,DPET/USDT,0.292,0.292,0.2606,0.2627,193159.76399765,52971.759472393335
1651881600,2022-05-07 00:00:00,DPET/USDT,0.3045,0.3064,0.2916,0.2917,227501.36635504,68243.210439724463
1651795200,2022-05-06 00:00:00,DPET/USDT,0.3061,0.3099,0.2984,0.3046,313546.33315126,95602.187202921897
1651708800,2022-05-05 00:00:00,DPET/USDT,0.3197,0.362,0.3045,0.3054,552802.81806005,183429.341442952154
1651622400,2022-05-04 00:00:00,DPET/USDT,0.3137,0.3254,0.3071,0.3205,400376.30020045,126723.301644728357
1651536000,2022-05-03 00:00:00,DPET/USDT,0.3137,0.3167,0.3038,0.313,431300.43088919,134153.803286931535
1651449600,2022-05-02 00:00:00,DPET/USDT,0.3141,0.3194,0.3105,0.3136,375943.00090757,118413.004106718572
1651363200,2022-05-01 00:00:00,DPET/USDT,0.311,0.3218,0.3069,0.3137,285316.475325,90128.284340582139
1651276800,2022-04-30 00:00:00,DPET/USDT,0.3194,0.3292,0.3116,0.3117,402806.25561567,130252.121925461304
1651190400,2022-04-29 00:00:00,DPET/USDT,0.3367,0.3466,0.3185,0.3185,417433.21185887,141043.91343977661
1651104000,2022-04-28 00:00:00,DPET/USDT,0.3209,0.3417,0.3209,0.3367,336398.05043285,111790.036390200519
1651017600,2022-04-27 00:00:00,DPET/USDT,0.3188,0.3287,0.3181,0.3213,248189.87351744,80367.301419913164
1650931200,2022-04-26 00:00:00,DPET/USDT,0.3314,0.338,0.3153,0.3186,393906.60560183,130546.384837777722
1650844800,2022-04-25 00:00:00,DPET/USDT,0.3326,0.3383,0.3216,0.3308,311827.55380277,103090.181018413928
1650758400,2022-04-24 00:00:00,DPET/USDT,0.3275,0.3698,0.3273,0.3336,529061.1218474,179843.261840340681
1650672000,2022-04-23 00:00:00,DPET/USDT,0.3325,0.3377,0.324,0.3275,540966.89295091,179246.327864199227
1650585600,2022-04-22 00:00:00,DPET/USDT,0.3383,0.3479,0.3284,0.3328,365554.22784783,124089.154682477543
1650499200,2022-04-21 00:00:00,DPET/USDT,0.3494,0.355,0.3383,0.3383,480578.22966235,167529.347413065384
1650412800,2022-04-20 00:00:00,DPET/USDT,0.3577,0.3643,0.3468,0.3494,559628.84888039,198881.367512615316
1650326400,2022-04-19 00:00:00,DPET/USDT,0.3416,0.3622,0.3363,0.3576,754603.2837514,259930.098332786317
1650240000,2022-04-18 00:00:00,DPET/USDT,0.3421,0.3467,0.3315,0.3417,729124.46032107,247095.063055153549
1650153600,2022-04-17 00:00:00,DPET/USDT,0.3449,0.3649,0.3313,0.3421,478665.65808217,168157.55507154075
1650067200,2022-04-16 00:00:00,DPET/USDT,0.3454,0.3499,0.3406,0.3458,4008.90046187,1377.864522408497
1649980800,2022-04-15 00:00:00,DPET/USDT,0.337,0.352,0.3332,0.3463,11826.26518373,4045.395508391137
1649894400,2022-04-14 00:00:00,DPET/USDT,0.3477,0.3527,0.3349,0.3378,22184.16043509,7644.23620540144
1649808000,2022-04-13 00:00:00,DPET/USDT,0.3445,0.3495,0.3341,0.3474,12538.66974118,4310.504862281142
1649721600,2022-04-12 00:00:00,DPET/USDT,0.3339,0.3504,0.3197,0.3437,80191.78752911,26793.914059121424
1649635200,2022-04-11 00:00:00,DPET/USDT,0.3672,0.3674,0.3329,0.3342,48693.19606782,17110.956954891099
1649548800,2022-04-10 00:00:00,DPET/USDT,0.3599,0.3999,0.3589,0.3682,81027.72066665,30771.190105494243
1649462400,2022-04-09 00:00:00,DPET/USDT,0.3646,0.3734,0.3526,0.3607,38021.58529219,13744.625070775524
1649376000,2022-04-08 00:00:00,DPET/USDT,0.3717,0.3802,0.3551,0.3646,31686.22869266,11723.5966096754
1649289600,2022-04-07 00:00:00,DPET/USDT,0.3724,0.3748,0.3397,0.3715,64459.41636944,23257.550888774757
1649203200,2022-04-06 00:00:00,DPET/USDT,0.4036,0.4155,0.3717,0.3726,34951.07856972,13551.602382331482
1649116800,2022-04-05 00:00:00,DPET/USDT,0.3974,0.4169,0.3869,0.4017,64856.59921437,25970.103031096931
1649030400,2022-04-04 00:00:00,DPET/USDT,0.4048,0.4129,0.3801,0.3956,64220.09552092,25633.293885090941
1648944000,2022-04-03 00:00:00,DPET/USDT,0.3901,0.4091,0.3848,0.4054,29087.92341648,11456.272496500691
1648857600,2022-04-02 00:00:00,DPET/USDT,0.389,0.4099,0.379,0.3879,54532.36183871,21501.163890397559
1648771200,2022-04-01 00:00:00,DPET/USDT,0.3877,0.3912,0.371,0.389,56959.39708724,21692.196569512908
1648684800,2022-03-31 00:00:00,DPET/USDT,0.4194,0.4277,0.3746,0.3878,69421.93318133,27922.346752847169
1648598400,2022-03-30 00:00:00,DPET/USDT,0.4152,0.4234,0.4025,0.4175,65718.10704331,27273.555952237985
1648512000,2022-03-29 00:00:00,DPET/USDT,0.4164,0.4731,0.41,0.4137,333811.46626128,148807.296000674422
1648425600,2022-03-28 00:00:00,DPET/USDT,0.3741,0.47,0.3714,0.4138,349438.94373132,148392.398771641237
1648339200,2022-03-27 00:00:00,DPET/USDT,0.3976,0.399,0.3479,0.374,212984.02783466,79694.352166400064
1648252800,2022-03-26 00:00:00,DPET/USDT,0.3504,0.4261,0.3421,0.3963,356651.25204052,140964.912308004147
1648166400,2022-03-25 00:00:00,DPET/USDT,0.3555,0.358,0.3329,0.3512,62050.91457917,21603.83803698642
1648080000,2022-03-24 00:00:00,DPET/USDT,0.3486,0.3621,0.34,0.3559,70447.423881,24705.658532390532
1647993600,2022-03-23 00:00:00,DPET/USDT,0.3722,0.374,0.3408,0.3471,93777.18210849,33262.862578289378
1647907200,2022-03-22 00:00:00,DPET/USDT,0.3909,0.3927,0.35,0.3728,239170.58040934,88527.365246728697
1647820800,2022-03-21 00:00:00,DPET/USDT,0.3197,0.45,0.3197,0.3897,1296428.22697318,515564.440681189818
1647734400,2022-03-20 00:00:00,DPET/USDT,0.3195,0.37,0.2962,0.3202,312354.6985768,102200.41890889034
1647648000,2022-03-19 00:00:00,DPET/USDT,0.2999,0.3424,0.2986,0.3195,158006.79175404,49824.483895627953
1647561600,2022-03-18 00:00:00,DPET/USDT,0.2898,0.3026,0.283,0.2986,23599.67827902,6953.116685021495
1647475200,2022-03-17 00:00:00,DPET/USDT,0.304,0.3081,0.2874,0.2882,20572.94726299,6064.650302640187
1647388800,2022-03-16 00:00:00,DPET/USDT,0.2903,0.309,0.2864,0.304,18031.71124052,5269.49468058696
1647302400,2022-03-15 00:00:00,DPET/USDT,0.2935,0.2966,0.2787,0.2903,9441.27443633,2743.380233009749
1647216000,2022-03-14 00:00:00,DPET/USDT,0.2803,0.304,0.2796,0.2935,12746.64414826,3739.991820378807
1647129600,2022-03-13 00:00:00,DPET/USDT,0.2987,0.3105,0.2803,0.2803,42949.84652149,12723.888045363627
1647043200,2022-03-12 00:00:00,DPET/USDT,0.2783,0.42,0.2771,0.301,321836.63193552,108466.563552079454
1646956800,2022-03-11 00:00:00,DPET/USDT,0.2879,0.2899,0.2681,0.2773,44771.1854853,12519.41899801971
1646870400,2022-03-10 00:00:00,DPET/USDT,0.3015,0.339,0.2836,0.2881,94966.2049383,28502.787466086554
1646784000,2022-03-09 00:00:00,DPET/USDT,0.2926,0.307,0.2905,0.3015,18408.98083411,5510.887661042366
1646697600,2022-03-08 00:00:00,DPET/USDT,0.3012,0.3017,0.2832,0.2919,10669.10093674,3109.12967455085
1646611200,2022-03-07 00:00:00,DPET/USDT,0.3121,0.3138,0.286,0.3012,35958.27305225,10919.598374548704
1646524800,2022-03-06 00:00:00,DPET/USDT,0.3118,0.3269,0.3011,0.3114,27620.96258251,8714.361792361499
1646438400,2022-03-05 00:00:00,DPET/USDT,0.3023,0.3185,0.29,0.3121,38749.97316699,11788.526043141626
1646352000,2022-03-04 00:00:00,DPET/USDT,0.3678,0.3678,0.2997,0.3023,68120.97078002,22132.254845933708
1646265600,2022-03-03 00:00:00,DPET/USDT,0.3814,0.3844,0.3525,0.367,63938.70136806,23332.618675736947
1646179200,2022-03-02 00:00:00,DPET/USDT,0.4145,0.474,0.375,0.3796,108922.70997789,44843.950963284727
1646092800,2022-03-01 00:00:00,DPET/USDT,0.4003,0.4228,0.3924,0.4145,28669.57994849,11739.081317419101
1646006400,2022-02-28 00:00:00,DPET/USDT,0.3669,0.4008,0.3603,0.4008,29103.75892284,10754.797915577476
1645920000,2022-02-27 00:00:00,DPET/USDT,0.3875,0.3955,0.3661,0.3681,15193.62938073,5785.863821331483
1645833600,2022-02-26 00:00:00,DPET/USDT,0.3895,0.4353,0.3783,0.3875,94567.26131393,38099.260262267319
1645747200,2022-02-25 00:00:00,DPET/USDT,0.3571,0.3898,0.3463,0.3893,55914.87361425,20589.59114002236
1645660800,2022-02-24 00:00:00,DPET/USDT,0.4043,0.409,0.2828,0.3555,80395.61638814,28133.378477064187
1645574400,2022-02-23 00:00:00,DPET/USDT,0.4286,0.44,0.3939,0.4066,21324.28121055,8950.371593996137
1645488000,2022-02-22 00:00:00,DPET/USDT,0.4185,0.4383,0.4066,0.4291,19422.41763185,8177.060650767627
1645401600,2022-02-21 00:00:00,DPET/USDT,0.4264,0.44,0.4123,0.4186,22705.60567729,9772.29973735513
1645315200,2022-02-20 00:00:00,DPET/USDT,0.4337,0.4399,0.414,0.4269,13392.02762688,5702.711751677034
1645228800,2022-02-19 00:00:00,DPET/USDT,0.4305,0.44,0.4236,0.4347,17717.1506042,7657.752464000968
1645142400,2022-02-18 00:00:00,DPET/USDT,0.4341,0.44,0.4246,0.4315,78596.51157985,34152.546086262577
1645056000,2022-02-17 00:00:00,DPET/USDT,0.4744,0.4779,0.4328,0.4367,97209.39513225,44561.909010489013
