https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume WXT,Volume USDT
1651363200,2022-05-01 00:00:00,WXT/USDT,0.008782,0.009984,0.008782,0.009736,37874301.89401424,355187.76356419924526
1651276800,2022-04-30 00:00:00,WXT/USDT,0.00864,0.009291,0.008403,0.008805,27322733.25169685,240715.26162924369727
1651190400,2022-04-29 00:00:00,WXT/USDT,0.00868,0.008803,0.008524,0.00864,14773097.23849321,128342.44581377714044
1651104000,2022-04-28 00:00:00,WXT/USDT,0.008824,0.009068,0.008508,0.008681,20337973.36382683,177854.45800800430877
1651017600,2022-04-27 00:00:00,WXT/USDT,0.008143,0.00883,0.007948,0.008803,21827377.03087271,181446.75163565041594
1650931200,2022-04-26 00:00:00,WXT/USDT,0.008284,0.008593,0.00791,0.00814,15129476.03059067,125259.16928105507559
1650844800,2022-04-25 00:00:00,WXT/USDT,0.008131,0.008285,0.007536,0.008284,15719888.90136781,125341.44857880315993
1650758400,2022-04-24 00:00:00,WXT/USDT,0.008035,0.008295,0.0078,0.008131,10701306.17869096,85689.66223746575559
1650672000,2022-04-23 00:00:00,WXT/USDT,0.008104,0.008301,0.007914,0.008033,10894665.52526956,87798.21621007860957
1650585600,2022-04-22 00:00:00,WXT/USDT,0.008175,0.008433,0.008053,0.0081,10961179.59363841,90182.10499646490801
1650499200,2022-04-21 00:00:00,WXT/USDT,0.0085,0.008614,0.008173,0.0082,12310361.16138236,103027.21641269485285
1650412800,2022-04-20 00:00:00,WXT/USDT,0.007971,0.008531,0.007734,0.0085,19001438.20355067,154469.53755296584612
1650326400,2022-04-19 00:00:00,WXT/USDT,0.00799,0.008017,0.007541,0.007948,12230921.22211457,95901.51260720809598
1650240000,2022-04-18 00:00:00,WXT/USDT,0.00762,0.00805,0.006714,0.008016,26424258.44956453,193408.47149679569234
1650153600,2022-04-17 00:00:00,WXT/USDT,0.00826,0.0083,0.007614,0.007614,7904673.99207493,62978.86181090243693
