https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MLN,Volume USDT
1650376800,2022-04-19 14:00:00,MLN/USDT,56.907,57.257,56.768,56.768,11.58992812,659.84593407444
1650373200,2022-04-19 13:00:00,MLN/USDT,56.695,56.907,56.6,56.907,1.9152,108.4390683
1650369600,2022-04-19 12:00:00,MLN/USDT,56.279,56.905,56.279,56.695,2.14791257,121.76636681427
1650366000,2022-04-19 11:00:00,MLN/USDT,56.243,56.243,56.065,56.172,2.3576395,132.3705608915
1650362400,2022-04-19 10:00:00,MLN/USDT,55.589,56.463,55.588,56.022,25.29179819,1419.09613172868
1650358800,2022-04-19 09:00:00,MLN/USDT,55.761,55.889,55.301,55.569,10.7132,596.3551679
1650355200,2022-04-19 08:00:00,MLN/USDT,55.627,55.627,55.554,55.554,2.7425,152.4746679
1650351600,2022-04-19 07:00:00,MLN/USDT,55.371,55.79,55.371,55.79,6.7876,376.5819449
1650348000,2022-04-19 06:00:00,MLN/USDT,55.145,55.301,55.145,55.29,0.3072,16.9816506
1650344400,2022-04-19 05:00:00,MLN/USDT,55.2,55.301,55.07,55.172,0.2286,12.6151023
1650340800,2022-04-19 04:00:00,MLN/USDT,55.138,55.198,55.138,55.198,0.3623737,19.9999994926
1650337200,2022-04-19 03:00:00,MLN/USDT,55,55.1,55,55.1,0.31253481,17.189418031
1650333600,2022-04-19 02:00:00,MLN/USDT,55.022,55.022,54.943,54.943,12.9634,712.2672849
1650330000,2022-04-19 01:00:00,MLN/USDT,55.4,55.4,55.039,55.039,5.76001159,317.447345568
1650326400,2022-04-19 00:00:00,MLN/USDT,55.243,55.72,55.243,55.4,8.327,462.7675634
1650322800,2022-04-18 23:00:00,MLN/USDT,55.243,55.243,55.243,55.243,0.0365,2.0163695
1650319200,2022-04-18 22:00:00,MLN/USDT,55.07,55.2,55.07,55.2,0.2442,13.4583022
1650315600,2022-04-18 21:00:00,MLN/USDT,54.898,55.026,54.862,55.026,1.4564,80.0451207
1650312000,2022-04-18 20:00:00,MLN/USDT,55.07,55.07,54.813,54.813,9.05047694,498.03829351222
1650308400,2022-04-18 19:00:00,MLN/USDT,55.232,55.298,54.834,54.834,10.7759,593.0925191
