https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume WAVES
1656115200000,2022-06-25 00:00:00,WAVES/ETH,0.00537,0.00563093,0.0051,0.00517955,218.54223233692144,42193.28558213
1656028800000,2022-06-24 00:00:00,WAVES/ETH,0.00553096,0.00582916,0.00517712,0.00534119,227.27572770268202,42551.51524336
1655942400000,2022-06-23 00:00:00,WAVES/ETH,0.0055728,0.00605018,0.00542932,0.00553504,224.9183942715272,40635.36926048
1655856000000,2022-06-22 00:00:00,WAVES/ETH,0.00617,0.00654502,0.0055288,0.00558231,247.2272731006819,44287.62879537
1655769600000,2022-06-21 00:00:00,WAVES/ETH,0.00430048,0.00619066,0.00420972,0.00615852,278.3364420328029,45195.34596507
1655683200000,2022-06-20 00:00:00,WAVES/ETH,0.00423437,0.00446546,0.00418695,0.00429494,183.26066523450174,42668.96981902
1655596800000,2022-06-19 00:00:00,WAVES/ETH,0.00456878,0.00467975,0.00417277,0.00423249,187.1176985619819,44209.83831314
1655510400000,2022-06-18 00:00:00,WAVES/ETH,0.0041941,0.00481579,0.00418594,0.00456372,196.78100636287684,43118.55380323
1655424000000,2022-06-17 00:00:00,WAVES/ETH,0.00405782,0.00454711,0.00400833,0.00418909,190.1292624192306,45386.76954165
1655337600000,2022-06-16 00:00:00,WAVES/ETH,0.00417505,0.00419948,0.00394243,0.00405919,156.70353238256058,38604.63106742
1655251200000,2022-06-15 00:00:00,WAVES/ETH,0.00401588,0.0043,0.0035333,0.00415942,180.01915783676674,43279.87023113
1655164800000,2022-06-14 00:00:00,WAVES/ETH,0.00395643,0.0043,0.00389012,0.00402272,168.38066737214956,41857.41671609
1655078400000,2022-06-13 00:00:00,WAVES/ETH,0.00375324,0.00402321,0.00354523,0.00398432,176.73253231294163,44357.0125675
1654992000000,2022-06-12 00:00:00,WAVES/ETH,0.00416655,0.0043,0.00365,0.00374356,158.578824733793,42360.43358028
1654905600000,2022-06-11 00:00:00,WAVES/ETH,0.00419419,0.0046,0.00360004,0.00415842,179.55037495328253,43177.54698979
1654819200000,2022-06-10 00:00:00,WAVES/ETH,0.00435662,0.0043797,0.0040098,0.00419083,177.0592207945221,42249.2014218
1654732800000,2022-06-09 00:00:00,WAVES/ETH,0.00428591,0.00455342,0.00427717,0.00436462,189.33018802137275,43378.38987618
1654646400000,2022-06-08 00:00:00,WAVES/ETH,0.00429397,0.00457663,0.0042,0.00426897,182.36203108970636,42718.03996976
1654560000000,2022-06-07 00:00:00,WAVES/ETH,0.00445347,0.00484051,0.0042443,0.00432046,184.23708914923435,42642.93365735
