https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FRM,Volume USDT
1653350400,2022-05-24 00:00:00,FRM/USDT,0.0423,0.0428,0.0407,0.0415,88405.95076939,3673.25494647138
1653264000,2022-05-23 00:00:00,FRM/USDT,0.043,0.0437,0.0413,0.0426,279746.78911197,11886.268156047515
1653177600,2022-05-22 00:00:00,FRM/USDT,0.041,0.0445,0.0401,0.043,223045.91845802,9510.769824525922
1653091200,2022-05-21 00:00:00,FRM/USDT,0.0405,0.041,0.04,0.0408,51302.16574903,2077.410575948705
1653004800,2022-05-20 00:00:00,FRM/USDT,0.0423,0.0436,0.0399,0.0408,341503.76727597,14445.117089723256
1652918400,2022-05-19 00:00:00,FRM/USDT,0.0413,0.0428,0.0412,0.0423,109534.25904345,4586.807993558926
1652832000,2022-05-18 00:00:00,FRM/USDT,0.0428,0.0456,0.0415,0.0415,311995.01961538,13629.867312807425
1652745600,2022-05-17 00:00:00,FRM/USDT,0.0433,0.0449,0.0409,0.0428,271907.57421932,11618.881137329219
1652659200,2022-05-16 00:00:00,FRM/USDT,0.0451,0.0453,0.042,0.0433,368552.09017297,15833.636293259406
1652572800,2022-05-15 00:00:00,FRM/USDT,0.043,0.0462,0.0396,0.0451,662874.44752964,29158.848881845721
1652486400,2022-05-14 00:00:00,FRM/USDT,0.0448,0.0491,0.0414,0.043,488407.50804072,21864.264431930089
1652400000,2022-05-13 00:00:00,FRM/USDT,0.0383,0.0471,0.0383,0.0448,509287.52609853,22426.934087633657
1652313600,2022-05-12 00:00:00,FRM/USDT,0.0387,0.04,0.0335,0.0382,852925.24609898,31075.320984087791
1652227200,2022-05-11 00:00:00,FRM/USDT,0.0472,0.0484,0.038,0.0387,964836.00426322,41097.435089216799
1652140800,2022-05-10 00:00:00,FRM/USDT,0.049,0.0507,0.0432,0.0474,1646217.71420139,79945.520054094839
1652054400,2022-05-09 00:00:00,FRM/USDT,0.0513,0.0607,0.044,0.049,3147542.95016041,162645.685025836368
1651968000,2022-05-08 00:00:00,FRM/USDT,0.0507,0.052,0.0497,0.0515,1298289.56094837,65573.358000970953
1651881600,2022-05-07 00:00:00,FRM/USDT,0.0504,0.0521,0.0491,0.0507,1210189.74412363,61157.117428312534
1651795200,2022-05-06 00:00:00,FRM/USDT,0.05,0.051,0.0496,0.0504,978592.74214208,49088.700243468816
1651708800,2022-05-05 00:00:00,FRM/USDT,0.0559,0.0593,0.0453,0.05,1260891.31559859,65496.290797114278
1651622400,2022-05-04 00:00:00,FRM/USDT,0.0541,0.0576,0.0513,0.0556,1521114.31237096,81027.838641556183
1651536000,2022-05-03 00:00:00,FRM/USDT,0.0544,0.0791,0.0507,0.0543,5783524.16590351,346463.894379370004
1651449600,2022-05-02 00:00:00,FRM/USDT,0.0531,0.0571,0.0518,0.0543,1044743.53629134,55594.041782623154
1651363200,2022-05-01 00:00:00,FRM/USDT,0.055,0.055,0.0527,0.0531,1836888.80114607,99445.380669618498
1651276800,2022-04-30 00:00:00,FRM/USDT,0.0585,0.0587,0.0548,0.055,3106898.34427563,178328.953777919481
1651190400,2022-04-29 00:00:00,FRM/USDT,0.0588,0.0597,0.0582,0.0584,3583529.47768266,211246.026894797865
1651104000,2022-04-28 00:00:00,FRM/USDT,0.0599,0.0606,0.0579,0.0588,3673184.69651883,218589.006350829443
1651017600,2022-04-27 00:00:00,FRM/USDT,0.061,0.0618,0.0597,0.0599,447444.92525902,26939.175448789024
1650931200,2022-04-26 00:00:00,FRM/USDT,0.0628,0.0641,0.0602,0.0609,533683.06026266,33115.58863190753
1650844800,2022-04-25 00:00:00,FRM/USDT,0.0642,0.0646,0.062,0.0628,557917.50312069,35180.882095841409
1650758400,2022-04-24 00:00:00,FRM/USDT,0.0653,0.0674,0.0641,0.0644,368148.35734695,24138.055228916568
1650672000,2022-04-23 00:00:00,FRM/USDT,0.0681,0.0685,0.065,0.0653,300825.71588363,19943.08901890653
1650585600,2022-04-22 00:00:00,FRM/USDT,0.0718,0.0722,0.0614,0.0682,3794557.13847508,258303.312079660285
1650499200,2022-04-21 00:00:00,FRM/USDT,0.0722,0.0739,0.0718,0.0718,1605260.82556873,115765.033943268617
1650412800,2022-04-20 00:00:00,FRM/USDT,0.0731,0.0757,0.0718,0.0722,2193846.89288706,159701.745803295651
1650326400,2022-04-19 00:00:00,FRM/USDT,0.0722,0.0731,0.0706,0.0731,1947150.13593679,138635.701235227449
1650240000,2022-04-18 00:00:00,FRM/USDT,0.074,0.074,0.0699,0.0721,3249341.90231903,234179.617026717501
1650153600,2022-04-17 00:00:00,FRM/USDT,0.0731,0.0749,0.0725,0.0739,4261734.71745077,313468.527002318468
