https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AOA,Volume USDT
1654635600,2022-06-07 21:00:00,AOA/USDT,0.00036,0.0003955,0.0003544,0.0003696,15596799.26211599,5916.977327617078027
1654632000,2022-06-07 20:00:00,AOA/USDT,0.0003564,0.000366,0.0003564,0.00036,4216506.63284163,1515.878835849837595
1654628400,2022-06-07 19:00:00,AOA/USDT,0.0003565,0.000358,0.000344,0.0003559,8522098.328758,2984.079748653858618
1654624800,2022-06-07 18:00:00,AOA/USDT,0.0003599,0.0003627,0.0003565,0.0003565,3308805.3268,1195.9703108752
1654621200,2022-06-07 17:00:00,AOA/USDT,0.0003592,0.0003592,0.0003581,0.0003585,914053.7577,327.97523263218
1654617600,2022-06-07 16:00:00,AOA/USDT,0.0003587,0.0003599,0.0003587,0.0003592,26916.3282,9.67387914791
1654614000,2022-06-07 15:00:00,AOA/USDT,0.0003603,0.0003628,0.0003536,0.0003582,962434.67418536,345.954992031377216
1654610400,2022-06-07 14:00:00,AOA/USDT,0.0003547,0.0003603,0.000354,0.0003603,5754198.35927991,2069.994704534361933
1654606800,2022-06-07 13:00:00,AOA/USDT,0.0003564,0.0003609,0.0003504,0.0003563,3746394.46002496,1334.95008352788657
1654603200,2022-06-07 12:00:00,AOA/USDT,0.0003541,0.0003564,0.0003539,0.0003542,346208.00971576,122.639605674496864
1654599600,2022-06-07 11:00:00,AOA/USDT,0.0003551,0.0003587,0.000352,0.0003559,1272263.75363334,449.409181423239058
1654596000,2022-06-07 10:00:00,AOA/USDT,0.0003635,0.0003655,0.0003552,0.0003553,4459877.25297686,1595.8024523961786
1654592400,2022-06-07 09:00:00,AOA/USDT,0.0003707,0.0003707,0.0003631,0.0003661,248093.13582428,91.02690533407179
1654588800,2022-06-07 08:00:00,AOA/USDT,0.0003628,0.0003708,0.000361,0.0003707,1144179.50605775,422.96041469410025
1654585200,2022-06-07 07:00:00,AOA/USDT,0.0003635,0.0003683,0.00036,0.00036,240864.27172225,87.815810297600368
1654581600,2022-06-07 06:00:00,AOA/USDT,0.0003582,0.0003705,0.0003567,0.0003631,1010980.57776952,368.9395007652532
1654578000,2022-06-07 05:00:00,AOA/USDT,0.0003673,0.0003706,0.0003585,0.0003585,2661565.08054934,973.726119682304812
1654574400,2022-06-07 04:00:00,AOA/USDT,0.0003673,0.0003696,0.0003673,0.0003673,1666909.44852104,613.070673408129552
1654570800,2022-06-07 03:00:00,AOA/USDT,0.0003653,0.0003715,0.0003598,0.0003673,3816483.17831484,1408.253555430950613
1654567200,2022-06-07 02:00:00,AOA/USDT,0.0003809,0.0003809,0.00036,0.0003656,9402508.83616769,3467.523392868397303
1654563600,2022-06-07 01:00:00,AOA/USDT,0.0003689,0.0004,0.0003608,0.0003835,21225731.3900874,8072.980116309266858
1654560000,2022-06-07 00:00:00,AOA/USDT,0.0003855,0.0003855,0.0003683,0.0003683,5737619.36215554,2140.902857888207444
1654556400,2022-06-06 23:00:00,AOA/USDT,0.0003817,0.000388,0.0003773,0.000388,1227011.30036313,472.226487446504875
1654552800,2022-06-06 22:00:00,AOA/USDT,0.000388,0.000388,0.000376,0.0003817,1705061.17010166,648.262740752951258
1654549200,2022-06-06 21:00:00,AOA/USDT,0.0003768,0.000388,0.0003768,0.000388,3798434.77512729,1449.14274948008852
1654545600,2022-06-06 20:00:00,AOA/USDT,0.0003867,0.0003867,0.0003733,0.0003769,17807493.74910831,6719.1199115442678
1654542000,2022-06-06 19:00:00,AOA/USDT,0.0003851,0.0003889,0.0003851,0.0003889,430553.518,167.08731949136
1654538400,2022-06-06 18:00:00,AOA/USDT,0.0003819,0.00039,0.0003819,0.0003823,2492522.56510256,968.5931563144484
1654534800,2022-06-06 17:00:00,AOA/USDT,0.000388,0.0003906,0.000377,0.0003795,1149796.33501036,441.0932609963986
1654531200,2022-06-06 16:00:00,AOA/USDT,0.000382,0.0003916,0.0003763,0.000388,4588861.18829403,1747.036658890262762
1654527600,2022-06-06 15:00:00,AOA/USDT,0.0003851,0.0003885,0.0003802,0.0003804,1775540.04108025,678.360561860392687
1654524000,2022-06-06 14:00:00,AOA/USDT,0.0003851,0.0003923,0.000383,0.0003855,2202839.47710431,847.96420816804933
1654520400,2022-06-06 13:00:00,AOA/USDT,0.00039,0.0003975,0.0003851,0.0003851,1818109.56795816,711.3980885057286
1654516800,2022-06-06 12:00:00,AOA/USDT,0.000392,0.0004,0.000388,0.000388,7498088.00736712,2949.448168500862405
1654513200,2022-06-06 11:00:00,AOA/USDT,0.0003805,0.000392,0.0003802,0.000392,13988704.6644,5431.48735016533
1654509600,2022-06-06 10:00:00,AOA/USDT,0.0004003,0.0004003,0.0003801,0.0003804,22118324.1835582,8561.757289955440679
1654506000,2022-06-06 09:00:00,AOA/USDT,0.000414,0.0004282,0.0004003,0.0004039,12913280.81649897,5281.802715316835833
1654502400,2022-06-06 08:00:00,AOA/USDT,0.0004008,0.0004235,0.0004008,0.0004163,12154875.99653917,5013.140895807121285
1654498800,2022-06-06 07:00:00,AOA/USDT,0.0003995,0.0004098,0.000395,0.0004008,14764600.49890373,5929.976196873973851
1654495200,2022-06-06 06:00:00,AOA/USDT,0.00041,0.0004139,0.000397,0.0003996,19123611.03010446,7754.304683938703919
1654491600,2022-06-06 05:00:00,AOA/USDT,0.0004163,0.0004163,0.0004002,0.00041,23693412.90506647,9676.549918621232017
1654488000,2022-06-06 04:00:00,AOA/USDT,0.000479,0.000482,0.0004175,0.0004175,41424536.65498315,18440.523813103754498
1654484400,2022-06-06 03:00:00,AOA/USDT,0.0004213,0.0006443,0.000412,0.0004799,440575006.02311241,234814.645219584691359
1654480800,2022-06-06 02:00:00,AOA/USDT,0.00042,0.0004211,0.0004103,0.0004211,4089955.9721,1699.72288308162
1654477200,2022-06-06 01:00:00,AOA/USDT,0.0004042,0.0004203,0.0004005,0.0004203,3169570.41218576,1305.925446409922316
1654473600,2022-06-06 00:00:00,AOA/USDT,0.0004053,0.0004458,0.0004,0.0004042,47730747.51842954,20026.066704912502956
1654470000,2022-06-05 23:00:00,AOA/USDT,0.0004,0.0004265,0.0004,0.0004065,13448096.11495391,5558.34210485151667
1654466400,2022-06-05 22:00:00,AOA/USDT,0.0003983,0.0004,0.0003983,0.0004,4194061.67505425,1677.431745939998659
1654462800,2022-06-05 21:00:00,AOA/USDT,0.0003968,0.0003995,0.0003938,0.000395,1855699.67146322,736.98073914389639
1654459200,2022-06-05 20:00:00,AOA/USDT,0.0004088,0.0004088,0.0003968,0.0003996,3127101.18772009,1254.619291913636729
1654455600,2022-06-05 19:00:00,AOA/USDT,0.000395,0.00042,0.000395,0.0004091,10344907.30491655,4222.338758294688252
1654452000,2022-06-05 18:00:00,AOA/USDT,0.0003887,0.0003975,0.0003875,0.000395,1331793.38319349,525.483434348659108
1654448400,2022-06-05 17:00:00,AOA/USDT,0.000395,0.000395,0.000383,0.0003887,3365959.91856546,1308.830192384346548
1654444800,2022-06-05 16:00:00,AOA/USDT,0.0003858,0.0003999,0.0003835,0.000395,13184016.4614621,5160.646329178671551
1654441200,2022-06-05 15:00:00,AOA/USDT,0.0003835,0.0003898,0.0003795,0.0003835,1651049.30588206,637.396403427748155
1654437600,2022-06-05 14:00:00,AOA/USDT,0.000382,0.0003833,0.0003762,0.0003833,777953.8498,294.611422542630044
1654434000,2022-06-05 13:00:00,AOA/USDT,0.0003835,0.000387,0.000379,0.0003821,1811631.30745198,696.312892303389304
1654430400,2022-06-05 12:00:00,AOA/USDT,0.0003799,0.0003863,0.0003799,0.000386,1486509.43871593,566.97691618499307
1654426800,2022-06-05 11:00:00,AOA/USDT,0.0003898,0.0003898,0.0003762,0.0003799,3682566.478331,1408.478763265090479
1654423200,2022-06-05 10:00:00,AOA/USDT,0.0003968,0.0004012,0.0003898,0.0003898,3925756.37902001,1537.742158224046011
1654419600,2022-06-05 09:00:00,AOA/USDT,0.0004057,0.0004089,0.0003968,0.0003968,6246625.11572582,2503.270915128436427
1654416000,2022-06-05 08:00:00,AOA/USDT,0.000414,0.0004333,0.0004,0.0004028,31731366.07491601,13267.064502065888303
1654412400,2022-06-05 07:00:00,AOA/USDT,0.0003837,0.000414,0.000372,0.000414,30105102.31856355,11778.575608033238561
1654408800,2022-06-05 06:00:00,AOA/USDT,0.0003879,0.00045,0.0003816,0.0003816,84396940.71139204,34875.985275565631655
1654405200,2022-06-05 05:00:00,AOA/USDT,0.0003828,0.0003989,0.00037,0.0003878,27924879.15304187,10670.393506879187725
1654401600,2022-06-05 04:00:00,AOA/USDT,0.0003542,0.0003969,0.000352,0.000385,57056288.26499836,21103.032578588437296
1654398000,2022-06-05 03:00:00,AOA/USDT,0.0003491,0.0003538,0.0003491,0.0003538,1087679.9026,383.61902011954
1654394400,2022-06-05 02:00:00,AOA/USDT,0.0003455,0.0003553,0.0003442,0.000346,1227976.17560841,429.101236991078305
1654390800,2022-06-05 01:00:00,AOA/USDT,0.0003505,0.0003526,0.0003455,0.0003455,142373250.96551426,49263.224123686228076
1654387200,2022-06-05 00:00:00,AOA/USDT,0.0003498,0.0003577,0.0003498,0.0003505,1598692.6872,565.90605927457
1654383600,2022-06-04 23:00:00,AOA/USDT,0.0003506,0.000356,0.0003498,0.0003498,1503350.76234374,530.495939851019992
1654380000,2022-06-04 22:00:00,AOA/USDT,0.0003478,0.0003507,0.0003478,0.0003506,496332.96718171,173.615456340875909
1654376400,2022-06-04 21:00:00,AOA/USDT,0.0003483,0.0003508,0.0003457,0.0003478,1987639.42037397,691.570023123492941
1654372800,2022-06-04 20:00:00,AOA/USDT,0.0003456,0.0003483,0.0003456,0.0003483,236664.17603198,82.18179587958706
1654369200,2022-06-04 19:00:00,AOA/USDT,0.0003455,0.0003484,0.0003455,0.0003455,587168.94391182,202.905790385598088
1654365600,2022-06-04 18:00:00,AOA/USDT,0.0003484,0.0003484,0.0003455,0.0003455,356522.31142261,123.435377930207324
1654362000,2022-06-04 17:00:00,AOA/USDT,0.0003455,0.0003483,0.0003455,0.0003483,316735.2968,109.97497681916098
1654358400,2022-06-04 16:00:00,AOA/USDT,0.000345,0.0003455,0.0003381,0.0003455,1039366.9825,357.397848101377992
1654354800,2022-06-04 15:00:00,AOA/USDT,0.000345,0.0003491,0.0003412,0.000345,315324.67579098,108.09884080564839
1654351200,2022-06-04 14:00:00,AOA/USDT,0.0003432,0.0003432,0.000342,0.000342,1018615.7775,349.1039275004
1654347600,2022-06-04 13:00:00,AOA/USDT,0.000345,0.0003484,0.000343,0.0003455,542076.21169751,186.097183390329705
1654344000,2022-06-04 12:00:00,AOA/USDT,0.0003476,0.0003521,0.0003423,0.0003455,1573783.82029204,545.787268823817284
1654340400,2022-06-04 11:00:00,AOA/USDT,0.0003491,0.000351,0.0003477,0.0003508,1164831.4493,406.58490915066
1654336800,2022-06-04 10:00:00,AOA/USDT,0.00035,0.000351,0.00035,0.000351,965350.44967994,338.13904279999894
1654333200,2022-06-04 09:00:00,AOA/USDT,0.00035,0.00035,0.0003413,0.0003499,2942950.67212527,1017.251482815124006
1654329600,2022-06-04 08:00:00,AOA/USDT,0.0003454,0.000351,0.0003454,0.0003491,1099231.12924234,384.080731695519
1654326000,2022-06-04 07:00:00,AOA/USDT,0.000343,0.0003452,0.0003419,0.0003452,898378.0058,310.04966012694
1654322400,2022-06-04 06:00:00,AOA/USDT,0.0003437,0.0003454,0.0003437,0.0003454,208888.2456,72.139865500782911
1654318800,2022-06-04 05:00:00,AOA/USDT,0.0003445,0.0003455,0.0003412,0.0003437,281801.59929583,96.431756740326771
1654315200,2022-06-04 04:00:00,AOA/USDT,0.000347,0.0003521,0.0003399,0.0003426,6934901.6337,2373.7655573644
1654311600,2022-06-04 03:00:00,AOA/USDT,0.000349,0.000354,0.0003434,0.0003443,7685440.4578473,2698.019998267046784
1654308000,2022-06-04 02:00:00,AOA/USDT,0.0003494,0.0003496,0.0003455,0.0003457,473584.87958596,164.352504033216526
1654304400,2022-06-04 01:00:00,AOA/USDT,0.0003426,0.0003495,0.0003426,0.0003494,1629208.40193991,563.61347625612609
1654300800,2022-06-04 00:00:00,AOA/USDT,0.0003425,0.0003496,0.0003425,0.0003426,1824036.23313342,630.153804188343216
1654297200,2022-06-03 23:00:00,AOA/USDT,0.000343,0.0003448,0.0003425,0.0003425,402846.74056658,138.157867514076784
1654293600,2022-06-03 22:00:00,AOA/USDT,0.0003428,0.0003447,0.0003425,0.0003425,288035.01758845,98.742837568938715
1654290000,2022-06-03 21:00:00,AOA/USDT,0.0003401,0.0003428,0.0003401,0.0003428,586336.8537,200.66644950109
1654286400,2022-06-03 20:00:00,AOA/USDT,0.000336,0.0003429,0.000336,0.0003401,1096232.7093,369.67063324617
1654282800,2022-06-03 19:00:00,AOA/USDT,0.0003508,0.0003508,0.000335,0.000335,2435081.406,828.10036805557
1654279200,2022-06-03 18:00:00,AOA/USDT,0.0003476,0.000352,0.0003437,0.0003508,2798134.29380685,978.640629576434784
1654275600,2022-06-03 17:00:00,AOA/USDT,0.0003416,0.0003507,0.0003416,0.0003507,7800678.07742449,2730.603222552468643
1654272000,2022-06-03 16:00:00,AOA/USDT,0.0003421,0.0003492,0.0003416,0.0003416,1109971.31291365,384.154720249988716
1654268400,2022-06-03 15:00:00,AOA/USDT,0.0003414,0.000348,0.0003414,0.0003421,961564.67248071,332.156255050797539
1654264800,2022-06-03 14:00:00,AOA/USDT,0.0003419,0.0003419,0.0003414,0.0003414,21594.3195,7.3761016563
1654261200,2022-06-03 13:00:00,AOA/USDT,0.0003455,0.0003499,0.0003412,0.0003443,2458033.07145239,842.423969331458813
