https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume BTC
1651255200,2022-04-29 18:00:00,LINK/BTC,0.00031455,0.00031532,0.00031296,0.00031296,78.89326477,0.0246904361424192
1651251600,2022-04-29 17:00:00,LINK/BTC,0.00031416,0.00031531,0.00031416,0.00031435,68.96437400,0.021678950966900003
1651248000,2022-04-29 16:00:00,LINK/BTC,0.00031565,0.00031565,0.00031252,0.00031443,29.26845100,0.009202879047929999
1651244400,2022-04-29 15:00:00,LINK/BTC,0.00031462,0.00031552,0.00031462,0.00031552,23.41205500,0.0073869715936
1651240800,2022-04-29 14:00:00,LINK/BTC,0.00031618,0.00031672,0.00031401,0.00031515,662.17281700,0.20868376327755
1651237200,2022-04-29 13:00:00,LINK/BTC,0.00031659,0.00031659,0.00031580,0.00031594,23.45909300,0.0074116658424200005
1651233600,2022-04-29 12:00:00,LINK/BTC,0.00031388,0.00031659,0.00031367,0.00031659,121.44167300,0.03844721925507
1651230000,2022-04-29 11:00:00,LINK/BTC,0.00031466,0.00031554,0.00031357,0.00031357,124.36054600,0.03899573640922
1651226400,2022-04-29 10:00:00,LINK/BTC,0.00031578,0.00031578,0.00031500,0.00031567,2.61615500,0.00082584164885
1651222800,2022-04-29 09:00:00,LINK/BTC,0.00031653,0.00031786,0.00031653,0.00031741,25.56700000,0.00811522147
1651219200,2022-04-29 08:00:00,LINK/BTC,0.00031918,0.00031918,0.00031785,0.00031785,9.72262600,0.0030903366741
1651215600,2022-04-29 07:00:00,LINK/BTC,0.00031954,0.00031954,0.00031880,0.00031880,16.21124700,0.0051681455436
1651212000,2022-04-29 06:00:00,LINK/BTC,0.00031802,0.00031802,0.00031802,0.00031802,1.01677700,0.00032335542154000006
1651208400,2022-04-29 05:00:00,LINK/BTC,0.00031844,0.00031870,0.00031844,0.00031870,6.85110100,0.0021834458887
1651204800,2022-04-29 04:00:00,LINK/BTC,0.00031673,0.00031674,0.00031673,0.00031674,28.69459300,0.00908872538682
1651201200,2022-04-29 03:00:00,LINK/BTC,0.00031881,0.00031881,0.00031881,0.00031881,0.00000000,0.0
1651197600,2022-04-29 02:00:00,LINK/BTC,0.00031881,0.00031881,0.00031881,0.00031881,0.00000000,0.0
1651194000,2022-04-29 01:00:00,LINK/BTC,0.00031881,0.00031881,0.00031881,0.00031881,0.00000000,0.0
1651190400,2022-04-29 00:00:00,LINK/BTC,0.00031881,0.00031881,0.00031881,0.00031881,0.00000000,0.0
1651186800,2022-04-28 23:00:00,LINK/BTC,0.00031824,0.00031881,0.00031824,0.00031881,8.98640200,0.0028649548216199998
1651183200,2022-04-28 22:00:00,LINK/BTC,0.00031625,0.00031625,0.00031625,0.00031625,1.06380300,0.00033642769875
1651179600,2022-04-28 21:00:00,LINK/BTC,0.00031799,0.00031799,0.00031799,0.00031799,3.91200500,0.0012439784699499999
1651176000,2022-04-28 20:00:00,LINK/BTC,0.00031776,0.00031919,0.00031776,0.00031818,23.22603200,0.00739005886176
1651172400,2022-04-28 19:00:00,LINK/BTC,0.00031758,0.00031822,0.00031645,0.00031724,176.64382300,0.05603848640852
1651168800,2022-04-28 18:00:00,LINK/BTC,0.00031694,0.00031796,0.00031694,0.00031796,7.32813100,0.00233005253276
1651165200,2022-04-28 17:00:00,LINK/BTC,0.00031677,0.00031677,0.00031677,0.00031677,2.43991900,0.0007728931416300001
1651161600,2022-04-28 16:00:00,LINK/BTC,0.00031703,0.00031703,0.00031671,0.00031671,13.31542900,0.00421712951859
