https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume JPY,Volume ETH
1577840400,2020-01-01 01:00:00,ETH/JPY,14020.0,14191.22,14020.0,14191.22,5773.48,0.4083
1577836800,2020-01-01 00:00:00,ETH/JPY,14061.0,14061.0,14020.0,14020.0,76283.46,5.435
1577833200,2019-12-31 23:00:00,ETH/JPY,14054.0,14061.0,14037.0,14061.0,154620.82,11.01
1577829600,2019-12-31 22:00:00,ETH/JPY,14024.0,14057.0,13995.0,14054.0,301839.82,21.5
1577826000,2019-12-31 21:00:00,ETH/JPY,13958.0,14024.0,13958.0,14024.0,15353.6,1.096
1577822400,2019-12-31 20:00:00,ETH/JPY,13984.0,13984.0,13957.0,13958.0,51287.84,3.673
1577818800,2019-12-31 19:00:00,ETH/JPY,14075.0,14075.0,13984.0,13984.0,191475.95,13.66
1577815200,2019-12-31 18:00:00,ETH/JPY,14056.0,14092.0,14049.0,14075.0,205637.64,14.61
1577811600,2019-12-31 17:00:00,ETH/JPY,14155.0,14155.0,14013.0,14056.0,274289.23,19.57
1577808000,2019-12-31 16:00:00,ETH/JPY,14087.0,14171.71,14068.49,14155.0,52223.09,3.699
1577804400,2019-12-31 15:00:00,ETH/JPY,14338.0,14347.0,14084.0,14087.0,1111493.6,78.45
1577800800,2019-12-31 14:00:00,ETH/JPY,14312.0,14533.73,14294.0,14338.0,517415.26,35.87
1577797200,2019-12-31 13:00:00,ETH/JPY,14307.0,14354.38,14307.0,14312.0,425453.42,29.69
1577793600,2019-12-31 12:00:00,ETH/JPY,14335.0,14335.0,14302.0,14307.0,262474.91,18.35
1577790000,2019-12-31 11:00:00,ETH/JPY,14335.0,14335.0,14335.0,14335.0,0.0,0.0
1577786400,2019-12-31 10:00:00,ETH/JPY,14344.0,14370.0,14322.03,14335.0,103000.3,7.175
1577782800,2019-12-31 09:00:00,ETH/JPY,14379.0,14382.0,14344.0,14344.0,232754.41,16.19
1577779200,2019-12-31 08:00:00,ETH/JPY,14404.0,14405.0,14379.0,14379.0,147808.19,10.27
1577775600,2019-12-31 07:00:00,ETH/JPY,14406.0,14423.0,14385.0,14404.0,222549.77,15.46
1577772000,2019-12-31 06:00:00,ETH/JPY,14330.0,14432.72,14330.0,14406.0,66584.88,4.614
1577768400,2019-12-31 05:00:00,ETH/JPY,14330.0,14330.0,14330.0,14330.0,0.0,0.0
1577764800,2019-12-31 04:00:00,ETH/JPY,14321.98,14349.0,14308.17,14330.0,191104.12,13.33
1577761200,2019-12-31 03:00:00,ETH/JPY,14312.0,14321.98,14289.62,14321.98,308072.71,21.54
1577757600,2019-12-31 02:00:00,ETH/JPY,14359.0,14359.0,14292.0,14312.0,98142.28,6.862
1577754000,2019-12-31 01:00:00,ETH/JPY,14322.18,14359.0,14322.18,14359.0,1272.05,0.08859
1577750400,2019-12-31 00:00:00,ETH/JPY,14356.0,14356.0,14311.0,14322.18,21975.19,1.535
1577746800,2019-12-30 23:00:00,ETH/JPY,14420.0,14452.98,14349.0,14356.0,46438.32,3.233
1577743200,2019-12-30 22:00:00,ETH/JPY,14386.51,14420.0,14386.51,14420.0,11636.27,0.8075
1577739600,2019-12-30 21:00:00,ETH/JPY,14376.15,14400.2,14376.15,14386.51,37231.61,2.586
1577736000,2019-12-30 20:00:00,ETH/JPY,14374.0,14415.0,14344.85,14376.15,39619.34,2.761
1577732400,2019-12-30 19:00:00,ETH/JPY,14374.0,14374.0,14374.0,14374.0,0.0,0.0
1577728800,2019-12-30 18:00:00,ETH/JPY,14364.0,14374.0,14356.0,14374.0,76889.38,5.355
1577725200,2019-12-30 17:00:00,ETH/JPY,14323.0,14364.0,14323.0,14364.0,17360.83,1.209
1577721600,2019-12-30 16:00:00,ETH/JPY,14280.0,14325.0,14280.0,14323.0,13811.65,0.9645
1577718000,2019-12-30 15:00:00,ETH/JPY,14350.0,14350.0,14212.0,14280.0,213562.33,14.98
1577714400,2019-12-30 14:00:00,ETH/JPY,14508.0,14508.0,14350.0,14350.0,250784.64,17.4
1577710800,2019-12-30 13:00:00,ETH/JPY,14527.0,14556.0,14431.0,14508.0,811850.15,56.05
1577707200,2019-12-30 12:00:00,ETH/JPY,14581.91,14622.0,14527.0,14527.0,443689.39,30.44
1577703600,2019-12-30 11:00:00,ETH/JPY,14559.0,14581.91,14535.0,14581.91,287133.65,19.71
1577700000,2019-12-30 10:00:00,ETH/JPY,14771.0,14771.0,14559.0,14559.0,14599.84,0.9988
1577696400,2019-12-30 09:00:00,ETH/JPY,14745.0,14793.0,14745.0,14771.0,340453.51,23.05
1577692800,2019-12-30 08:00:00,ETH/JPY,14882.0,14882.0,14745.0,14745.0,147500.0,10.0
1577689200,2019-12-30 07:00:00,ETH/JPY,14756.0,14882.0,14756.0,14882.0,26274.32,1.768
1577685600,2019-12-30 06:00:00,ETH/JPY,14811.11,14811.11,14748.0,14756.0,247275.76,16.76
