https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HYVE,Volume USDT
1655856000,2022-06-22 00:00:00,HYVE/USDT,0.04581,0.04586,0.0441,0.04431,1346705.75915218,60448.535834181537
1655769600,2022-06-21 00:00:00,HYVE/USDT,0.0439,0.0547,0.04361,0.04583,2733393.65713812,125962.3655481719411
1655683200,2022-06-20 00:00:00,HYVE/USDT,0.04154,0.048,0.04021,0.04394,1015310.71190787,44830.584911940319
1655596800,2022-06-19 00:00:00,HYVE/USDT,0.0382,0.04154,0.03753,0.04154,2276890.13642463,89459.2973596460459
1655510400,2022-06-18 00:00:00,HYVE/USDT,0.0414,0.04208,0.0351,0.03823,2091932.23977836,81446.7545341334269
1655424000,2022-06-17 00:00:00,HYVE/USDT,0.04301,0.04451,0.041,0.04165,3069664.39309859,131455.8225851395308
1655337600,2022-06-16 00:00:00,HYVE/USDT,0.04718,0.0476,0.04202,0.043,1946049.98182226,87575.7297050000668
1655251200,2022-06-15 00:00:00,HYVE/USDT,0.0497,0.0513,0.042,0.04703,1736860.04058324,77751.1755521264351
1655164800,2022-06-14 00:00:00,HYVE/USDT,0.0467,0.0526,0.045,0.05,1788184.56773812,86249.248724103534
1655078400,2022-06-13 00:00:00,HYVE/USDT,0.0742,0.0745,0.0463,0.0468,2055208.68764362,111348.254428054478
1654992000,2022-06-12 00:00:00,HYVE/USDT,0.067,0.0887,0.0656,0.0742,2823051.1801474,209316.366843628642
1654905600,2022-06-11 00:00:00,HYVE/USDT,0.0672,0.0695,0.0666,0.067,1933620.66266834,130567.393197287433
1654819200,2022-06-10 00:00:00,HYVE/USDT,0.0682,0.0705,0.066,0.0673,1241434.237743,83985.382574130669
1654732800,2022-06-09 00:00:00,HYVE/USDT,0.0639,0.0773,0.0632,0.0683,2666371.22190231,178186.406512951575
1654646400,2022-06-08 00:00:00,HYVE/USDT,0.0661,0.0689,0.0604,0.064,1517608.17191495,100186.817713987971
1654560000,2022-06-07 00:00:00,HYVE/USDT,0.0692,0.0692,0.0644,0.0664,1740357.87129546,114946.494287498327
1654473600,2022-06-06 00:00:00,HYVE/USDT,0.0639,0.0994,0.0636,0.0687,3629465.91405688,269716.46203350589
1654387200,2022-06-05 00:00:00,HYVE/USDT,0.0644,0.0644,0.0616,0.0638,1981599.08564515,125586.242555298665
1654300800,2022-06-04 00:00:00,HYVE/USDT,0.0655,0.0683,0.0623,0.0644,1822648.77782213,118779.997916468777
1654214400,2022-06-03 00:00:00,HYVE/USDT,0.0635,0.0666,0.0631,0.0651,1997017.5788431,128897.22622071995
1654128000,2022-06-02 00:00:00,HYVE/USDT,0.063,0.0641,0.0622,0.0636,807050.06053587,50906.553893369235
1654041600,2022-06-01 00:00:00,HYVE/USDT,0.0675,0.0681,0.0617,0.0632,1046545.79295099,68825.231617179224
1653955200,2022-05-31 00:00:00,HYVE/USDT,0.067,0.0682,0.0649,0.0679,843337.45554533,56546.306112158769
1653868800,2022-05-30 00:00:00,HYVE/USDT,0.0607,0.0675,0.0607,0.0671,1430530.61913983,91758.532099037923
1653782400,2022-05-29 00:00:00,HYVE/USDT,0.0606,0.0625,0.0601,0.0612,1382846.20604425,84668.864775738447
1653696000,2022-05-28 00:00:00,HYVE/USDT,0.0633,0.0634,0.0593,0.0606,1624075.90243362,99468.989937788706
1653609600,2022-05-27 00:00:00,HYVE/USDT,0.0678,0.0679,0.0603,0.0632,1311313.84584252,83179.172435242547
1653523200,2022-05-26 00:00:00,HYVE/USDT,0.0691,0.0767,0.0671,0.0683,1869071.81283988,128716.694525590896
1653436800,2022-05-25 00:00:00,HYVE/USDT,0.068,0.0699,0.0671,0.0689,816254.9175759,55618.873724280848
1653350400,2022-05-24 00:00:00,HYVE/USDT,0.0662,0.0686,0.0657,0.0679,500042.58777754,33559.05372949638
1653264000,2022-05-23 00:00:00,HYVE/USDT,0.0683,0.0705,0.0651,0.0666,1125856.83940028,76634.234481267814
1653177600,2022-05-22 00:00:00,HYVE/USDT,0.0677,0.069,0.0656,0.0683,1800435.05080376,121056.204898958772
1653091200,2022-05-21 00:00:00,HYVE/USDT,0.0673,0.07,0.0656,0.0676,1153364.79705604,77784.171382489251
1653004800,2022-05-20 00:00:00,HYVE/USDT,0.069,0.0704,0.0643,0.0675,566205.06811228,38449.844391336056
1652918400,2022-05-19 00:00:00,HYVE/USDT,0.0672,0.0723,0.0672,0.0693,685318.88927876,47671.153389443012
1652832000,2022-05-18 00:00:00,HYVE/USDT,0.0712,0.073,0.0662,0.0666,423025.87736685,28953.026772326887
1652745600,2022-05-17 00:00:00,HYVE/USDT,0.0702,0.0721,0.0672,0.0711,151384.14395131,10644.900948755891
1652659200,2022-05-16 00:00:00,HYVE/USDT,0.0691,0.0766,0.0671,0.0703,152415.37199856,10781.733930237683
1652572800,2022-05-15 00:00:00,HYVE/USDT,0.0697,0.0748,0.0669,0.0695,142832.58273829,10122.441160587306
1652486400,2022-05-14 00:00:00,HYVE/USDT,0.0708,0.0708,0.067,0.0707,57622.54168934,4009.705274612631
1652400000,2022-05-13 00:00:00,HYVE/USDT,0.0628,0.0754,0.0614,0.0708,231768.48563318,16455.366119601059
1652313600,2022-05-12 00:00:00,HYVE/USDT,0.0709,0.071,0.0536,0.0633,173452.54172076,10964.146959288592
1652227200,2022-05-11 00:00:00,HYVE/USDT,0.0853,0.0861,0.0674,0.0706,153183.85979489,12008.375337995433
1652140800,2022-05-10 00:00:00,HYVE/USDT,0.085,0.088,0.0807,0.086,181520.96026496,15408.757145653643
1652054400,2022-05-09 00:00:00,HYVE/USDT,0.0962,0.0966,0.085,0.0855,208196.53364105,18887.985786137689
1651968000,2022-05-08 00:00:00,HYVE/USDT,0.0999,0.0999,0.0948,0.0953,100960.52534275,9763.177179217944
1651881600,2022-05-07 00:00:00,HYVE/USDT,0.0962,0.1051,0.0945,0.1002,192947.29082449,18783.600918869329
1651795200,2022-05-06 00:00:00,HYVE/USDT,0.1016,0.1019,0.0949,0.0969,341871.48583046,33295.857323817968
1651708800,2022-05-05 00:00:00,HYVE/USDT,0.1166,0.1201,0.1001,0.1017,796432.15837615,85197.833080987145
1651622400,2022-05-04 00:00:00,HYVE/USDT,0.1146,0.1191,0.114,0.1172,385182.03180775,44671.352294041086
