https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CIRUS,Volume USDT
1650924000,2022-04-25 22:00:00,CIRUS/USDT,0.16973,0.16987,0.16695,0.16843,40451.4703119,6813.7028068160262
1650920400,2022-04-25 21:00:00,CIRUS/USDT,0.16541,0.17084,0.16471,0.16918,61786.03297976,10319.2984241012546
1650916800,2022-04-25 20:00:00,CIRUS/USDT,0.17494,0.17539,0.16471,0.16471,96727.78982916,16232.6119872016984
1650913200,2022-04-25 19:00:00,CIRUS/USDT,0.16529,0.17999,0.16327,0.17491,164748.60110372,28327.7064381004339
1650909600,2022-04-25 18:00:00,CIRUS/USDT,0.16285,0.16541,0.1613,0.16532,31548.65300908,5148.46387457612
1650906000,2022-04-25 17:00:00,CIRUS/USDT,0.16761,0.16761,0.16,0.16276,64013.47912909,10391.0091021247401
1650902400,2022-04-25 16:00:00,CIRUS/USDT,0.1618,0.178,0.16177,0.16771,272928.31020409,46156.8988595111622
1650898800,2022-04-25 15:00:00,CIRUS/USDT,0.15856,0.1636,0.15756,0.16173,65843.13946864,10474.419030979182
1650895200,2022-04-25 14:00:00,CIRUS/USDT,0.15894,0.15929,0.15819,0.15819,22772.06882004,3613.7368232520601
1650891600,2022-04-25 13:00:00,CIRUS/USDT,0.16046,0.16095,0.15704,0.15896,41354.06427911,6581.5240579326791
1650888000,2022-04-25 12:00:00,CIRUS/USDT,0.16136,0.16206,0.15967,0.16049,32317.758732,5191.6840669184
1650884400,2022-04-25 11:00:00,CIRUS/USDT,0.15555,0.16272,0.15555,0.16137,61022.40799535,9688.1272320813685
1650880800,2022-04-25 10:00:00,CIRUS/USDT,0.15979,0.16085,0.15414,0.15576,42403.21791635,6662.23218607865
1650877200,2022-04-25 09:00:00,CIRUS/USDT,0.16482,0.1655,0.15839,0.15989,70278.34930529,11357.2555590114593
1650873600,2022-04-25 08:00:00,CIRUS/USDT,0.165,0.16839,0.16005,0.16484,83305.79096377,13694.8320126789619
1650870000,2022-04-25 07:00:00,CIRUS/USDT,0.15737,0.177,0.154,0.165,261218.0356696,43393.4458962807084
1650866400,2022-04-25 06:00:00,CIRUS/USDT,0.15941,0.16101,0.1572,0.15737,41512.71054237,6614.2048647759937
1650862800,2022-04-25 05:00:00,CIRUS/USDT,0.15344,0.16916,0.15247,0.15942,84096.52542989,13416.9212960734643
1650859200,2022-04-25 04:00:00,CIRUS/USDT,0.15482,0.1551,0.15268,0.15342,50081.4866,7698.381895041
1650855600,2022-04-25 03:00:00,CIRUS/USDT,0.1529,0.15798,0.15247,0.15484,59890.93417363,9205.8889288398266
1650852000,2022-04-25 02:00:00,CIRUS/USDT,0.1545,0.15498,0.15256,0.1531,28239.0215,4354.334268206
1650848400,2022-04-25 01:00:00,CIRUS/USDT,0.15747,0.15859,0.1526,0.1543,57246.55745727,8968.6166168620858
1650844800,2022-04-25 00:00:00,CIRUS/USDT,0.15734,0.17135,0.15427,0.1576,145321.98547601,23680.7894487057064
1650841200,2022-04-24 23:00:00,CIRUS/USDT,0.16096,0.161,0.15378,0.15735,75377.82649064,11796.5463667531635
1650837600,2022-04-24 22:00:00,CIRUS/USDT,0.15591,0.16776,0.15588,0.16099,76926.34994493,12520.0591908675512
1650834000,2022-04-24 21:00:00,CIRUS/USDT,0.17261,0.17822,0.15377,0.1561,266733.08306921,44044.9109593278417
1650830400,2022-04-24 20:00:00,CIRUS/USDT,0.14981,0.17428,0.14958,0.172,276200.12660529,43925.4425379910283
1650826800,2022-04-24 19:00:00,CIRUS/USDT,0.14916,0.15035,0.14617,0.1499,66216.56226907,9863.6466716681907
1650823200,2022-04-24 18:00:00,CIRUS/USDT,0.15033,0.15121,0.14789,0.15001,31427.83148661,4707.2874102274043
1650819600,2022-04-24 17:00:00,CIRUS/USDT,0.15054,0.15141,0.1481,0.15059,50867.43308413,7632.3284049735318
1650816000,2022-04-24 16:00:00,CIRUS/USDT,0.15352,0.15366,0.14867,0.15054,59976.69181138,9055.8069643061996
1650812400,2022-04-24 15:00:00,CIRUS/USDT,0.15443,0.15549,0.15216,0.15368,59323.81146121,9139.0182148986022
