https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RFUEL,Volume USDT
1646870400,2022-03-10 00:00:00,RFUEL/USDT,0.02687,0.02696,0.026205,0.026205,182049.26227101,4843.57777883650109
1646784000,2022-03-09 00:00:00,RFUEL/USDT,0.026205,0.027112,0.02601,0.026953,403987.56726349,10738.94173020900071
1646697600,2022-03-08 00:00:00,RFUEL/USDT,0.025753,0.026868,0.025435,0.026205,607997.41719466,15807.2817617683079
1646611200,2022-03-07 00:00:00,RFUEL/USDT,0.02676,0.026807,0.025751,0.025774,511197.57651855,13460.53857283212351
1646524800,2022-03-06 00:00:00,RFUEL/USDT,0.027096,0.027211,0.026686,0.02676,290239.55449319,7798.81625135208139
1646438400,2022-03-05 00:00:00,RFUEL/USDT,0.028529,0.028595,0.0225,0.027128,4731292.364682,124221.79910887944682
1646352000,2022-03-04 00:00:00,RFUEL/USDT,0.029819,0.030137,0.028316,0.028529,1272834.08560805,36750.60439747760265
1646265600,2022-03-03 00:00:00,RFUEL/USDT,0.030215,0.030585,0.029617,0.029842,256783.43111239,7707.92518082686232
1646179200,2022-03-02 00:00:00,RFUEL/USDT,0.03076,0.030848,0.030214,0.030223,118799.11759794,3629.78717033516912
1646092800,2022-03-01 00:00:00,RFUEL/USDT,0.029988,0.031288,0.029988,0.030747,320637.06670778,9848.01049402209293
1646006400,2022-02-28 00:00:00,RFUEL/USDT,0.028105,0.029988,0.028037,0.029843,353968.9070761,10295.90093898024649
1645920000,2022-02-27 00:00:00,RFUEL/USDT,0.028671,0.029928,0.028105,0.028105,834915.68262266,24188.99943203298234
1645833600,2022-02-26 00:00:00,RFUEL/USDT,0.029454,0.031442,0.028672,0.028682,1246131.00145985,37464.6097254738176
1645747200,2022-02-25 00:00:00,RFUEL/USDT,0.028197,0.029617,0.028175,0.029411,401632.51028919,11611.48590122781245
1645660800,2022-02-24 00:00:00,RFUEL/USDT,0.03281,0.032835,0.026686,0.028192,3354632.35130688,96287.50370882104717
1645574400,2022-02-23 00:00:00,RFUEL/USDT,0.032372,0.033805,0.032322,0.032809,795649.4162913,26455.2922518717916
1645488000,2022-02-22 00:00:00,RFUEL/USDT,0.033603,0.033631,0.032322,0.032542,607022.37670545,19941.83576216158045
1645401600,2022-02-21 00:00:00,RFUEL/USDT,0.033699,0.035282,0.033603,0.033603,912818.13617274,31467.29919950641268
1645315200,2022-02-20 00:00:00,RFUEL/USDT,0.036254,0.036269,0.033083,0.033849,2082267.08509056,71861.29321360093888
1645228800,2022-02-19 00:00:00,RFUEL/USDT,0.036711,0.036993,0.036128,0.036181,1006331.23534753,36762.82718629987579
1645142400,2022-02-18 00:00:00,RFUEL/USDT,0.039222,0.039222,0.036711,0.036761,1079016.76809602,40719.546703256864
1645056000,2022-02-17 00:00:00,RFUEL/USDT,0.043827,0.044048,0.039225,0.039354,2328888.30409566,96750.03342631743122
1644969600,2022-02-16 00:00:00,RFUEL/USDT,0.046054,0.046121,0.0433,0.043828,1594002.62853929,71470.32865879576348
