https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ATOM3S,Volume USDT
1646870400,2022-03-10 00:00:00,ATOM3S/USDT,0.5132,0.6517,0.5012,0.6205,1945858.30456692,1169612.82131072661
1646784000,2022-03-09 00:00:00,ATOM3S/USDT,0.6789,0.6815,0.4224,0.5144,1867105.87194387,959225.296635575239
1646697600,2022-03-08 00:00:00,ATOM3S/USDT,0.6453,0.7146,0.5814,0.6769,1264141.2746851,818729.589546225781
1646611200,2022-03-07 00:00:00,ATOM3S/USDT,0.665,0.7588,0.5628,0.6421,1977683.07468045,1308060.768887624077
1646524800,2022-03-06 00:00:00,ATOM3S/USDT,0.5244,0.689,0.5202,0.665,1088840.72431559,670667.689730528865
1646438400,2022-03-05 00:00:00,ATOM3S/USDT,0.5451,0.5933,0.482,0.5243,1380652.75028624,758848.15529859406
1646352000,2022-03-04 00:00:00,ATOM3S/USDT,0.4141,0.5555,0.4014,0.5451,2102174.72087165,983718.593761992696
1646265600,2022-03-03 00:00:00,ATOM3S/USDT,0.5078,0.5642,0.3988,0.4131,2228977.90607785,1054870.783275420321
1646179200,2022-03-02 00:00:00,ATOM3S/USDT,0.5603,0.6268,0.4756,0.5015,1326755.78304611,731198.914991419132
1646092800,2022-03-01 00:00:00,ATOM3S/USDT,0.5501,0.6284,0.4627,0.5638,1424447.86140516,777750.082536294387
1646006400,2022-02-28 00:00:00,ATOM3S/USDT,1.0375,1.0825,0.5222,0.5527,1214859.66294634,975089.484384873344
1645920000,2022-02-27 00:00:00,ATOM3S/USDT,0.7853,1.1,0.7834,1.0375,1421362.00758662,1290141.292753428384
1645833600,2022-02-26 00:00:00,ATOM3S/USDT,1.0861,1.089,0.7221,0.7855,1335944.51027676,1189089.513184505127
1645747200,2022-02-25 00:00:00,ATOM3S/USDT,1.5132,1.6319,1.045,1.0826,550703.58537055,747508.191012604501
1645660800,2022-02-24 00:00:00,ATOM3S/USDT,1.4688,2.0744,1.4187,1.5165,1016402.54397316,1804069.964823710068
1645574400,2022-02-23 00:00:00,ATOM3S/USDT,1.5367,1.5806,1.1642,1.4713,885906.64048984,1187368.599805200241
1645488000,2022-02-22 00:00:00,ATOM3S/USDT,1.7561,1.9126,1.5137,1.537,452837.56162417,771454.322847083128
1645401600,2022-02-21 00:00:00,ATOM3S/USDT,1.3965,1.7838,1.2285,1.7562,580530.82299107,842608.521118911578
1645315200,2022-02-20 00:00:00,ATOM3S/USDT,1.3128,1.4875,1.2952,1.4007,490705.0800943,686672.935767800908
1645228800,2022-02-19 00:00:00,ATOM3S/USDT,1.2791,1.3935,1.2165,1.3117,439266.62299077,573439.927592456392
1645142400,2022-02-18 00:00:00,ATOM3S/USDT,1.1521,1.29,1.023,1.2829,1092632.17366207,1275280.163128523707
1645056000,2022-02-17 00:00:00,ATOM3S/USDT,1.0884,1.1972,0.8401,1.1521,1620340.56560499,1658393.216361456996
1644969600,2022-02-16 00:00:00,ATOM3S/USDT,1.0467,1.1905,1.0188,1.0885,536987.61466598,592983.679018852893
1644883200,2022-02-15 00:00:00,ATOM3S/USDT,1.2943,1.2943,1.0234,1.0434,678500.06861851,767594.900489631671
1644796800,2022-02-14 00:00:00,ATOM3S/USDT,1.4433,1.5731,1.2507,1.2984,510188.71796762,714990.956694404873
1644710400,2022-02-13 00:00:00,ATOM3S/USDT,1.323,1.4924,1.235,1.4433,422716.35333314,572688.484283824979
1644624000,2022-02-12 00:00:00,ATOM3S/USDT,1.3888,1.4669,1.1279,1.323,840709.13770105,1077162.510132992626
1644537600,2022-02-11 00:00:00,ATOM3S/USDT,1.1095,1.4078,1.0716,1.3888,1303678.26381555,1529207.523587020639
1644451200,2022-02-10 00:00:00,ATOM3S/USDT,0.9414,1.1444,0.9154,1.1121,1588808.55913026,1632106.044966033167
1644364800,2022-02-09 00:00:00,ATOM3S/USDT,0.9839,1.0695,0.8906,0.9386,1166456.96191465,1135775.201899394797
1644278400,2022-02-08 00:00:00,ATOM3S/USDT,0.8826,1.0495,0.8041,0.9868,1667560.38368251,1584715.994741402117
1644192000,2022-02-07 00:00:00,ATOM3S/USDT,0.9083,0.9752,0.7555,0.884,1134034.28804823,959823.589486919621
1644105600,2022-02-06 00:00:00,ATOM3S/USDT,0.9657,1.021,0.8575,0.9093,807959.25284036,761249.879675926232
1644019200,2022-02-05 00:00:00,ATOM3S/USDT,0.9367,1.0428,0.8252,0.9675,1158887.83034478,1088218.439742035219
1643932800,2022-02-04 00:00:00,ATOM3S/USDT,1.1191,1.2446,0.8995,0.9343,1900220.35851952,2074315.483558732338
1643846400,2022-02-03 00:00:00,ATOM3S/USDT,1.7094,1.8529,1.0671,1.1224,1273166.38449512,1799192.594662385439
