https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XRP,Volume USDT
1655316000,2022-06-15 18:00:00,XRP/USDT,0.31047,0.32878,0.29728,0.31985,17093272.54945152,5341109.9889219419019
1655312400,2022-06-15 17:00:00,XRP/USDT,0.30545,0.31195,0.30225,0.31018,4260315.87545419,1302697.096399170901
1655308800,2022-06-15 16:00:00,XRP/USDT,0.31189,0.31349,0.3053,0.3056,3712284.48966171,1147812.708837776813
1655305200,2022-06-15 15:00:00,XRP/USDT,0.30883,0.31229,0.30872,0.31188,2979214.85267731,924833.6568526939714
1655301600,2022-06-15 14:00:00,XRP/USDT,0.31388,0.3153,0.30766,0.3089,4298470.88135568,1338139.2472475424456
1655298000,2022-06-15 13:00:00,XRP/USDT,0.31027,0.31659,0.30968,0.31382,4942515.51715341,1545772.008050606676
1655294400,2022-06-15 12:00:00,XRP/USDT,0.30966,0.31638,0.30841,0.31024,4471152.74098374,1390008.7821144887068
1655290800,2022-06-15 11:00:00,XRP/USDT,0.30619,0.31176,0.30436,0.30962,4741928.99621275,1462041.0859292689052
1655287200,2022-06-15 10:00:00,XRP/USDT,0.30255,0.30787,0.30152,0.30619,4073659.44114209,1242971.9510113647401
1655283600,2022-06-15 09:00:00,XRP/USDT,0.30183,0.30372,0.3,0.30257,4456344.88661325,1343482.391559066128
1655280000,2022-06-15 08:00:00,XRP/USDT,0.30465,0.3061,0.3,0.30181,5018958.80699281,1519346.5337338033125
1655276400,2022-06-15 07:00:00,XRP/USDT,0.30775,0.30821,0.30253,0.30468,3814037.29928709,1166934.9826582232907
1655272800,2022-06-15 06:00:00,XRP/USDT,0.3052,0.30848,0.3023,0.30777,5562670.83027027,1694058.5354415467439
1655269200,2022-06-15 05:00:00,XRP/USDT,0.30668,0.30755,0.30031,0.30516,5610697.78725954,1706947.9471909185715
1655265600,2022-06-15 04:00:00,XRP/USDT,0.31322,0.31356,0.3055,0.30668,6638968.1245013,2050201.5248786170732
1655262000,2022-06-15 03:00:00,XRP/USDT,0.31855,0.31954,0.31268,0.31337,3100955.20627381,979884.6540793227563
1655258400,2022-06-15 02:00:00,XRP/USDT,0.32264,0.32264,0.31637,0.3185,3536026.69260683,1127448.9513457048482
1655254800,2022-06-15 01:00:00,XRP/USDT,0.31851,0.32423,0.3181,0.32241,4030566.62954031,1296845.1557681721301
1655251200,2022-06-15 00:00:00,XRP/USDT,0.32149,0.322,0.31818,0.31853,4247051.38126914,1359949.0271044391331
1655247600,2022-06-14 23:00:00,XRP/USDT,0.31537,0.32302,0.31508,0.32147,3945549.89811017,1261829.5760745091389
1655244000,2022-06-14 22:00:00,XRP/USDT,0.31272,0.31621,0.31173,0.31542,2750333.01846799,864570.6986104080039
1655240400,2022-06-14 21:00:00,XRP/USDT,0.31504,0.3168,0.30983,0.31275,2243542.12715543,702083.3176154720837
