https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XAVA,Volume USDT
1655769600,2022-06-21 00:00:00,XAVA/USDT,0.6276,0.6898,0.6086,0.6149,268077.79633706,171921.714691587155
1655683200,2022-06-20 00:00:00,XAVA/USDT,0.5551,0.6738,0.541,0.6274,349460.27915134,215097.581864592567
1655596800,2022-06-19 00:00:00,XAVA/USDT,0.5337,0.5703,0.494,0.5564,195185.36466098,103795.779657283421
1655510400,2022-06-18 00:00:00,XAVA/USDT,0.5475,0.5553,0.489,0.5334,191015.30016296,100543.765994654624
1655424000,2022-06-17 00:00:00,XAVA/USDT,0.5314,0.564,0.525,0.5487,163903.58667645,89339.846826927281
1655337600,2022-06-16 00:00:00,XAVA/USDT,0.6201,0.6321,0.5245,0.5311,165963.67375683,95465.432630549195
1655251200,2022-06-15 00:00:00,XAVA/USDT,0.5792,0.624,0.5225,0.62,231698.81156232,129565.359426488702
1655164800,2022-06-14 00:00:00,XAVA/USDT,0.551,0.6478,0.498,0.5778,228114.89225384,129820.115041858499
1655078400,2022-06-13 00:00:00,XAVA/USDT,0.5985,0.599,0.5036,0.5512,235562.60865409,130448.05521355318
1654992000,2022-06-12 00:00:00,XAVA/USDT,0.6287,0.6412,0.5756,0.5988,204588.68663715,124628.7191786521
1654905600,2022-06-11 00:00:00,XAVA/USDT,0.7182,0.7472,0.62,0.6285,155050.14539782,104570.506614231521
1654819200,2022-06-10 00:00:00,XAVA/USDT,0.7832,0.7983,0.7113,0.7183,151272.47382349,113975.122703826995
1654732800,2022-06-09 00:00:00,XAVA/USDT,0.7903,0.819,0.7718,0.7834,130514.82585224,102588.022534594807
1654646400,2022-06-08 00:00:00,XAVA/USDT,0.8195,0.8267,0.768,0.7905,142859.59585669,113114.410403730233
1654560000,2022-06-07 00:00:00,XAVA/USDT,0.8732,0.889,0.7626,0.8209,203495.51102417,166597.211963481254
1654473600,2022-06-06 00:00:00,XAVA/USDT,0.823,0.9272,0.8176,0.873,172638.70929885,150524.481697506452
1654387200,2022-06-05 00:00:00,XAVA/USDT,0.8055,0.8476,0.79,0.8228,137641.09299911,112993.28565033161
1654300800,2022-06-04 00:00:00,XAVA/USDT,0.7565,0.8551,0.7396,0.8047,182849.74697933,141975.661120505094
1654214400,2022-06-03 00:00:00,XAVA/USDT,0.8126,0.8914,0.7501,0.7562,153523.84885413,120415.646102088412
1654128000,2022-06-02 00:00:00,XAVA/USDT,0.7779,0.8183,0.7506,0.8183,153446.52628905,120618.38174718951
1654041600,2022-06-01 00:00:00,XAVA/USDT,0.8877,0.904,0.7722,0.7826,132241.06639137,111567.245788464192
1653955200,2022-05-31 00:00:00,XAVA/USDT,0.9208,0.9745,0.865,0.8878,142948.4833183,129417.884939338641
1653868800,2022-05-30 00:00:00,XAVA/USDT,0.8827,1.0054,0.8582,0.9205,175228.37462444,160814.182660356994
1653782400,2022-05-29 00:00:00,XAVA/USDT,0.8305,0.9107,0.7951,0.8828,199176.94504541,170463.834814566046
1653696000,2022-05-28 00:00:00,XAVA/USDT,0.7701,0.8632,0.7461,0.8357,149584.33850213,118055.409461551613
1653609600,2022-05-27 00:00:00,XAVA/USDT,0.7972,0.8042,0.7295,0.77,165682.01273771,125390.913031491173
1653523200,2022-05-26 00:00:00,XAVA/USDT,0.8988,0.9076,0.7681,0.7978,151651.83331368,125854.678424207426
1653436800,2022-05-25 00:00:00,XAVA/USDT,0.9402,0.956,0.892,0.8986,122628.26576596,113058.82504456922
1653350400,2022-05-24 00:00:00,XAVA/USDT,0.967,0.9914,0.8955,0.9403,114412.3418505,108352.673820714124
1653264000,2022-05-23 00:00:00,XAVA/USDT,1.0497,1.0891,0.9501,0.9668,129435.79496247,133693.359898368972
1653177600,2022-05-22 00:00:00,XAVA/USDT,0.964,1.0771,0.9421,1.0495,112696.57736787,112920.230236880716
1653091200,2022-05-21 00:00:00,XAVA/USDT,0.9161,0.9891,0.8838,0.9642,122913.9266581,116449.516727660648
1653004800,2022-05-20 00:00:00,XAVA/USDT,0.915,1.0098,0.8696,0.9162,139316.70963964,128970.965219164968
1652918400,2022-05-19 00:00:00,XAVA/USDT,0.8956,0.9399,0.8,0.9147,159300.75508918,139849.739256666719
1652832000,2022-05-18 00:00:00,XAVA/USDT,0.9859,1.1,0.8461,0.8967,154591.01942392,149369.961844033115
1652745600,2022-05-17 00:00:00,XAVA/USDT,0.9445,1.0482,0.92,0.9862,108233.66795146,106341.969868430704
1652659200,2022-05-16 00:00:00,XAVA/USDT,1.03,1.0318,0.901,0.9474,104933.18628929,100616.715662467501
1652572800,2022-05-15 00:00:00,XAVA/USDT,0.9529,1.0488,0.9201,1.0315,99825.37745735,97435.033797579973
1652486400,2022-05-14 00:00:00,XAVA/USDT,0.9315,0.9728,0.8414,0.96,131435.80170027,119896.036971456762
1652400000,2022-05-13 00:00:00,XAVA/USDT,0.8765,1.2503,0.8644,0.9389,148593.51529266,153456.48232577149
1652313600,2022-05-12 00:00:00,XAVA/USDT,0.9851,1.0579,0.7575,0.8721,167918.08005143,148825.763180735598
1652227200,2022-05-11 00:00:00,XAVA/USDT,1.4793,1.526,0.8967,0.9902,161716.58145762,190420.592631182007
1652140800,2022-05-10 00:00:00,XAVA/USDT,1.3633,1.8173,1.2801,1.4793,122063.88953794,182402.485910770724
1652054400,2022-05-09 00:00:00,XAVA/USDT,1.7839,1.8898,1.3337,1.3633,114040.11204807,185320.165479236857
1651968000,2022-05-08 00:00:00,XAVA/USDT,1.9269,1.9378,1.75,1.7839,71937.22773827,133110.90118891985
1651881600,2022-05-07 00:00:00,XAVA/USDT,2.0395,2.0534,1.9115,1.9269,60160.92464088,120762.297125644387
1651795200,2022-05-06 00:00:00,XAVA/USDT,2.126,2.133,2,2.0416,43450.31138558,90014.958163223419
1651708800,2022-05-05 00:00:00,XAVA/USDT,2.4185,2.5221,2.031,2.1263,58968.22112369,132975.661049627216
1651622400,2022-05-04 00:00:00,XAVA/USDT,2.1714,2.49,2.1706,2.4235,74602.26802757,172854.352164583198
1651536000,2022-05-03 00:00:00,XAVA/USDT,2.2946,2.3871,2.1575,2.1724,39109.11804157,88823.080672160087
1651449600,2022-05-02 00:00:00,XAVA/USDT,2.182,2.3566,2.1043,2.3142,59742.46219477,133705.419885597508
1651363200,2022-05-01 00:00:00,XAVA/USDT,2.1954,2.3509,2.1284,2.1823,56453.88243341,125028.295687292447
1651276800,2022-04-30 00:00:00,XAVA/USDT,2.5211,2.6029,2.16,2.1952,57472.14810698,137258.434241146948
1651190400,2022-04-29 00:00:00,XAVA/USDT,2.6814,2.7281,2.4262,2.5185,44245.88999514,115173.770398719941
1651104000,2022-04-28 00:00:00,XAVA/USDT,2.8541,2.8869,2.5711,2.6829,44142.54243857,121741.941795409977
1651017600,2022-04-27 00:00:00,XAVA/USDT,2.8248,2.9537,2.76,2.8547,47809.71327299,136943.927446181692
1650931200,2022-04-26 00:00:00,XAVA/USDT,3.051,3.1699,2.8,2.824,42760.43777093,127598.630170287387
1650844800,2022-04-25 00:00:00,XAVA/USDT,3.0266,3.1089,2.8002,3.0516,48349.7956155,143116.724285744918
1650758400,2022-04-24 00:00:00,XAVA/USDT,3.1079,3.214,2.9762,3.0262,38996.60195751,120240.308183783718
1650672000,2022-04-23 00:00:00,XAVA/USDT,2.9984,3.2593,2.8319,3.1079,60783.26987572,184244.199242939176
1650585600,2022-04-22 00:00:00,XAVA/USDT,2.9907,3.0759,2.92,2.9983,41192.40063564,123320.875782476209
1650499200,2022-04-21 00:00:00,XAVA/USDT,3.1915,3.22,2.9556,2.9901,41977.99660038,131528.6297004558
1650412800,2022-04-20 00:00:00,XAVA/USDT,3.2624,3.3993,3.101,3.2051,57561.84642402,185306.666010519491
1650326400,2022-04-19 00:00:00,XAVA/USDT,3.199,3.2999,3.1577,3.2619,41071.35694746,132160.330773318201
1650240000,2022-04-18 00:00:00,XAVA/USDT,3.0604,3.269,2.8722,3.1942,58388.6967469,177323.420558701156
1650153600,2022-04-17 00:00:00,XAVA/USDT,3.0853,3.279,2.9879,3.0603,69019.73458676,214091.465202916783
1650067200,2022-04-16 00:00:00,XAVA/USDT,3.1326,3.1844,3.0622,3.0965,33727.86015653,105079.637016010341
1649980800,2022-04-15 00:00:00,XAVA/USDT,3.1231,3.2179,2.87,3.1326,47198.48800611,145428.322647773503
