https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNB,Volume USDT
1653004800,2022-05-20 00:00:00,UNB/USDT,0.00254,0.002617,0.002404,0.002472,10669005.31136956,26789.82205551592203
1652918400,2022-05-19 00:00:00,UNB/USDT,0.002711,0.002853,0.002393,0.002577,17782576.10423071,47595.49774281764658
1652832000,2022-05-18 00:00:00,UNB/USDT,0.002403,0.0032,0.002235,0.002719,70426266.0452698,194762.48167372203264
1652745600,2022-05-17 00:00:00,UNB/USDT,0.00196,0.0034,0.001762,0.002403,117035293.09615154,303985.93842342083079
1652659200,2022-05-16 00:00:00,UNB/USDT,0.001872,0.002743,0.001495,0.00196,46952514.76219949,86155.8974318487575
1652572800,2022-05-15 00:00:00,UNB/USDT,0.001707,0.002103,0.001597,0.001887,23413416.09097277,42241.45879765737046
1652486400,2022-05-14 00:00:00,UNB/USDT,0.001884,0.001995,0.001416,0.001707,30966320.98019567,52508.91515792957733
1652400000,2022-05-13 00:00:00,UNB/USDT,0.001352,0.001999,0.001191,0.001884,49147020.01926333,76781.06631258315004
1652313600,2022-05-12 00:00:00,UNB/USDT,0.002473,0.002618,0.001135,0.001428,19922465.24582462,37796.35503347367278
1652227200,2022-05-11 00:00:00,UNB/USDT,0.003751,0.0043,0.002295,0.002501,35300848.81413618,116223.10563374290025
1652140800,2022-05-10 00:00:00,UNB/USDT,0.003908,0.00393,0.003301,0.003751,12116635.82323237,44838.17751494977709
1652054400,2022-05-09 00:00:00,UNB/USDT,0.004209,0.0045,0.00381,0.00394,9934771.36579879,40476.22856199325086
1651968000,2022-05-08 00:00:00,UNB/USDT,0.004199,0.004629,0.003852,0.004239,11700584.38714642,48500.95830089490458
1651881600,2022-05-07 00:00:00,UNB/USDT,0.004723,0.00474,0.004067,0.004199,15337523.47432689,68214.36529570639059
1651795200,2022-05-06 00:00:00,UNB/USDT,0.004733,0.00499,0.004375,0.004758,23078996.77956734,109109.64436263978257
1651708800,2022-05-05 00:00:00,UNB/USDT,0.004235,0.005,0.00419,0.004729,29155036.12915548,135138.64793307991063
1651622400,2022-05-04 00:00:00,UNB/USDT,0.004129,0.004322,0.00403,0.004235,15428870.16505322,63926.64732412238596
1651536000,2022-05-03 00:00:00,UNB/USDT,0.003949,0.005024,0.003949,0.00415,15597453.50058374,67721.57789593203263
1651449600,2022-05-02 00:00:00,UNB/USDT,0.004009,0.004316,0.003919,0.003946,3325247.87933116,13538.81317811940585
1651363200,2022-05-01 00:00:00,UNB/USDT,0.004114,0.004133,0.003755,0.00398,8424140.67911473,33667.01616835439667
1651276800,2022-04-30 00:00:00,UNB/USDT,0.004583,0.005,0.003652,0.004114,37452645.66645064,158414.10038609361771
1651190400,2022-04-29 00:00:00,UNB/USDT,0.005217,0.005217,0.0045,0.004548,5450961.15062875,26300.7276078012704
1651104000,2022-04-28 00:00:00,UNB/USDT,0.005198,0.0054,0.00509,0.00518,2206760.37792931,11503.30992081449378
1651017600,2022-04-27 00:00:00,UNB/USDT,0.005273,0.005793,0.005131,0.005198,8969211.24034956,48399.43708350788112
1650931200,2022-04-26 00:00:00,UNB/USDT,0.005073,0.005553,0.005053,0.005245,11277799.12081489,60012.21448495128514
1650844800,2022-04-25 00:00:00,UNB/USDT,0.005432,0.005503,0.004913,0.005072,17501649.974103,90700.70059142995796
1650758400,2022-04-24 00:00:00,UNB/USDT,0.005444,0.005799,0.005144,0.005469,25198682.67527604,137062.75444009402935
1650672000,2022-04-23 00:00:00,UNB/USDT,0.005248,0.005481,0.005238,0.005425,1620432.14402493,8666.99296805122503
1650585600,2022-04-22 00:00:00,UNB/USDT,0.005499,0.005629,0.00508,0.005245,4336354.37858958,23162.61066962264049
1650499200,2022-04-21 00:00:00,UNB/USDT,0.005917,0.005999,0.005463,0.005499,3941525.10076702,22369.51046904072278
1650412800,2022-04-20 00:00:00,UNB/USDT,0.005805,0.005986,0.00565,0.005945,9952279.82018367,58045.25565330323241
1650326400,2022-04-19 00:00:00,UNB/USDT,0.005744,0.005999,0.005669,0.005796,8525256.07777279,49662.780937408139
1650240000,2022-04-18 00:00:00,UNB/USDT,0.005605,0.005842,0.00538,0.00574,6305410.62452642,35368.66737439211686
1650153600,2022-04-17 00:00:00,UNB/USDT,0.005667,0.0058,0.005538,0.005609,4946595.99263423,28030.66669153287667
1650067200,2022-04-16 00:00:00,UNB/USDT,0.005625,0.005743,0.005514,0.005629,3863419.3459853,21615.31769322809295
1649980800,2022-04-15 00:00:00,UNB/USDT,0.005796,0.005847,0.005567,0.005629,6276383.893327,35647.0742541746203
1649894400,2022-04-14 00:00:00,UNB/USDT,0.005792,0.005995,0.005736,0.005794,3222650.18597382,18791.00080895441136
