https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GRT,Volume USDT
1656694800,2022-07-01 17:00:00,GRT/USDT,0.09226,0.09352,0.092,0.09337,530790.85532969,49328.8762639404717
1656691200,2022-07-01 16:00:00,GRT/USDT,0.09212,0.09308,0.0913,0.09215,228480.32735507,21009.9133549724586
1656687600,2022-07-01 15:00:00,GRT/USDT,0.09197,0.09258,0.09144,0.0921,74319.84463645,6835.0336500207886
1656684000,2022-07-01 14:00:00,GRT/USDT,0.09246,0.09255,0.09101,0.09202,101033.23427623,9283.0930217752672
1656680400,2022-07-01 13:00:00,GRT/USDT,0.09109,0.0933,0.09098,0.09243,144050.27383835,13299.9837271533443
1656676800,2022-07-01 12:00:00,GRT/USDT,0.09167,0.0921,0.09085,0.09106,36515.34753447,3339.2271600723912
1656673200,2022-07-01 11:00:00,GRT/USDT,0.0904,0.0918,0.09006,0.09169,54439.9765139,4968.2898302157097
1656669600,2022-07-01 10:00:00,GRT/USDT,0.09219,0.09258,0.09015,0.09047,325748.98499396,29866.9859874647794
1656666000,2022-07-01 09:00:00,GRT/USDT,0.09226,0.09268,0.09165,0.09216,59443.69193599,5470.7155432946184
1656662400,2022-07-01 08:00:00,GRT/USDT,0.09275,0.09405,0.09205,0.09225,156939.80869803,14643.520991636133
1656658800,2022-07-01 07:00:00,GRT/USDT,0.09147,0.09346,0.09075,0.09291,39826.61227982,3671.2222020764479
1656655200,2022-07-01 06:00:00,GRT/USDT,0.09124,0.09167,0.09045,0.09157,126790.84916806,11563.6527614566179
1656651600,2022-07-01 05:00:00,GRT/USDT,0.09142,0.0918,0.09001,0.09127,237916.1626157,21616.3980315689541
1656648000,2022-07-01 04:00:00,GRT/USDT,0.09307,0.09312,0.09124,0.09146,237146.00818842,21825.4238187630694
1656644400,2022-07-01 03:00:00,GRT/USDT,0.09601,0.09619,0.0928,0.09303,216246.87654511,20458.4800762337068
1656640800,2022-07-01 02:00:00,GRT/USDT,0.09709,0.09762,0.09588,0.09611,45649.83174083,4418.2599269422088
1656637200,2022-07-01 01:00:00,GRT/USDT,0.09814,0.09832,0.09643,0.09716,355990.43514421,34810.7436515297446
1656633600,2022-07-01 00:00:00,GRT/USDT,0.09543,0.09928,0.09436,0.09815,499883.2296259,48510.5957807862384
1656630000,2022-06-30 23:00:00,GRT/USDT,0.09192,0.09605,0.09045,0.09559,773077.14040434,72730.8143903985838
1656626400,2022-06-30 22:00:00,GRT/USDT,0.09196,0.09255,0.09035,0.09193,193966.17408319,17698.1746963265909
1656622800,2022-06-30 21:00:00,GRT/USDT,0.09229,0.09369,0.09189,0.09189,247330.91389093,23028.620782691539
1656619200,2022-06-30 20:00:00,GRT/USDT,0.09359,0.09416,0.09166,0.09227,454834.97780497,42126.2284113756454
1656615600,2022-06-30 19:00:00,GRT/USDT,0.09215,0.09352,0.09177,0.09352,82645.44740215,7661.406555181292
1656612000,2022-06-30 18:00:00,GRT/USDT,0.09322,0.09332,0.09167,0.09221,331957.87103226,30853.9276661127667
1656608400,2022-06-30 17:00:00,GRT/USDT,0.09311,0.09413,0.09265,0.0932,182888.63256828,17020.4921566433836
1656604800,2022-06-30 16:00:00,GRT/USDT,0.09292,0.09445,0.09233,0.09293,231554.11169289,21609.4490334005844
1656601200,2022-06-30 15:00:00,GRT/USDT,0.09165,0.09377,0.09161,0.0928,208393.30582124,19420.1845134797454
1656597600,2022-06-30 14:00:00,GRT/USDT,0.0904,0.09185,0.0904,0.09175,93100.29351206,8486.4739995105412
1656594000,2022-06-30 13:00:00,GRT/USDT,0.09132,0.09179,0.08919,0.0904,245971.53947597,22360.5264729045809
