https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNI3L,Volume USDT
1647388800,2022-03-16 00:00:00,UNI3L/USDT,0.03958,0.046022,0.036555,0.044028,2283622.98066409,93908.53272338832232
1647302400,2022-03-15 00:00:00,UNI3L/USDT,0.036919,0.040571,0.0321,0.039125,2408073.59170477,89202.72523135437403
1647216000,2022-03-14 00:00:00,UNI3L/USDT,0.0331,0.03814,0.032101,0.0365,1861427.40210803,66888.26744853362556
1647129600,2022-03-13 00:00:00,UNI3L/USDT,0.036598,0.0403,0.03231,0.0331,1092203.49589677,40129.73155650864025
1647043200,2022-03-12 00:00:00,UNI3L/USDT,0.037221,0.042111,0.036535,0.036585,1123368.11057133,44694.89985266699912
1646956800,2022-03-11 00:00:00,UNI3L/USDT,0.0397,0.044523,0.03544,0.037283,6964265.21730878,274488.79190261665293
1646870400,2022-03-10 00:00:00,UNI3L/USDT,0.0484,0.0497,0.037003,0.0397,7577596.98156457,312806.550445704725
1646784000,2022-03-09 00:00:00,UNI3L/USDT,0.042373,0.052562,0.041479,0.048,7603862.28030471,364631.67373156821657
1646697600,2022-03-08 00:00:00,UNI3L/USDT,0.036,0.043463,0.0353,0.042418,5343049.09102205,215818.06026893086705
1646611200,2022-03-07 00:00:00,UNI3L/USDT,0.038052,0.042535,0.033323,0.035909,2677704.17703323,99747.73322940489713
1646524800,2022-03-06 00:00:00,UNI3L/USDT,0.04679,0.0474,0.037771,0.0383,2372652.08273593,99571.38772959492105
1646438400,2022-03-05 00:00:00,UNI3L/USDT,0.0434,0.0484,0.041399,0.0469,4896751.06194798,221838.36788427547128
1646352000,2022-03-04 00:00:00,UNI3L/USDT,0.057041,0.057041,0.0409,0.0433,8494475.52947236,415376.56048083053588
1646265600,2022-03-03 00:00:00,UNI3L/USDT,0.066401,0.068977,0.0542,0.0569,3470097.38572917,214959.26195335869337
1646179200,2022-03-02 00:00:00,UNI3L/USDT,0.0734,0.0782,0.0654,0.066746,6731781.90418916,477592.95985327008635
1646092800,2022-03-01 00:00:00,UNI3L/USDT,0.0776,0.0837,0.0665,0.0737,11291667.28065944,842424.421940324944
1646006400,2022-02-28 00:00:00,UNI3L/USDT,0.0623,0.0811,0.0552,0.0773,10533185.96271471,692041.917852292649
1645920000,2022-02-27 00:00:00,UNI3L/USDT,0.0514,0.0694,0.0441,0.0626,7700498.2950569,465653.131428143875
1645833600,2022-02-26 00:00:00,UNI3L/USDT,0.0547,0.0603,0.0494,0.0506,4055004.06952367,217198.37870874178
1645747200,2022-02-25 00:00:00,UNI3L/USDT,0.0472,0.0577,0.0424,0.0544,2991622.48996572,151229.424160124525
1645660800,2022-02-24 00:00:00,UNI3L/USDT,0.053,0.0538,0.0309,0.0481,4765462.3640512,195521.366066579186
1645574400,2022-02-23 00:00:00,UNI3L/USDT,0.0551,0.0677,0.0531,0.0544,2804152.54305989,163287.677471714304
1645488000,2022-02-22 00:00:00,UNI3L/USDT,0.0496,0.0578,0.0437,0.0555,2195838.19713121,112591.251530515004
1645401600,2022-02-21 00:00:00,UNI3L/USDT,0.0672,0.0773,0.05,0.0504,1596749.51242156,105953.314844669977
1645315200,2022-02-20 00:00:00,UNI3L/USDT,0.0855,0.086,0.0643,0.0688,1362263.49413534,97560.499659808687
1645228800,2022-02-19 00:00:00,UNI3L/USDT,0.0895,0.0969,0.0791,0.0859,581750.18766917,50679.000368948261
1645142400,2022-02-18 00:00:00,UNI3L/USDT,0.0969,0.1047,0.086,0.0904,1183919.88865526,112325.439731877413
1645056000,2022-02-17 00:00:00,UNI3L/USDT,0.1254,0.1299,0.0913,0.0963,764159.93313198,83280.66273460982
1644969600,2022-02-16 00:00:00,UNI3L/USDT,0.1327,0.1346,0.1097,0.1247,970439.1996718,119771.097673212158
1644883200,2022-02-15 00:00:00,UNI3L/USDT,0.1079,0.1345,0.1077,0.1327,1708743.36817547,206043.936779453347
1644796800,2022-02-14 00:00:00,UNI3L/USDT,0.1,0.1112,0.0942,0.1078,635068.22589697,65754.727306909848
1644710400,2022-02-13 00:00:00,UNI3L/USDT,0.108,0.1147,0.0974,0.1015,468035.18775587,50717.302539260662
1644624000,2022-02-12 00:00:00,UNI3L/USDT,0.1101,0.1192,0.1034,0.108,616828.2439284,68429.816946586258
1644537600,2022-02-11 00:00:00,UNI3L/USDT,0.1377,0.1468,0.101,0.1102,841341.88867901,109690.386644536843
1644451200,2022-02-10 00:00:00,UNI3L/USDT,0.178,0.178,0.1367,0.1384,1807581.22500787,282769.38330703462
1644364800,2022-02-09 00:00:00,UNI3L/USDT,0.1613,0.1899,0.1491,0.1785,2574494.87233435,446159.468660206004
1644278400,2022-02-08 00:00:00,UNI3L/USDT,0.1813,0.2055,0.1431,0.1616,2426348.33812886,418396.863424828004
1644192000,2022-02-07 00:00:00,UNI3L/USDT,0.1541,0.1919,0.1431,0.181,1497585.87085961,259073.128048276735
1644105600,2022-02-06 00:00:00,UNI3L/USDT,0.14,0.1574,0.1309,0.1557,733616.37610247,104427.295546299016
1644019200,2022-02-05 00:00:00,UNI3L/USDT,0.1358,0.1667,0.1351,0.139,715893.31962293,106013.058481603088
1643932800,2022-02-04 00:00:00,UNI3L/USDT,0.1118,0.1373,0.1094,0.1367,712768.95861619,90267.304363344649
1643846400,2022-02-03 00:00:00,UNI3L/USDT,0.1135,0.1231,0.098,0.1116,486219.12585637,54069.789707743678
1643760000,2022-02-02 00:00:00,UNI3L/USDT,0.139,0.1481,0.1118,0.1149,438159.94128589,58032.793531421573
1643673600,2022-02-01 00:00:00,UNI3L/USDT,0.1657,0.1714,0.1372,0.1385,450777.29338502,67021.712467252759
1643587200,2022-01-31 00:00:00,UNI3L/USDT,0.1299,0.173,0.1135,0.1664,624464.74879343,94828.984240627962
1643500800,2022-01-30 00:00:00,UNI3L/USDT,0.1439,0.1562,0.1247,0.1306,217422.6757665,31434.489410470634
