https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SFP,Volume USDT
1646352000,2022-03-04 00:00:00,SFP/USDT,0.719,0.7879,0.6719,0.6789,328365.65926557,244802.625980344132
1646265600,2022-03-03 00:00:00,SFP/USDT,0.705,0.7497,0.6865,0.7185,76570.94869046,54401.818554982701
1646179200,2022-03-02 00:00:00,SFP/USDT,0.7165,0.7483,0.6978,0.7093,81513.42932423,59213.029193666748
1646092800,2022-03-01 00:00:00,SFP/USDT,0.6919,0.73,0.6919,0.7211,82073.81047004,58290.755335311703
1646006400,2022-02-28 00:00:00,SFP/USDT,0.6159,0.6918,0.6065,0.6908,25328.6034671,16778.332690937461
1645920000,2022-02-27 00:00:00,SFP/USDT,0.6491,0.6652,0.61,0.6147,25208.66771871,16189.036528305717
1645833600,2022-02-26 00:00:00,SFP/USDT,0.6492,0.6698,0.64,0.6534,24269.57658422,15847.892814203221
1645747200,2022-02-25 00:00:00,SFP/USDT,0.6196,0.6819,0.6065,0.6481,74286.66331009,47152.597329708195
1645660800,2022-02-24 00:00:00,SFP/USDT,0.658,0.6614,0.55,0.6179,169318.94472977,98615.648742341827
1645574400,2022-02-23 00:00:00,SFP/USDT,0.6839,0.7362,0.659,0.662,50145.12669462,34820.567981549041
1645488000,2022-02-22 00:00:00,SFP/USDT,0.645,0.6978,0.6213,0.6889,21524.2351521,14234.247637929772
1645401600,2022-02-21 00:00:00,SFP/USDT,0.7094,0.7417,0.6403,0.6403,53552.93040623,37700.408006273905
1645315200,2022-02-20 00:00:00,SFP/USDT,0.7483,0.753,0.6926,0.709,85506.22192173,60709.063473099526
1645228800,2022-02-19 00:00:00,SFP/USDT,0.7402,0.7915,0.7344,0.7498,67614.95663596,51161.863909453444
1645142400,2022-02-18 00:00:00,SFP/USDT,0.7597,0.7815,0.7284,0.7451,30208.07436218,22808.637225146017
1645056000,2022-02-17 00:00:00,SFP/USDT,0.8568,0.9669,0.7595,0.7597,158886.35535724,138466.479494251169
1644969600,2022-02-16 00:00:00,SFP/USDT,0.8528,0.8717,0.8156,0.8542,61390.33597219,51743.599711078924
1644883200,2022-02-15 00:00:00,SFP/USDT,0.7949,0.8578,0.7897,0.8526,34047.8582329,28264.506257650313
1644796800,2022-02-14 00:00:00,SFP/USDT,0.7645,0.8034,0.743,0.7978,28133.87797256,21840.687697915893
1644710400,2022-02-13 00:00:00,SFP/USDT,0.8002,0.8089,0.7523,0.7647,28929.32338357,22866.153802194857
1644624000,2022-02-12 00:00:00,SFP/USDT,0.7966,0.8198,0.7679,0.794,25163.18409926,20118.162763247877
1644537600,2022-02-11 00:00:00,SFP/USDT,0.8509,0.8847,0.7824,0.7969,43909.58884283,37120.376166476692
1644451200,2022-02-10 00:00:00,SFP/USDT,0.9184,0.961,0.8401,0.8516,106181.33342508,94802.601903841959
1644364800,2022-02-09 00:00:00,SFP/USDT,0.9056,0.9222,0.8817,0.9149,39445.23225739,35809.6284323024
1644278400,2022-02-08 00:00:00,SFP/USDT,0.9334,0.9554,0.8759,0.9056,57865.39725381,52517.066415835024
1644192000,2022-02-07 00:00:00,SFP/USDT,0.8835,1.0163,0.8671,0.9333,118867.32767545,110817.10442653188
1644105600,2022-02-06 00:00:00,SFP/USDT,0.8801,0.9148,0.8613,0.8845,39953.7321612,35470.481569112202
1644019200,2022-02-05 00:00:00,SFP/USDT,0.8859,0.935,0.8609,0.8793,90084.12340165,80670.735325616085
1643932800,2022-02-04 00:00:00,SFP/USDT,0.8088,0.9328,0.8056,0.8872,78674.11577881,68397.916742049901
1643846400,2022-02-03 00:00:00,SFP/USDT,0.7986,0.8084,0.7693,0.8082,44100.49879782,34972.456140197668
