https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume GMT,Volume USDT
1650636000,2022-04-22 14:00:00,GMT/USDT,3.0834,3.148,3.0515,3.1047,366251.69886408,1136551.471009625662
1650632400,2022-04-22 13:00:00,GMT/USDT,3.1973,3.2074,3.0626,3.083,590122.99645774,1841200.883731860368
1650628800,2022-04-22 12:00:00,GMT/USDT,3.2369,3.2528,3.1873,3.1979,248823.33110999,800663.324679820692
1650625200,2022-04-22 11:00:00,GMT/USDT,3.1917,3.2384,3.1744,3.2384,164440.64579797,526740.770750503774
1650621600,2022-04-22 10:00:00,GMT/USDT,3.1909,3.2261,3.1712,3.1903,177071.54384366,565927.871793445599
1650618000,2022-04-22 09:00:00,GMT/USDT,3.1736,3.2211,3.1562,3.1915,292246.64112324,929875.402945012165
1650614400,2022-04-22 08:00:00,GMT/USDT,3.2232,3.2338,3.1507,3.1732,402788.67534592,1288476.304962972478
1650610800,2022-04-22 07:00:00,GMT/USDT,3.2732,3.2786,3.1749,3.2242,567418.84033546,1830115.704520475935
1650607200,2022-04-22 06:00:00,GMT/USDT,3.2319,3.2865,3.2211,3.2724,555055.50058783,1810091.774598400954
1650603600,2022-04-22 05:00:00,GMT/USDT,3.1611,3.2491,3.1485,3.2319,268716.34326683,859231.132945891955
1650600000,2022-04-22 04:00:00,GMT/USDT,3.1782,3.231,3.1535,3.1613,415407.60890688,1326253.172440643751
1650596400,2022-04-22 03:00:00,GMT/USDT,3.1181,3.2167,3.0936,3.1809,416599.63034083,1318408.460498048127
1650592800,2022-04-22 02:00:00,GMT/USDT,3.107,3.1491,3.1035,3.1178,97518.06143111,304368.819174293364
1650589200,2022-04-22 01:00:00,GMT/USDT,3.1298,3.135,3.0732,3.1028,183954.77163766,570791.376705791164
1650585600,2022-04-22 00:00:00,GMT/USDT,3.1232,3.234,3.07,3.1276,1048602.51171947,3329386.266683449009
1650582000,2022-04-21 23:00:00,GMT/USDT,3.1261,3.1534,3.0828,3.1238,295026.59933179,920260.332337565711
1650578400,2022-04-21 22:00:00,GMT/USDT,3.0945,3.1424,2.97,3.1282,853702.12758945,2629265.50644811728
1650574800,2022-04-21 21:00:00,GMT/USDT,3.0928,3.163,3.087,3.0984,290929.23909654,910165.384983555287
1650571200,2022-04-21 20:00:00,GMT/USDT,3.1529,3.1865,3.062,3.0928,540984.79816961,1687152.58651360691
1650567600,2022-04-21 19:00:00,GMT/USDT,3.1271,3.1654,3.0839,3.1538,398538.58379351,1245408.661630839844
1650564000,2022-04-21 18:00:00,GMT/USDT,3.1526,3.1541,3.0575,3.1279,529729.86556966,1646739.72049951067
1650560400,2022-04-21 17:00:00,GMT/USDT,3.1317,3.19,3.1241,3.1531,374525.14923996,1182787.954234092842
