https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1559138400,2019-05-29 14:00:00,BTC/USDT,8723.6,8750,8682.9,8686.7,14.84035486,129256.584086186
1559134800,2019-05-29 13:00:00,BTC/USDT,8643.1,8746,8630.7,8724.8,22.92964128,199660.694447717
1559131200,2019-05-29 12:00:00,BTC/USDT,8624.3,8651,8620.5,8643.2,8.95771244,77349.345640521
1559127600,2019-05-29 11:00:00,BTC/USDT,8660.5,8671.2,8617.5,8624.9,18.1094014,156693.239724357
1559124000,2019-05-29 10:00:00,BTC/USDT,8631.7,8684.9,8628.4,8660.4,16.63546918,143944.055640072
1559120400,2019-05-29 09:00:00,BTC/USDT,8606.7,8633.3,8576.9,8633.2,11.11195566,95588.501702698
1559116800,2019-05-29 08:00:00,BTC/USDT,8548.9,8633.1,8533.1,8603.3,19.85613192,170140.768215216
1559113200,2019-05-29 07:00:00,BTC/USDT,8508.1,8574.7,8500.1,8546.7,14.13851114,120855.949070685
1559109600,2019-05-29 06:00:00,BTC/USDT,8454.9,8537,8441.1,8509,21.85890996,185914.977578758
1559106000,2019-05-29 05:00:00,BTC/USDT,8581.7,8592.4,8415.4,8457.5,30.5198576,259401.461783234
1559102400,2019-05-29 04:00:00,BTC/USDT,8654.1,8662.5,8540,8578.7,15.94422634,136927.703918058
1559098800,2019-05-29 03:00:00,BTC/USDT,8647.2,8673,8628.4,8651.9,10.75575858,93090.187853358
1559095200,2019-05-29 02:00:00,BTC/USDT,8659.3,8670.6,8611.6,8647.4,19.83426543,171437.910294059
1559091600,2019-05-29 01:00:00,BTC/USDT,8683,8708.8,8655.7,8659.3,13.51638369,117418.067538844
1559088000,2019-05-29 00:00:00,BTC/USDT,8718,8718,8659.6,8680.4,11.09703825,96407.927744798
1559084400,2019-05-28 23:00:00,BTC/USDT,8706.2,8733.9,8685.6,8718,11.5492075,100614.005622067
1559080800,2019-05-28 22:00:00,BTC/USDT,8713.1,8731.4,8684.1,8706.2,15.12978873,131779.086809979
1559077200,2019-05-28 21:00:00,BTC/USDT,8690.5,8710.7,8663.8,8710.4,12.4391746,108075.952715033
1559073600,2019-05-28 20:00:00,BTC/USDT,8690,8717.8,8679.7,8690.6,11.33729337,98615.64190942
1559070000,2019-05-28 19:00:00,BTC/USDT,8729.1,8770,8650,8689,21.09568329,183615.135047169
1559066400,2019-05-28 18:00:00,BTC/USDT,8737,8753.6,8696.9,8728.6,15.53464547,135559.619307985
1559062800,2019-05-28 17:00:00,BTC/USDT,8654.2,8788.4,8650.1,8737.1,18.44770908,160942.810266354
1559059200,2019-05-28 16:00:00,BTC/USDT,8685.8,8685.8,8625.5,8654.5,16.0916567,139321.583764914
1559055600,2019-05-28 15:00:00,BTC/USDT,8682.8,8693.4,8660.3,8684.6,12.8660534,111614.012170422
1559052000,2019-05-28 14:00:00,BTC/USDT,8640.6,8689.4,8633.2,8682.8,26.80763632,232116.954559352
1559048400,2019-05-28 13:00:00,BTC/USDT,8693.5,8718.9,8544.2,8638.8,65.72016868,566938.406103441
1559044800,2019-05-28 12:00:00,BTC/USDT,8735.2,8753.3,8689.7,8696.8,16.98764121,147960.115116055
1559041200,2019-05-28 11:00:00,BTC/USDT,8678.6,8741.3,8675.1,8732.2,10.61510828,92379.831427105
1559037600,2019-05-28 10:00:00,BTC/USDT,8713,8713.9,8654.5,8681.2,14.37659511,124796.085096718
1559034000,2019-05-28 09:00:00,BTC/USDT,8707.4,8746.1,8696.9,8713.8,14.09524319,122870.884979793
1559030400,2019-05-28 08:00:00,BTC/USDT,8719,8725.8,8686.7,8709.8,5.13113786,44636.58181655
1559026800,2019-05-28 07:00:00,BTC/USDT,8675.8,8718.5,8640.1,8718.1,16.69528569,145006.634516984
1559023200,2019-05-28 06:00:00,BTC/USDT,8718.1,8721.7,8648.1,8678.5,28.22773012,245343.409371976
