https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume XLM,Volume USDT
1658815200,2022-07-26 06:00:00,XLM/USDT,0.105076,0.105134,0.10432,0.1044,390936.14274558,40941.11168714187655
1658811600,2022-07-26 05:00:00,XLM/USDT,0.105033,0.105298,0.104691,0.105056,585821.90076135,61429.66983001150939
1658808000,2022-07-26 04:00:00,XLM/USDT,0.105244,0.10583,0.10494,0.104999,1057739.64297998,111497.0289710016357
1658804400,2022-07-26 03:00:00,XLM/USDT,0.104669,0.105281,0.1035,0.10525,900217.76282951,94159.3925429222628
1658800800,2022-07-26 02:00:00,XLM/USDT,0.104067,0.104874,0.103997,0.104669,816628.35483258,85251.33163218969868
1658797200,2022-07-26 01:00:00,XLM/USDT,0.103842,0.104602,0.103778,0.104065,1031615.92480491,107547.5316777048686
1658793600,2022-07-26 00:00:00,XLM/USDT,0.105649,0.105651,0.103756,0.103841,2315590.31402929,241923.09394568244098
1658790000,2022-07-25 23:00:00,XLM/USDT,0.107803,0.107928,0.10541,0.105533,1182141.28022351,125879.9959500365169
1658786400,2022-07-25 22:00:00,XLM/USDT,0.107798,0.10804,0.106881,0.10778,1212706.37841072,130257.43874992609518
1658782800,2022-07-25 21:00:00,XLM/USDT,0.108428,0.108628,0.107638,0.107852,725412.48667106,78490.29174580404761
1658779200,2022-07-25 20:00:00,XLM/USDT,0.107605,0.10883,0.107569,0.108423,1538761.94049013,166895.75509398267387
1658775600,2022-07-25 19:00:00,XLM/USDT,0.108723,0.108798,0.10644,0.107656,1398574.53552786,150345.52914964731888
1658772000,2022-07-25 18:00:00,XLM/USDT,0.108528,0.109131,0.108244,0.108655,763704.50912981,82945.69409038523816
1658768400,2022-07-25 17:00:00,XLM/USDT,0.10906,0.1093,0.108351,0.108528,793031.52574042,86207.82216215342572
1658764800,2022-07-25 16:00:00,XLM/USDT,0.109307,0.109857,0.108804,0.109052,767782.93398871,84027.86409697827433
1658761200,2022-07-25 15:00:00,XLM/USDT,0.109464,0.10963,0.109042,0.109311,587391.07075157,64272.60074710722454
1658757600,2022-07-25 14:00:00,XLM/USDT,0.109558,0.109676,0.108181,0.109426,1243757.81241542,135374.94392601530639
1658754000,2022-07-25 13:00:00,XLM/USDT,0.109977,0.11005,0.108972,0.109572,1082262.38457011,118620.36952443880891
1658750400,2022-07-25 12:00:00,XLM/USDT,0.10995,0.110119,0.10924,0.109999,564928.17870041,61952.79674029290603
1658746800,2022-07-25 11:00:00,XLM/USDT,0.110092,0.1105,0.109897,0.109933,438076.73570389,48250.76329287216777
1658743200,2022-07-25 10:00:00,XLM/USDT,0.11004,0.110609,0.109805,0.110065,455358.79645524,50215.38340454970084
1658739600,2022-07-25 09:00:00,XLM/USDT,0.110814,0.110876,0.109824,0.110046,564078.88675999,62174.95253941841996
1658736000,2022-07-25 08:00:00,XLM/USDT,0.110591,0.11104,0.109785,0.110792,627409.89745536,69184.04126513017099
1658732400,2022-07-25 07:00:00,XLM/USDT,0.110582,0.11104,0.110334,0.11058,319817.97453904,35419.46634247654468
1658728800,2022-07-25 06:00:00,XLM/USDT,0.110746,0.110932,0.11028,0.110524,339484.77294629,37545.09431995266427
1658725200,2022-07-25 05:00:00,XLM/USDT,0.11014,0.110828,0.109914,0.110737,457764.6053723,50528.75091643530598
1658721600,2022-07-25 04:00:00,XLM/USDT,0.109554,0.11033,0.109011,0.110162,513000.79602819,56164.54949757821555
1658718000,2022-07-25 03:00:00,XLM/USDT,0.109881,0.110059,0.109217,0.109555,695073.18677614,76228.42748939978149
1658714400,2022-07-25 02:00:00,XLM/USDT,0.110855,0.110912,0.109671,0.109891,709035.85449767,78175.53814125278557
1658710800,2022-07-25 01:00:00,XLM/USDT,0.111343,0.111356,0.1105,0.110854,1167689.52145324,129596.79203662505228
1658707200,2022-07-25 00:00:00,XLM/USDT,0.11308,0.113842,0.1112,0.111426,1750984.05920958,197014.29824171215833
1658703600,2022-07-24 23:00:00,XLM/USDT,0.113386,0.114028,0.112826,0.11309,812863.51548748,92315.09153387812782
1658700000,2022-07-24 22:00:00,XLM/USDT,0.11441,0.115475,0.113151,0.113411,885217.18163671,101442.60616141215954
1658696400,2022-07-24 21:00:00,XLM/USDT,0.113374,0.114409,0.113314,0.114364,645851.52455488,73563.64353057307506
1658692800,2022-07-24 20:00:00,XLM/USDT,0.113358,0.113856,0.1132,0.113387,724487.04041123,82157.12802753072569
1658689200,2022-07-24 19:00:00,XLM/USDT,0.113948,0.114425,0.113331,0.113359,2203521.65570962,250834.38684950773515
1658685600,2022-07-24 18:00:00,XLM/USDT,0.114111,0.114141,0.113674,0.113971,430177.5682085,49020.12600349538178
1658682000,2022-07-24 17:00:00,XLM/USDT,0.11365,0.114313,0.11348,0.114114,441223.00832435,50332.03811027615736
1658678400,2022-07-24 16:00:00,XLM/USDT,0.114263,0.11471,0.11334,0.113649,946228.11716624,107627.35744904157296
1658674800,2022-07-24 15:00:00,XLM/USDT,0.113438,0.114454,0.113392,0.114262,554291.69563347,63232.13300189765678
1658671200,2022-07-24 14:00:00,XLM/USDT,0.112848,0.113623,0.1125,0.113438,814329.10659094,92070.66219287250085
1658667600,2022-07-24 13:00:00,XLM/USDT,0.11271,0.113029,0.112562,0.112838,496704.49921886,56042.54585239804992
