https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LUA,Volume USDT
1652486400000.0,2022-05-14 00:00:00,LUA/USDT,0.0165,0.018,0.0155,0.01625,761362.9153846154,12372.147375
1652400000000.0,2022-05-13 00:00:00,LUA/USDT,0.014,0.0195,0.014,0.0165,1460883.2212121212,24104.57315
1652313600000.0,2022-05-12 00:00:00,LUA/USDT,0.01675,0.01725,0.0135,0.014,1252112.6464285713,17529.57705
1652227200000.0,2022-05-11 00:00:00,LUA/USDT,0.01875,0.01875,0.014,0.01675,893864.6895522388,14972.23355
1652140800000.0,2022-05-10 00:00:00,LUA/USDT,0.01925,0.02125,0.01775,0.01875,364812.47866666666,6840.233975
1652054400000.0,2022-05-09 00:00:00,LUA/USDT,0.02125,0.02125,0.019,0.01925,229198.04935064938,4412.06245
1651968000000.0,2022-05-08 00:00:00,LUA/USDT,0.0225,0.0225,0.021,0.02125,385873.20352941175,8199.805575
1651881600000.0,2022-05-07 00:00:00,LUA/USDT,0.02275,0.02275,0.02225,0.0225,79350.70333333334,1785.390825
1651795200000.0,2022-05-06 00:00:00,LUA/USDT,0.022,0.02625,0.0215,0.02275,360852.9571428572,8209.404775
1651708800000.0,2022-05-05 00:00:00,LUA/USDT,0.0235,0.02425,0.0215,0.022,212338.44318181818,4671.44575
1651622400000.0,2022-05-04 00:00:00,LUA/USDT,0.0235,0.02475,0.023,0.0235,427087.36808510637,10036.55315
1651536000000.0,2022-05-03 00:00:00,LUA/USDT,0.0245,0.02475,0.02325,0.0235,139136.20638297874,3269.70085
1651449600000.0,2022-05-02 00:00:00,LUA/USDT,0.02575,0.02575,0.024,0.0245,201257.29795918366,4930.8038
1651363200000.0,2022-05-01 00:00:00,LUA/USDT,0.0265,0.0275,0.02525,0.02575,179494.43398058254,4621.981675
1651276800000.0,2022-04-30 00:00:00,LUA/USDT,0.02575,0.0275,0.025,0.0265,485450.63867924525,12864.441925
1651190400000.0,2022-04-29 00:00:00,LUA/USDT,0.02875,0.02925,0.02575,0.02575,556867.2834951456,14339.33255
1651104000000.0,2022-04-28 00:00:00,LUA/USDT,0.02775,0.0305,0.0275,0.02875,352410.5469565217,10131.803225
1651017600000.0,2022-04-27 00:00:00,LUA/USDT,0.02725,0.0285,0.02725,0.02775,59733.94684684685,1657.617025
1650931200000.0,2022-04-26 00:00:00,LUA/USDT,0.02875,0.0295,0.02725,0.02725,132083.6495412844,3599.27945
1650844800000.0,2022-04-25 00:00:00,LUA/USDT,0.0285,0.02875,0.02675,0.02875,370130.55913043476,10641.253575
1650758400000.0,2022-04-24 00:00:00,LUA/USDT,0.02975,0.0305,0.02825,0.0285,259405.96315789473,7393.06995
1650672000000.0,2022-04-23 00:00:00,LUA/USDT,0.03,0.03025,0.0295,0.02975,562791.0613445379,16743.034075
1650585600000.0,2022-04-22 00:00:00,LUA/USDT,0.02975,0.03,0.0295,0.03,515204.8433333334,15456.1453
1650499200000.0,2022-04-21 00:00:00,LUA/USDT,0.02975,0.03075,0.0295,0.02975,704012.6831932773,20944.377325
1650412800000.0,2022-04-20 00:00:00,LUA/USDT,0.031,0.031,0.029,0.02975,269282.75462184876,8011.16195
1650326400000.0,2022-04-19 00:00:00,LUA/USDT,0.02975,0.031,0.02975,0.031,115245.63064516129,3572.61455
1650240000000.0,2022-04-18 00:00:00,LUA/USDT,0.03,0.03,0.029,0.02975,104941.30336134454,3122.003775
1650153600000.0,2022-04-17 00:00:00,LUA/USDT,0.02975,0.03,0.02975,0.03,561.0,16.83
1650067200000.0,2022-04-16 00:00:00,LUA/USDT,0.0305,0.03075,0.02975,0.02975,82314.83949579831,2448.866475
1649980800000.0,2022-04-15 00:00:00,LUA/USDT,0.03025,0.0305,0.03,0.0305,40611.9393442623,1238.66415
1649894400000.0,2022-04-14 00:00:00,LUA/USDT,0.03025,0.031,0.03,0.03025,87168.50991735538,2636.847425
1649808000000.0,2022-04-13 00:00:00,LUA/USDT,0.02975,0.03025,0.02975,0.03025,18291.4826446281,553.31735
1649721600000.0,2022-04-12 00:00:00,LUA/USDT,0.02925,0.02975,0.02925,0.02975,48647.08823529412,1447.250875
1649635200000.0,2022-04-11 00:00:00,LUA/USDT,0.0315,0.0315,0.029,0.02925,35868.89487179487,1049.165175
1649548800000.0,2022-04-10 00:00:00,LUA/USDT,0.03175,0.0325,0.0315,0.0315,111596.5626984127,3515.291725
