https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EUT,Volume BTC
1656374400000,2022-06-28 00:00:00,BTC/EUT,19638,20264,19276,19290,18531.114039,0.9606591
1656288000000,2022-06-27 00:00:00,BTC/EUT,19956,20381,19476,19653,18239.44716585,0.92807445
1656201600000,2022-06-26 00:00:00,BTC/EUT,20384,20999,19946,19956,29496.656277600003,1.4780846
1656115200000,2022-06-25 00:00:00,BTC/EUT,20150,20676,19841,20384,10146.52981888,0.49776932
1656028800000,2022-06-24 00:00:00,BTC/EUT,20048,20441,19683,20150,101503.4155525,5.03739035
1655942400000,2022-06-23 00:00:00,BTC/EUT,18939,20234,18885,20053,28300.95050068,1.41130756
1655856000000,2022-06-22 00:00:00,BTC/EUT,19552,19943,18725,18939,125489.5658991,6.6259869
1655769600000,2022-06-21 00:00:00,BTC/EUT,19617,20662,19380,19645,38010.50130855,1.93486899
1655683200000,2022-06-20 00:00:00,BTC/EUT,19587,19984,18793,19637,53405.79493454,2.71965142
1655596800000,2022-06-19 00:00:00,BTC/EUT,18142,19883,17125,19600,117249.23056000001,5.9821036
1655510400000,2022-06-18 00:00:00,BTC/EUT,19538,19781,16781,18195,195962.38707524998,10.77012295
1655424000000,2022-06-17 00:00:00,BTC/EUT,19342,20305,19221,19499,441543.77937301004,22.64443199
1655337600000,2022-06-16 00:00:00,BTC/EUT,21569,21938,19225,19309,579893.42640047,30.03228683
1655251200000,2022-06-15 00:00:00,BTC/EUT,21278,21965,19216,21588,1169136.1543092001,54.1567609
1655164800000,2022-06-14 00:00:00,BTC/EUT,21591,22380,20111,21285,299610.33914295,14.07612587
1655078400000,2022-06-13 00:00:00,BTC/EUT,25389,25649,21158,21592,618703.55426584,28.65429577
1654992000000,2022-06-12 00:00:00,BTC/EUT,27020,27141,25389,25389,81907.44985332,3.22609988
1654905600000,2022-06-11 00:00:00,BTC/EUT,27703,27984,26782,26987,54643.544501430006,2.0248098900000002
1654819200000,2022-06-10 00:00:00,BTC/EUT,28357,28660,27337,27673,45078.563464210005,1.62897277
1654732800000,2022-06-09 00:00:00,BTC/EUT,28209,28632,27976,28318,44780.751988560005,1.58135292
1654646400000,2022-06-08 00:00:00,BTC/EUT,29139,29271,27991,28241,58394.77930978,2.06773058
1654560000000,2022-06-07 00:00:00,BTC/EUT,29347,29481,27410,29139,67867.5487413,2.3290967
1654473600000,2022-06-06 00:00:00,BTC/EUT,27997,29760,27986,29347,977878.8352686,33.3212538
1654387200000,2022-06-05 00:00:00,BTC/EUT,27869,28480,27700,28069,268776.06046097,9.57554813
1654300800000,2022-06-04 00:00:00,BTC/EUT,27781,28207,27575,27870,19733.8236669,0.70806687
1654214400000,2022-06-03 00:00:00,BTC/EUT,28485,28539,27493,27781,23357.811414080003,0.84078368
1654128000000,2022-06-02 00:00:00,BTC/EUT,28048,28518,27712,28409,67320.3186652,2.3696828
1654041600000,2022-06-01 00:00:00,BTC/EUT,29711,29972,27589,28048,76333.72194527999,2.72153886
1653955200000,2022-05-31 00:00:00,BTC/EUT,29481,30227,29304,29711,50048.49889325,1.68451075
1653868800000,2022-05-30 00:00:00,BTC/EUT,27485,29878,27325,29481,247672.53163671,8.40108991
1653782400000,2022-05-29 00:00:00,BTC/EUT,27004,27611,26884,27505,2423578.0581023,88.11409046
1653696000000,2022-05-28 00:00:00,BTC/EUT,26636,27707,26565,27032,1463729.8340398401,54.14804062
1653609600000,2022-05-27 00:00:00,BTC/EUT,27209,27340,26377,26622,87776.4863709,3.29714095
1653523200000,2022-05-26 00:00:00,BTC/EUT,27631,27901,26045,27209,164500.83065780002,6.0458242
1653436800000,2022-05-25 00:00:00,BTC/EUT,27606,28184,27525,27636,104524.73742732,3.78219487
1653350400000,2022-05-24 00:00:00,BTC/EUT,27275,27741,26762,27606,279898.1850267,10.13903445
1653264000000,2022-05-23 00:00:00,BTC/EUT,28666,28922,27070,27225,158788.03280175,5.83243463
1653177600000,2022-05-22 00:00:00,BTC/EUT,27853,28793,27699,28666,51885.275104299995,1.80999355
1653091200000,2022-05-21 00:00:00,BTC/EUT,27696,28098,27498,27853,39221.142623110005,1.40814787
1653004800000,2022-05-20 00:00:00,BTC/EUT,28642,29117,27243,27712,139719.61362816,5.04184518
1652918400000,2022-05-19 00:00:00,BTC/EUT,27451,28888,27406,28642,65495.1701897,2.28668285
1652832000000,2022-05-18 00:00:00,BTC/EUT,28877,29138,27451,27451,55987.69391275,2.03955025
1652745600000,2022-05-17 00:00:00,BTC/EUT,28639,29423,27986,28875,32177.47735125,1.11437151
1652659200000,2022-05-16 00:00:00,BTC/EUT,30076,30247,28013,28639,69936.94977893,2.44201787
1652572800000,2022-05-15 00:00:00,BTC/EUT,28918,30220,28307,30090,97937.9806365,3.25483485
1652486400000,2022-05-14 00:00:00,BTC/EUT,28146,29234,27533,28918,51990.90760808,1.79787356
1652400000000,2022-05-13 00:00:00,BTC/EUT,27934,29818,27709,28179,408622.27343148,14.50095012
1652313600000,2022-05-12 00:00:00,BTC/EUT,27630,33920,24408,27934,3026259.45730098,108.33605847
1652227200000,2022-05-11 00:00:00,BTC/EUT,29423,30761,26485,27523,1154410.26049839,41.94347493
1652140800000,2022-05-10 00:00:00,BTC/EUT,28501,30893,28233,29455,396579.1798019,13.46390018
1652054400000,2022-05-09 00:00:00,BTC/EUT,32340,32518,28486,28486,557771.7139431,19.58055585
1651968000000,2022-05-08 00:00:00,BTC/EUT,33673,33693,32032,32309,349275.17281776003,10.81046064
1651881600000,2022-05-07 00:00:00,BTC/EUT,34185,34273,33066,33673,66381.66084045,1.97136165
1651795200000,2022-05-06 00:00:00,BTC/EUT,34670,34794,33400,34185,434314.1711961,12.70481706
1651708800000,2022-05-05 00:00:00,BTC/EUT,37374,37492,33859,34699,370650.21268184,10.68187016
1651622400000,2022-05-04 00:00:00,BTC/EUT,35842,37676,35807,37367,665959.40391486,17.82212658
1651536000000,2022-05-03 00:00:00,BTC/EUT,36624,36801,35718,35860,395754.3867816,11.03609556
1651449600000,2022-05-02 00:00:00,BTC/EUT,36487,37253,36275,36624,228665.65291248,6.24360127
1651363200000,2022-05-01 00:00:00,BTC/EUT,35740,37304,34993,36487,1177630.06750873,32.27533279
1651276800000,2022-04-30 00:00:00,BTC/EUT,36598,36768,35747,35771,350133.58665967005,9.78819677
1651190400000,2022-04-29 00:00:00,BTC/EUT,37803,38091,36215,36596,2601605.2722674,71.08988065
1651104000000,2022-04-28 00:00:00,BTC/EUT,37195,38978,37101,37804,1113552.11079008,29.45593352
1651017600000,2022-04-27 00:00:00,BTC/EUT,35792,38368,35075,37241,4198615.68231378,112.74175458
1650931200000,2022-04-26 00:00:00,BTC/EUT,37809,38237,35500,35793,1238301.0639393302,34.59617981
1650844800000,2022-04-25 00:00:00,BTC/EUT,36576,38041,35632,37758,2778244.16051154,73.58027863
1650758400000,2022-04-24 00:00:00,BTC/EUT,36524,37457,36193,36578,1255718.58181296,34.32988632
1650672000000,2022-04-23 00:00:00,BTC/EUT,36830,37868,36437,36524,2303207.77759024,63.06011876
1650585600000,2022-04-22 00:00:00,BTC/EUT,37387,38621,36391,36840,1227329.1770016002,33.31512424
1650499200000,2022-04-21 00:00:00,BTC/EUT,38164,39490,36829,37415,168699.1300974,4.50886356
1650412800000,2022-04-20 00:00:00,BTC/EUT,38500,38957,37767,38164,680051.8323998,17.81919695
1650326400000,2022-04-19 00:00:00,BTC/EUT,37897,38743,37649,38458,300378.60070302,7.81056219
1650240000000,2022-04-18 00:00:00,BTC/EUT,36701,38104,35803,37861,965932.63795196,25.51260236
1650153600000,2022-04-17 00:00:00,BTC/EUT,37431,37564,36640,36737,185914.84883331,5.06069763
1650067200000,2022-04-16 00:00:00,BTC/EUT,37491,37659,37050,37431,180273.25263195,4.81614845
1649980800000,2022-04-15 00:00:00,BTC/EUT,36934,37782,36837,37523,383142.55868629,10.21087223
1649894400000,2022-04-14 00:00:00,BTC/EUT,37771,38137,36604,36913,670987.15972218,18.17752986
1649808000000,2022-04-13 00:00:00,BTC/EUT,37073,38180,36628,37785,653293.2732744,17.28975184
1649721600000,2022-04-12 00:00:00,BTC/EUT,36374,37449,36224,37050,491476.992318,13.26523596
1649635200000,2022-04-11 00:00:00,BTC/EUT,38785,38993,36153,36348,338497.61213892,9.31268879
1649548800000,2022-04-10 00:00:00,BTC/EUT,39344,39998,38501,38779,390515.55719644,10.07028436
1649462400000,2022-04-09 00:00:00,BTC/EUT,38906,39401,38822,39379,320789.09835743,8.14619717
1649376000000,2022-04-08 00:00:00,BTC/EUT,40027,40497,38810,38873,532713.39217693,13.70394341
1649289600000,2022-04-07 00:00:00,BTC/EUT,39695,40276,39301,40027,345996.98602703,8.64408989
1649203200000,2022-04-06 00:00:00,BTC/EUT,41791,41905,39640,39641,728695.17953638,18.38236118
1649116800000,2022-04-05 00:00:00,BTC/EUT,42530,43082,41695,41791,249373.81675377997,5.96716558
1649030400000,2022-04-04 00:00:00,BTC/EUT,42076,42793,41228,42531,354649.20585252,8.33860492
1648944000000,2022-04-03 00:00:00,BTC/EUT,41532,42969,41332,42076,541041.42500712,12.85867062
1648857600000,2022-04-02 00:00:00,BTC/EUT,41930,42728,41323,41528,695190.83953152,16.74029184
1648771200000,2022-04-01 00:00:00,BTC/EUT,41150,42336,40019,41915,491924.34493365005,11.73623631
1648684800000,2022-03-31 00:00:00,BTC/EUT,42192,42887,40895,41147,609705.0503127701,14.81772791
1648598400000,2022-03-30 00:00:00,BTC/EUT,42871,42929,41961,42193,267744.46734839,6.3457082300000005
1648512000000,2022-03-29 00:00:00,BTC/EUT,42927,43447,42455,42871,219120.99093421,5.11117051
1648425600000,2022-03-28 00:00:00,BTC/EUT,42702,43977,40450,42927,799371.51846687,18.62164881
1648339200000,2022-03-27 00:00:00,BTC/EUT,40593,42734,40574,42671,400587.65399199,9.38781969
1648252800000,2022-03-26 00:00:00,BTC/EUT,40417,40792,40249,40588,212962.87946072,5.24694194
1648166400000,2022-03-25 00:00:00,BTC/EUT,40026,41048,39685,40459,661288.28942865,16.34465235
1648080000000,2022-03-24 00:00:00,BTC/EUT,38967,40297,38932,40034,721783.96412348,18.02927422
1647993600000,2022-03-23 00:00:00,BTC/EUT,38504,39104,38010,39008,224090.29482272,5.74472659
1647907200000,2022-03-22 00:00:00,BTC/EUT,37318,39566,37268,38463,1347627.89137551,35.03699377
1647820800000,2022-03-21 00:00:00,BTC/EUT,37472,37703,36723,37318,656405.9786618601,17.58952727
1647734400000,2022-03-20 00:00:00,BTC/EUT,38258,38399,37127,37416,405478.83456240006,10.837043900000001
1647648000000,2022-03-19 00:00:00,BTC/EUT,37925,38378,37568,38200,269068.75172,7.0436846
1647561600000,2022-03-18 00:00:00,BTC/EUT,36976,38351,36389,37832,286064.388622,7.56143975
1647475200000,2022-03-17 00:00:00,BTC/EUT,37359,37680,36525,36976,150755.21048576,4.07710976
1647388800000,2022-03-16 00:00:00,BTC/EUT,35903,38022,35199,37386,1261134.6365142001,33.7328047
1647302400000,2022-03-15 00:00:00,BTC/EUT,36177,36610,34826,35904,653465.36783616,18.20035004
1647216000000,2022-03-14 00:00:00,BTC/EUT,34603,36901,34430,36382,263887.1848554,7.2532347
1647129600000,2022-03-13 00:00:00,BTC/EUT,35590,36093,34525,34615,265297.63679265,7.66423911
1647043200000,2022-03-12 00:00:00,BTC/EUT,35562,36165,35550,35600,119526.17870799999,3.35747693
1646956800000,2022-03-11 00:00:00,BTC/EUT,35880,36608,34846,35560,405944.484274,11.41576165
1646870400000,2022-03-10 00:00:00,BTC/EUT,37941,38176,34971,35880,677738.0207363999,18.88901953
1646784000000,2022-03-09 00:00:00,BTC/EUT,35603,38830,35569,37949,500279.33427497,13.18293853
1646697600000,2022-03-08 00:00:00,BTC/EUT,35066,36066,34980,35622,250578.92872691998,7.03438686
1646611200000,2022-03-07 00:00:00,BTC/EUT,35481,36452,34372,35082,319869.78044508,9.11777494
