https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FORESTPLUS,Volume USDT
1648080000,2022-03-24 00:00:00,FORESTPLUS/USDT,0.0118109,0.0129935,0.0111026,0.0120475,57807168.67948357,674879.010097564771127
1647993600,2022-03-23 00:00:00,FORESTPLUS/USDT,0.0111068,0.01298,0.011024,0.0118112,60731079.78481763,699988.848344120144626
1647907200,2022-03-22 00:00:00,FORESTPLUS/USDT,0.0110314,0.0118,0.0105783,0.0111046,46667981.57776289,516122.855178416438361
1647820800,2022-03-21 00:00:00,FORESTPLUS/USDT,0.0102993,0.0118,0.0101889,0.0110317,51085660.09432219,545873.509269573216122
1647734400,2022-03-20 00:00:00,FORESTPLUS/USDT,0.0104386,0.010461,0.0100878,0.0103054,51298535.38230123,527435.478591014804108
1647648000,2022-03-19 00:00:00,FORESTPLUS/USDT,0.0096575,0.012004,0.0096154,0.0104362,59883009.62530026,618364.935637369209912
1647561600,2022-03-18 00:00:00,FORESTPLUS/USDT,0.0102164,0.0108781,0.009525,0.0096557,63028177.88445705,628355.238058731484997
1647475200,2022-03-17 00:00:00,FORESTPLUS/USDT,0.0093129,0.014,0.0090726,0.0102149,86290711.48448931,885388.819465284476628
1647388800,2022-03-16 00:00:00,FORESTPLUS/USDT,0.0092134,0.0095,0.0089058,0.0093129,46190735.02928982,425003.553410891596445
1647302400,2022-03-15 00:00:00,FORESTPLUS/USDT,0.0094771,0.00962,0.0089392,0.0092137,54269362.86813534,499860.767041724695434
1647216000,2022-03-14 00:00:00,FORESTPLUS/USDT,0.0090361,0.0100999,0.0090361,0.0094251,51747319.59397667,479226.909911818560308
1647129600,2022-03-13 00:00:00,FORESTPLUS/USDT,0.0093036,0.00945,0.0088914,0.0090369,62528407.26769877,569138.801818388575158
1647043200,2022-03-12 00:00:00,FORESTPLUS/USDT,0.0089537,0.0097,0.0087247,0.009302,68788806.06385356,625908.974149321518675
1646956800,2022-03-11 00:00:00,FORESTPLUS/USDT,0.0095442,0.010122,0.008841,0.0089529,64761468.95907473,604716.67080292037963
1646870400,2022-03-10 00:00:00,FORESTPLUS/USDT,0.0094711,0.0099206,0.0091476,0.0095345,56919652.15285119,533630.516189638000056
