https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1556150400,2019-04-25 00:00:00,ETH/USD,166.84,167.82,155.0,156.2,492034.32,3011.63
1556064000,2019-04-24 00:00:00,ETH/USD,171.48,173.6,163.5,166.84,449349.75,2669.24
1555977600,2019-04-23 00:00:00,ETH/USD,172.76,177.0,170.24,171.48,475939.14,2726.49
1555891200,2019-04-22 00:00:00,ETH/USD,171.52,174.26,170.03,172.76,414056.27,2405.37
1555804800,2019-04-21 00:00:00,ETH/USD,174.89,175.22,168.57,171.52,454070.42,2645.42
1555718400,2019-04-20 00:00:00,ETH/USD,174.17,177.94,172.5,174.89,410259.27,2346.02
1555632000,2019-04-19 00:00:00,ETH/USD,173.56,175.2,170.34,174.17,440812.9,2543.17
1555545600,2019-04-18 00:00:00,ETH/USD,167.17,176.0,166.77,173.56,515494.43,2984.21
1555459200,2019-04-17 00:00:00,ETH/USD,167.0,168.48,165.5,167.17,402230.26,2408.42
1555372800,2019-04-16 00:00:00,ETH/USD,161.89,168.41,160.02,167.0,384970.38,2339.34
1555286400,2019-04-15 00:00:00,ETH/USD,169.11,170.34,159.4,161.89,488157.3,2942.76
1555200000,2019-04-14 00:00:00,ETH/USD,165.78,170.0,164.08,169.11,331814.0,2001.11
1555113600,2019-04-13 00:00:00,ETH/USD,166.19,167.83,164.29,165.78,327029.97,1969.88
1555027200,2019-04-12 00:00:00,ETH/USD,166.82,168.75,162.0,166.19,378289.39,2278.97
1554940800,2019-04-11 00:00:00,ETH/USD,177.93,178.93,162.0,166.82,662938.24,3910.76
1554854400,2019-04-10 00:00:00,ETH/USD,177.27,185.0,172.03,177.93,599259.95,3334.71
1554768000,2019-04-09 00:00:00,ETH/USD,181.09,181.34,176.0,177.27,445466.38,2497.1
1554681600,2019-04-08 00:00:00,ETH/USD,173.51,184.09,173.01,181.09,833317.04,4631.83
1554595200,2019-04-07 00:00:00,ETH/USD,166.36,175.3,165.2,173.51,595398.39,3503.84
1554508800,2019-04-06 00:00:00,ETH/USD,165.28,172.44,161.01,166.36,542738.16,3267.31
1554422400,2019-04-05 00:00:00,ETH/USD,155.4,167.82,155.4,165.28,448329.65,2736.16
1554336000,2019-04-04 00:00:00,ETH/USD,160.23,164.5,153.71,154.98,559662.23,3490.25
1554249600,2019-04-03 00:00:00,ETH/USD,162.06,177.22,152.5,160.23,1186495.5,7102.12
1554163200,2019-04-02 00:00:00,ETH/USD,142.17,164.0,140.0,162.06,1109344.18,7319.76
1554076800,2019-04-01 00:00:00,ETH/USD,142.08,143.62,140.5,142.17,319043.62,2241.78
1553990400,2019-03-31 00:00:00,ETH/USD,143.99,144.19,141.15,142.08,335755.51,2355.06
1553904000,2019-03-30 00:00:00,ETH/USD,144.5,146.91,142.11,143.99,324451.91,2253.89
1553817600,2019-03-29 00:00:00,ETH/USD,139.17,144.53,138.91,144.5,399093.64,2818.18
1553731200,2019-03-28 00:00:00,ETH/USD,140.8,140.87,138.39,139.17,256403.65,1840.23
1553644800,2019-03-27 00:00:00,ETH/USD,135.86,140.9,135.51,140.8,316657.75,2280.08
1553558400,2019-03-26 00:00:00,ETH/USD,136.15,136.84,135.0,135.86,290378.58,2139.14
1553472000,2019-03-25 00:00:00,ETH/USD,138.7,138.76,135.0,136.15,344271.03,2512.33
1553385600,2019-03-24 00:00:00,ETH/USD,139.35,139.5,137.5,138.7,269569.08,1945.63
1553299200,2019-03-23 00:00:00,ETH/USD,138.4,140.4,138.0,139.35,288199.41,2072.7
1553212800,2019-03-22 00:00:00,ETH/USD,137.96,139.9,137.41,138.4,298020.81,2153.17
1553126400,2019-03-21 00:00:00,ETH/USD,141.26,141.5,137.0,137.96,332263.95,2385.44
1553040000,2019-03-20 00:00:00,ETH/USD,140.3,141.5,139.0,141.26,280308.43,1997.69
1552953600,2019-03-19 00:00:00,ETH/USD,139.99,141.5,139.44,140.3,231279.52,1646.02
1552867200,2019-03-18 00:00:00,ETH/USD,141.08,143.89,139.0,139.99,315835.45,2244.92
1552780800,2019-03-17 00:00:00,ETH/USD,143.54,143.74,139.35,141.08,375632.08,2664.66
1552694400,2019-03-16 00:00:00,ETH/USD,138.37,145.69,138.19,143.54,554097.6,3877.26
1552608000,2019-03-15 00:00:00,ETH/USD,134.98,139.79,134.75,138.37,333807.36,2434.02
