https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume ADA
1591920000,2020-06-12 00:00:00,ADA/BTC,8.1e-06,8.61e-06,8.08e-06,8.38e-06,2.624,314890.89
1591833600,2020-06-11 00:00:00,ADA/BTC,8.47e-06,8.64e-06,8.02e-06,8.1e-06,3.792,454360.6
1591747200,2020-06-10 00:00:00,ADA/BTC,8.53e-06,8.57e-06,8.18e-06,8.47e-06,3.871,463469.19
1591660800,2020-06-09 00:00:00,ADA/BTC,8.83e-06,8.86e-06,8.52e-06,8.53e-06,3.755,430036.48
1591574400,2020-06-08 00:00:00,ADA/BTC,8.87e-06,8.89e-06,8.77e-06,8.83e-06,3.012,341275.66
1591488000,2020-06-07 00:00:00,ADA/BTC,8.93e-06,9.14e-06,8.76e-06,8.87e-06,3.533,396647.41
1591401600,2020-06-06 00:00:00,ADA/BTC,8.81e-06,9.06e-06,8.81e-06,8.93e-06,3.839,430670.17
1591315200,2020-06-05 00:00:00,ADA/BTC,8.95e-06,9.01e-06,8.67e-06,8.81e-06,1.809,204128.95
1591228800,2020-06-04 00:00:00,ADA/BTC,8.84e-06,9.32e-06,8.74e-06,8.95e-06,5.012,555139.9
1591142400,2020-06-03 00:00:00,ADA/BTC,8.14e-06,8.97e-06,8.14e-06,8.84e-06,4.946,570761.73
1591056000,2020-06-02 00:00:00,ADA/BTC,8.14e-06,8.14e-06,8.14e-06,8.14e-06,0.0,0.0
1590969600,2020-06-01 00:00:00,ADA/BTC,7.86e-06,8.59e-06,7.81e-06,8.14e-06,2.54,309313.39
1590883200,2020-05-31 00:00:00,ADA/BTC,7.94e-06,8.98e-06,7.7e-06,7.86e-06,11.85,1407703.79
1590796800,2020-05-30 00:00:00,ADA/BTC,6.85e-06,8.12e-06,6.8e-06,7.94e-06,3.95,529875.02
1590710400,2020-05-29 00:00:00,ADA/BTC,6.75e-06,6.98e-06,6.55e-06,6.85e-06,4.406,650183.94
1590624000,2020-05-28 00:00:00,ADA/BTC,5.99e-06,7.01e-06,5.96e-06,6.75e-06,3.92,616116.8
1590537600,2020-05-27 00:00:00,ADA/BTC,6.04e-06,6.22e-06,5.97e-06,5.99e-06,2.326,383176.12
1590451200,2020-05-26 00:00:00,ADA/BTC,6.06e-06,6.07e-06,5.93e-06,6.04e-06,1.942,323883.48
1590364800,2020-05-25 00:00:00,ADA/BTC,5.9e-06,6.09e-06,5.84e-06,6.06e-06,2.384,397858.23
1590278400,2020-05-24 00:00:00,ADA/BTC,6e-06,6.08e-06,5.9e-06,5.9e-06,2.247,374731.83
1590192000,2020-05-23 00:00:00,ADA/BTC,6.07e-06,6.11e-06,5.92e-06,6e-06,2.039,339363.86
1590105600,2020-05-22 00:00:00,ADA/BTC,5.74e-06,6.2e-06,5.72e-06,6.07e-06,2.209,373961.26
1590019200,2020-05-21 00:00:00,ADA/BTC,5.97e-06,6.02e-06,5.72e-06,5.74e-06,2.253,384073.07
1589932800,2020-05-20 00:00:00,ADA/BTC,5.8e-06,5.98e-06,5.72e-06,5.97e-06,2.599,446171.39
1589846400,2020-05-19 00:00:00,ADA/BTC,5.59e-06,5.88e-06,5.51e-06,5.8e-06,4.196,742438.43
1589760000,2020-05-18 00:00:00,ADA/BTC,5.29e-06,5.64e-06,5.23e-06,5.59e-06,2.022,366102.8
1589673600,2020-05-17 00:00:00,ADA/BTC,5.44e-06,5.46e-06,5.25e-06,5.29e-06,1.593,298310.02
1589587200,2020-05-16 00:00:00,ADA/BTC,5.39e-06,5.46e-06,5.35e-06,5.44e-06,1.557,288394.61
