https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SDN,Volume USDT
1648944000,2022-04-03 00:00:00,SDN/USDT,1.457,1.551,1.31,1.326,117845.54747159,165209.16371757568
1648857600,2022-04-02 00:00:00,SDN/USDT,1.625,1.69,1.315,1.461,409487.74329363,620059.58449835516
1648771200,2022-04-01 00:00:00,SDN/USDT,1.152,1.644,1.089,1.619,425695.22433576,579704.56218588774
1648684800,2022-03-31 00:00:00,SDN/USDT,1.04,1.219,1.04,1.15,325904.12236924,376654.40047472806
1648598400,2022-03-30 00:00:00,SDN/USDT,0.98,1.12,0.93,1.044,352780.87458244,373332.21812911927
1648512000,2022-03-29 00:00:00,SDN/USDT,0.894,1.135,0.888,0.979,293674.58288397,306889.39021949955
1648425600,2022-03-28 00:00:00,SDN/USDT,0.809,0.964,0.8,0.89,123053.39427067,108236.33272691425
1648339200,2022-03-27 00:00:00,SDN/USDT,0.815,0.839,0.779,0.808,53280.32469721,42823.21364161767
1648252800,2022-03-26 00:00:00,SDN/USDT,0.785,0.844,0.776,0.812,50864.57705843,41014.71247131274
1648166400,2022-03-25 00:00:00,SDN/USDT,0.821,0.852,0.759,0.784,84481.69875163,68362.92852599906
1648080000,2022-03-24 00:00:00,SDN/USDT,0.788,0.849,0.783,0.824,96967.19505032,78789.14159509762
1647993600,2022-03-23 00:00:00,SDN/USDT,0.78,0.803,0.759,0.787,26380.15966107,20503.4731826625
1647907200,2022-03-22 00:00:00,SDN/USDT,0.776,0.838,0.726,0.78,94699.09513974,73043.15653068012
1647820800,2022-03-21 00:00:00,SDN/USDT,0.759,0.8,0.727,0.78,57778.79481009,44464.04658228676
1647734400,2022-03-20 00:00:00,SDN/USDT,0.804,0.807,0.717,0.759,63550.60153525,47907.55396181489
1647648000,2022-03-19 00:00:00,SDN/USDT,0.725,0.824,0.716,0.804,89180.20851904,68530.71138155838
1647561600,2022-03-18 00:00:00,SDN/USDT,0.737,0.737,0.69,0.725,49134.30274774,35010.61325431795
1647475200,2022-03-17 00:00:00,SDN/USDT,0.708,0.742,0.66,0.737,77712.56117281,54503.46237589438
1647388800,2022-03-16 00:00:00,SDN/USDT,0.694,0.712,0.663,0.705,49361.43004144,34074.10250667877
1647302400,2022-03-15 00:00:00,SDN/USDT,0.702,0.732,0.663,0.693,35264.05013262,24455.25041544654
1647216000,2022-03-14 00:00:00,SDN/USDT,0.697,0.718,0.669,0.704,34141.68739098,23759.0290718664
1647129600,2022-03-13 00:00:00,SDN/USDT,0.702,0.748,0.69,0.697,65297.37904766,47049.20989772807
1647043200,2022-03-12 00:00:00,SDN/USDT,0.698,0.74,0.648,0.704,125291.61945734,89040.26770130016
1646956800,2022-03-11 00:00:00,SDN/USDT,0.706,0.823,0.678,0.7,334692.51079286,250490.12897989851
1646870400,2022-03-10 00:00:00,SDN/USDT,0.672,0.746,0.633,0.706,183646.20858306,129203.73772205265
1646784000,2022-03-09 00:00:00,SDN/USDT,0.662,0.696,0.656,0.669,29849.44996114,20159.17376283639
1646697600,2022-03-08 00:00:00,SDN/USDT,0.649,0.683,0.645,0.662,52430.82697715,34625.56298686942
1646611200,2022-03-07 00:00:00,SDN/USDT,0.666,0.724,0.628,0.648,177514.9782034,119837.25114458894
1646524800,2022-03-06 00:00:00,SDN/USDT,0.672,0.71,0.665,0.666,58069.88227963,39569.72739888095
1646438400,2022-03-05 00:00:00,SDN/USDT,0.665,0.696,0.644,0.671,131465.59264282,87645.06768405541
1646352000,2022-03-04 00:00:00,SDN/USDT,0.729,0.733,0.646,0.666,128347.93049995,88110.5288577433
1646265600,2022-03-03 00:00:00,SDN/USDT,0.708,0.754,0.681,0.728,133037.66579153,94764.14483191119
1646179200,2022-03-02 00:00:00,SDN/USDT,0.714,0.735,0.683,0.712,153742.64580459,108826.79281200443
1646092800,2022-03-01 00:00:00,SDN/USDT,0.74,0.76,0.702,0.717,295935.01649904,215676.46238612828
1646006400,2022-02-28 00:00:00,SDN/USDT,0.724,0.823,0.686,0.74,222785.75756551,164174.79806869241
1645920000,2022-02-27 00:00:00,SDN/USDT,0.832,0.835,0.672,0.719,378152.33796912,278405.34785632447
1645833600,2022-02-26 00:00:00,SDN/USDT,0.839,0.864,0.799,0.832,59568.56855064,49629.80284081749
1645747200,2022-02-25 00:00:00,SDN/USDT,0.789,0.856,0.746,0.839,110688.56738088,87750.65652630763
1645660800,2022-02-24 00:00:00,SDN/USDT,0.93,0.934,0.741,0.785,116235.23477924,93365.73331648108
1645574400,2022-02-23 00:00:00,SDN/USDT,0.869,0.983,0.864,0.934,81808.1288153,76110.12030710729
1645488000,2022-02-22 00:00:00,SDN/USDT,0.842,0.933,0.805,0.864,97234.03459185,83377.9757542675
1645401600,2022-02-21 00:00:00,SDN/USDT,0.821,0.888,0.782,0.842,108320.08303169,90694.54680572102
1645315200,2022-02-20 00:00:00,SDN/USDT,0.904,0.904,0.815,0.821,89585.00551905,75785.0503989955
1645228800,2022-02-19 00:00:00,SDN/USDT,0.966,1.009,0.881,0.903,80769.60716414,74997.52984491726
1645142400,2022-02-18 00:00:00,SDN/USDT,0.946,1.17,0.934,0.966,295524.01339904,311266.1854556276
1645056000,2022-02-17 00:00:00,SDN/USDT,0.953,1.111,0.919,0.946,155976.92952022,154829.97569453052
1644969600,2022-02-16 00:00:00,SDN/USDT,0.961,0.979,0.92,0.95,66232.47214794,62942.1493636394
1644883200,2022-02-15 00:00:00,SDN/USDT,0.923,1.002,0.914,0.968,43310.24563472,41654.17225554371
1644796800,2022-02-14 00:00:00,SDN/USDT,0.949,0.972,0.91,0.923,20473.78810051,19150.58191438337
1644710400,2022-02-13 00:00:00,SDN/USDT,0.969,1.005,0.926,0.949,39319.82841641,37901.70454455176
1644624000,2022-02-12 00:00:00,SDN/USDT,0.969,0.987,0.934,0.974,44965.6787756,43074.11812638962
1644537600,2022-02-11 00:00:00,SDN/USDT,1.04,1.05,0.943,0.969,94257.5476232,93567.8120938267
1644451200,2022-02-10 00:00:00,SDN/USDT,1.072,1.104,0.991,1.035,74710.01141645,78511.35382419068
1644364800,2022-02-09 00:00:00,SDN/USDT,1.057,1.08,1.021,1.072,60716.52852247,63880.89564996797
1644278400,2022-02-08 00:00:00,SDN/USDT,1.115,1.143,0.989,1.063,91674.73677455,98209.36270799359
