https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume EUR,tradecount
1633651200000,2021-10-08 00:00:00,ETH/EUR,3075.56000000,3140.83000000,3035.15000000,3059.34000000,29782.01120000,92139061.61690200,116683
1633564800000,2021-10-07 00:00:00,ETH/EUR,3066.79000000,3131.45000000,2976.74000000,3075.30000000,36564.89190000,111942795.79835000,143205
1633478400000,2021-10-06 00:00:00,ETH/EUR,3014.93000000,3129.00000000,2881.01000000,3067.15000000,38669.36180000,116564829.40738600,152961
1633392000000,2021-10-05 00:00:00,ETH/EUR,2911.02000000,3047.14000000,2892.01000000,3014.20000000,31331.29190000,92784487.71855000,125397
1633305600000,2021-10-04 00:00:00,ETH/EUR,2937.46000000,2951.81000000,2816.45000000,2909.76000000,32692.33670000,94510046.10813500,141609
1633219200000,2021-10-03 00:00:00,ETH/EUR,2913.54000000,3000.00000000,2873.47000000,2936.73000000,23039.75120000,67705064.00972900,86755
1633132800000,2021-10-02 00:00:00,ETH/EUR,2853.83000000,2985.70000000,2809.85000000,2911.96000000,27667.52230000,79775840.97083700,93518
1633046400000,2021-10-01 00:00:00,ETH/EUR,2594.31000000,2872.17000000,2568.50000000,2853.70000000,41646.68151000,114213553.80174310,121941
1632960000000,2021-09-30 00:00:00,ETH/EUR,2465.99000000,2634.83000000,2454.50000000,2594.55000000,34834.20910000,89884934.47687500,102261
1632873600000,2021-09-29 00:00:00,ETH/EUR,2418.63000000,2537.67000000,2404.48000000,2465.62000000,33776.73990000,83677501.11185900,93382
1632787200000,2021-09-28 00:00:00,ETH/EUR,2510.77000000,2550.81000000,2405.50000000,2418.27000000,39782.14630000,99065201.69889200,108037
1632700800000,2021-09-27 00:00:00,ETH/EUR,2624.34000000,2714.56000000,2510.00000000,2510.98000000,41887.95980000,110141824.86389200,104371
