https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume HNT,Volume USDT
1656759600000.0,2022-07-02 11:00:00,HNT/USDT,9.0697,9.0711,9.0364,9.054,0.7013220675944334,6.34977
1656756000000.0,2022-07-02 10:00:00,HNT/USDT,8.9953,9.0697,8.9615,9.0697,0.8991399936050808,8.15493
1656752400000.0,2022-07-02 09:00:00,HNT/USDT,8.9865,9.0349,8.9345,8.9953,11.687690238235524,105.13428
1656748800000.0,2022-07-02 08:00:00,HNT/USDT,9.0219,9.072,8.9865,8.9865,0.3,2.69595
1656745200000.0,2022-07-02 07:00:00,HNT/USDT,9.0619,9.0748,9.0219,9.0219,0.0,0.0
1656741600000.0,2022-07-02 06:00:00,HNT/USDT,9.072,9.072,9.0298,9.0619,0.0,0.0
1656738000000.0,2022-07-02 05:00:00,HNT/USDT,8.9992,9.072,8.9865,9.072,4.599923941798942,41.73051
1656734400000.0,2022-07-02 04:00:00,HNT/USDT,8.9389,9.0306,8.9389,8.9992,0.29957662903369187,2.69595
1656730800000.0,2022-07-02 03:00:00,HNT/USDT,8.9479,8.9687,8.9344,8.9389,0.0,0.0
1656727200000.0,2022-07-02 02:00:00,HNT/USDT,9.0148,9.0237,8.9032,8.9479,6.29035192615027,56.28544
1656723600000.0,2022-07-02 01:00:00,HNT/USDT,9.0069,9.0313,8.9865,9.0148,3.801543018147935,34.27015
1656720000000.0,2022-07-02 00:00:00,HNT/USDT,9.0753,9.188,9.0069,9.0069,19.950379153759894,179.69107
1656716400000.0,2022-07-01 23:00:00,HNT/USDT,9.1395,9.1866,9.0069,9.0753,11.008533051248994,99.90574
1656712800000.0,2022-07-01 22:00:00,HNT/USDT,9.0936,9.1689,9.0684,9.1395,0.3004398490070573,2.74587
1656709200000.0,2022-07-01 21:00:00,HNT/USDT,9.2401,9.2401,9.0684,9.0936,210.2363244479634,1911.80504
1656705600000.0,2022-07-01 20:00:00,HNT/USDT,9.2306,9.3461,9.2306,9.2401,12.383036980119263,114.4205
1656702000000.0,2022-07-01 19:00:00,HNT/USDT,9.2306,9.2306,9.2272,9.2306,0.0,0.0
1656698400000.0,2022-07-01 18:00:00,HNT/USDT,9.2428,9.2428,9.2252,9.2306,0.0,0.0
1656694800000.0,2022-07-01 17:00:00,HNT/USDT,9.2361,9.2531,9.1929,9.2428,2.696563811831912,24.9238
1656691200000.0,2022-07-01 16:00:00,HNT/USDT,9.1394,9.246,9.1394,9.2361,4.487221879364666,41.44443
1656687600000.0,2022-07-01 15:00:00,HNT/USDT,9.1048,9.1542,9.0684,9.1394,98.88625839770663,903.76107
1656684000000.0,2022-07-01 14:00:00,HNT/USDT,9.2361,9.2361,9.0666,9.1048,4.783637202354802,43.55406
1656680400000.0,2022-07-01 13:00:00,HNT/USDT,9.0684,9.2415,9.0684,9.2361,4.784519440023386,44.1903
