https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume USDT
1652227200,2022-05-11 00:00:00,FTT/USDT,33.096,33.643,26.432,29.9,85960.35090785,2608346.10165689295
1652140800,2022-05-10 00:00:00,FTT/USDT,30.209,34.822,29.538,33.079,26005.59553295,854514.80473553387
1652054400,2022-05-09 00:00:00,FTT/USDT,33.856,34.084,30.115,30.158,39471.1154686,1265088.87560857942
1651968000,2022-05-08 00:00:00,FTT/USDT,35.135,35.148,33.531,33.83,8872.18352764,303270.19411632885
1651881600,2022-05-07 00:00:00,FTT/USDT,35.911,35.97,34.471,35.143,5970.54886664,209860.83079362332
1651795200,2022-05-06 00:00:00,FTT/USDT,36.252,36.316,35.049,35.921,11856.07677146,423718.50146466777
1651708800,2022-05-05 00:00:00,FTT/USDT,39.577,39.784,35.8,36.23,24939.80304741,938077.51290385963
1651622400,2022-05-04 00:00:00,FTT/USDT,37.796,39.7,37.71,39.578,15921.58118817,620702.81640296812
1651536000,2022-05-03 00:00:00,FTT/USDT,39.163,39.25,37.634,37.787,7505.18922318,288513.66362871534
1651449600,2022-05-02 00:00:00,FTT/USDT,39.14,39.925,38.548,39.13,13367.06251074,524704.54287459232
1651363200,2022-05-01 00:00:00,FTT/USDT,37.968,39.294,37.705,39.126,7449.52064978,285792.93290306729
1651276800,2022-04-30 00:00:00,FTT/USDT,38.823,39.294,37.891,37.946,11177.53061463,431781.40607732173
1651190400,2022-04-29 00:00:00,FTT/USDT,39.85,40.4,38.399,38.793,8039.42897929,316375.19931854855
1651104000,2022-04-28 00:00:00,FTT/USDT,39.578,40.785,39.369,39.85,11095.42521347,447001.12218441316
1651017600,2022-04-27 00:00:00,FTT/USDT,38.696,39.77,38.44,39.612,9586.34778348,375740.20979287021
1650931200,2022-04-26 00:00:00,FTT/USDT,41.855,42.295,38.34,38.692,27514.45977997,1092043.4922621601
1650844800,2022-04-25 00:00:00,FTT/USDT,40.808,41.996,39.61,41.913,24364.16499014,992545.78462285967
1650758400,2022-04-24 00:00:00,FTT/USDT,41.036,41.58,40.524,40.798,11531.05792443,472553.43873882273
1650672000,2022-04-23 00:00:00,FTT/USDT,41.36,42.04,40.78,41.056,9878.03807613,408709.50112138739
1650585600,2022-04-22 00:00:00,FTT/USDT,42.164,42.656,40.944,41.342,15842.6946367,660450.11793563396
1650499200,2022-04-21 00:00:00,FTT/USDT,42.792,45.989,41.742,42.156,41614.77242074,1835901.21537690432
1650412800,2022-04-20 00:00:00,FTT/USDT,43.504,44.185,42.403,42.783,16334.10923004,705586.03249700548
1650326400,2022-04-19 00:00:00,FTT/USDT,43.393,43.985,42.934,43.479,15763.85464623,683116.06502416272
1650240000,2022-04-18 00:00:00,FTT/USDT,44.828,44.828,40.28,43.403,94155.38761602,3982048.11165740597
1650153600,2022-04-17 00:00:00,FTT/USDT,41.854,48.431,41.642,44.822,113721.99706968,5229277.70115792451
1650067200,2022-04-16 00:00:00,FTT/USDT,42.734,43.044,41.357,41.856,17573.04493128,742577.77638712877
1649980800,2022-04-15 00:00:00,FTT/USDT,41.72,43.109,41.608,42.739,65724.67991397,2787423.23850585282
1649894400,2022-04-14 00:00:00,FTT/USDT,42.869,43.29,41.408,41.668,7599.03176972,321127.03202260751
1649808000,2022-04-13 00:00:00,FTT/USDT,41.815,43.08,41.421,42.9,15936.91075155,674455.10929696154
1649721600,2022-04-12 00:00:00,FTT/USDT,41.371,42.655,41.051,41.83,11366.66761305,476701.20032490504
1649635200,2022-04-11 00:00:00,FTT/USDT,44.98,45.205,41.183,41.36,32421.67045962,1401836.07550350044
1649548800,2022-04-10 00:00:00,FTT/USDT,45.643,46.378,44.894,45.007,9400.28447304,428415.19786140495
1649462400,2022-04-09 00:00:00,FTT/USDT,44.673,45.713,44.648,45.686,5886.96962439,265643.86526830157
1649376000,2022-04-08 00:00:00,FTT/USDT,45.561,46.511,44.46,44.709,15253.17331194,695148.43645610495
1649289600,2022-04-07 00:00:00,FTT/USDT,44.995,46.09,44.505,45.59,13617.10041761,616341.40289026947
1649203200,2022-04-06 00:00:00,FTT/USDT,48.522,48.522,44.965,45.053,36743.86234316,1718930.66112247262
1649116800,2022-04-05 00:00:00,FTT/USDT,50.148,51.023,48.454,48.544,28393.83571914,1410429.67655331789
1649030400,2022-04-04 00:00:00,FTT/USDT,50.4,50.443,48.816,50.14,16166.174245,803703.54306784428
1648944000,2022-04-03 00:00:00,FTT/USDT,49.714,51.288,49.311,50.4,15210.1078042,766350.06991831599
1648857600,2022-04-02 00:00:00,FTT/USDT,50.475,51.227,49.494,49.761,22256.2901197,1123501.37338317848
1648771200,2022-04-01 00:00:00,FTT/USDT,48.863,51.159,47.46,50.491,20418.57955058,1006206.65684575397
1648684800,2022-03-31 00:00:00,FTT/USDT,51.198,51.701,48.544,48.866,34614.61226086,1735271.91955473382
1648598400,2022-03-30 00:00:00,FTT/USDT,51.087,52.182,50.011,51.112,17100.03856249,871841.39118852132
1648512000,2022-03-29 00:00:00,FTT/USDT,51.764,52.518,50.382,51.081,34433.96717418,1779653.94423358006
1648425600,2022-03-28 00:00:00,FTT/USDT,52.025,53.28,51.371,51.718,29878.84614915,1560288.03999276844
1648339200,2022-03-27 00:00:00,FTT/USDT,49.925,52.299,49.597,51.999,23030.37169496,1171349.73571323803
1648252800,2022-03-26 00:00:00,FTT/USDT,49.724,50.553,49.517,49.906,18106.82785311,905081.63758017613
1648166400,2022-03-25 00:00:00,FTT/USDT,49.485,51.606,49.127,49.706,59482.08403424,2981864.87741296238
1648080000,2022-03-24 00:00:00,FTT/USDT,46.189,49.676,45.91,49.465,32762.89990786,1562647.2303283218
1647993600,2022-03-23 00:00:00,FTT/USDT,45.282,46.361,44.665,46.195,14670.47849052,666512.67173780249
1647907200,2022-03-22 00:00:00,FTT/USDT,44.674,46.715,44.469,45.287,15580.0367192,711683.77415562856
1647820800,2022-03-21 00:00:00,FTT/USDT,44.018,45.101,43.485,44.783,9604.7550956,426926.56090047145
1647734400,2022-03-20 00:00:00,FTT/USDT,44.912,45.029,43.527,43.999,12726.28719481,562375.77275384695
1647648000,2022-03-19 00:00:00,FTT/USDT,44.605,45.283,44.328,44.868,14449.75509358,648467.8572906707
1647561600,2022-03-18 00:00:00,FTT/USDT,43.076,45.212,42.397,44.637,19001.01864124,837196.14303826579
1647475200,2022-03-17 00:00:00,FTT/USDT,42.74,43.41,42.426,43.047,10769.73655793,461678.9832852076
1647388800,2022-03-16 00:00:00,FTT/USDT,41.012,42.811,40.663,42.737,32857.17404871,1373280.16202930857
1647302400,2022-03-15 00:00:00,FTT/USDT,41.513,41.558,40.075,41.034,14849.76154932,606795.06685793049
1647216000,2022-03-14 00:00:00,FTT/USDT,39.833,41.56,39.632,41.498,13420.93304403,547582.0538968336
1647129600,2022-03-13 00:00:00,FTT/USDT,40.936,41.424,39.742,39.834,7506.58100884,305229.22443642258
1647043200,2022-03-12 00:00:00,FTT/USDT,40.832,41.482,40.724,40.921,6473.8378647,266195.42686895346
1646956800,2022-03-11 00:00:00,FTT/USDT,40.764,42.022,39.773,40.817,8742.60543552,357060.73370280377
1646870400,2022-03-10 00:00:00,FTT/USDT,42.822,42.839,40.119,40.772,12307.73567549,506037.36264557694
1646784000,2022-03-09 00:00:00,FTT/USDT,40.561,43.464,40.468,42.797,14905.61144819,636855.64025203504
1646697600,2022-03-08 00:00:00,FTT/USDT,39.893,41.246,39.689,40.567,18580.86707236,752946.14037455558
1646611200,2022-03-07 00:00:00,FTT/USDT,39.826,41,38.594,39.891,16343.69775466,649204.36323822234
1646524800,2022-03-06 00:00:00,FTT/USDT,41.14,41.402,39.624,39.85,12286.16657761,497442.19964662935
1646438400,2022-03-05 00:00:00,FTT/USDT,40.484,41.524,39.816,41.187,9955.59777281,405978.31869640917
1646352000,2022-03-04 00:00:00,FTT/USDT,44.91,44.91,40,40.403,25532.54554873,1073400.17601395293
1646265600,2022-03-03 00:00:00,FTT/USDT,46.219,46.378,44.012,44.901,16865.36378882,755410.8996988259
1646179200,2022-03-02 00:00:00,FTT/USDT,46.347,47.599,45.608,46.225,19843.69600706,922384.14589470457
1646092800,2022-03-01 00:00:00,FTT/USDT,46.069,47.688,45.272,46.325,18227.82845237,842353.76555843377
1646006400,2022-02-28 00:00:00,FTT/USDT,41.583,46.623,41.263,46.079,27416.5720512,1218509.67953805649
1645920000,2022-02-27 00:00:00,FTT/USDT,43.317,44.224,41.009,41.567,14408.91335862,610814.89524785816
1645833600,2022-02-26 00:00:00,FTT/USDT,43.138,44.155,42.655,43.332,8387.74621902,365234.4789915942
1645747200,2022-02-25 00:00:00,FTT/USDT,41.36,43.558,41.159,43.141,17273.39935513,731907.99622205255
1645660800,2022-02-24 00:00:00,FTT/USDT,40.84,42.481,37.345,41.347,65730.59685878,2589695.59476142599
1645574400,2022-02-23 00:00:00,FTT/USDT,41.546,43.363,40.743,40.794,19276.83071167,816430.99765152245
1645488000,2022-02-22 00:00:00,FTT/USDT,39.872,41.674,39.117,41.522,27814.90295974,1123687.50084947226
1645401600,2022-02-21 00:00:00,FTT/USDT,40.837,42.534,39.729,39.885,47763.67176948,1958088.90181382699
1645315200,2022-02-20 00:00:00,FTT/USDT,42.786,42.791,40.341,40.831,48923.25772469,2009826.88581307696
1645228800,2022-02-19 00:00:00,FTT/USDT,43.109,43.626,41.917,42.789,22985.52455077,978794.8234574054
1645142400,2022-02-18 00:00:00,FTT/USDT,43.748,44.373,42.526,43.107,39347.49298789,1705287.11305420076
1645056000,2022-02-17 00:00:00,FTT/USDT,46.451,46.77,43.272,43.762,54498.92215417,2452540.58496811041
1644969600,2022-02-16 00:00:00,FTT/USDT,47.177,47.177,45.757,46.457,30180.75714625,1405189.12174741025
1644883200,2022-02-15 00:00:00,FTT/USDT,44.858,47.393,44.663,47.177,34322.80293175,1595224.48801573228
1644796800,2022-02-14 00:00:00,FTT/USDT,44.426,45.044,43.39,44.856,48827.13188175,2153733.50846888246
1644710400,2022-02-13 00:00:00,FTT/USDT,44.188,45.429,43.756,44.428,45796.95076064,2045003.02176138149
1644624000,2022-02-12 00:00:00,FTT/USDT,43.451,44.878,42.817,44.155,30215.50638,1327868.09114789162
1644537600,2022-02-11 00:00:00,FTT/USDT,44.584,45.36,42.902,43.417,38340.12497559,1688626.31484491174
1644451200,2022-02-10 00:00:00,FTT/USDT,47.952,48.355,44.386,44.565,38763.63451761,1807663.78316990304
1644364800,2022-02-09 00:00:00,FTT/USDT,46.39,48.19,45.555,47.952,27055.0338143,1277320.0811706176
1644278400,2022-02-08 00:00:00,FTT/USDT,47.244,48.637,45.192,46.377,34813.38514648,1627145.63734121329
1644192000,2022-02-07 00:00:00,FTT/USDT,46.688,48.5,45.883,47.166,44923.78162735,2129367.36423497628
1644105600,2022-02-06 00:00:00,FTT/USDT,46.175,46.847,45.123,46.687,12280.20344023,565061.38346231573
1644019200,2022-02-05 00:00:00,FTT/USDT,46.077,47.021,45.03,46.167,28637.53171903,1325371.26653797965
1643932800,2022-02-04 00:00:00,FTT/USDT,42.764,46.1,42.543,46.032,31472.20613005,1385782.96514419839
1643846400,2022-02-03 00:00:00,FTT/USDT,42.933,43.144,40.82,42.723,28253.47323634,1185098.78406968922
1643760000,2022-02-02 00:00:00,FTT/USDT,45.23,46.218,42.261,42.974,51533.15381805,2281567.59359184809
1643673600,2022-02-01 00:00:00,FTT/USDT,43.613,50,42.716,45.212,64970.78293939,2936292.76406267967
