https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTC,Volume TUSD
1656086400,2022-06-24 16:00:00,BTC/TUSD,20839.7,21013.5,20808.4,21005.8,3.44520667,72115.612618776
1656082800,2022-06-24 15:00:00,BTC/TUSD,20986.8,21005.9,20817.2,20870.1,4.35689856,91146.82287567
1656079200,2022-06-24 14:00:00,BTC/TUSD,21246.2,21322.1,21050.6,21092.3,0.91731273,19509.945023762
1656075600,2022-06-24 13:00:00,BTC/TUSD,21283.8,21318.6,21208.1,21243.4,1.14699302,24407.395985472
1656072000,2022-06-24 12:00:00,BTC/TUSD,21150.5,21412.1,21125.4,21152.3,1.39986038,29828.22794659
1656068400,2022-06-24 11:00:00,BTC/TUSD,20981.2,21290.7,20978.3,21122.7,1.1086444,23391.225866394
1656064800,2022-06-24 10:00:00,BTC/TUSD,20794.8,20969.4,20794.8,20969.4,0.52031191,10837.06225191
1656061200,2022-06-24 09:00:00,BTC/TUSD,21015.4,21039.3,20768.4,20768.4,0.75414682,15713.490545633
1656057600,2022-06-24 08:00:00,BTC/TUSD,20914.3,21052.9,20914.3,21037.7,0.92965041,19538.916419425
1656054000,2022-06-24 07:00:00,BTC/TUSD,20780.8,20918.3,20768.4,20918.3,0.93344374,19435.493736206
1656050400,2022-06-24 06:00:00,BTC/TUSD,20875.7,20935,20773.6,20800,1.61905386,33672.749185874
1656046800,2022-06-24 05:00:00,BTC/TUSD,21032.6,21112.7,20833,20833,1.0812553,22636.233702528
1656043200,2022-06-24 04:00:00,BTC/TUSD,21061.6,21113.8,21007.8,21022.4,0.05294631,1116.009907143
1656039600,2022-06-24 03:00:00,BTC/TUSD,21166,21248.6,21064,21064,1.46975136,31025.089249138
1656036000,2022-06-24 02:00:00,BTC/TUSD,21021.1,21318,21019.9,21153.1,3.12111323,66293.469348734
1656032400,2022-06-24 01:00:00,BTC/TUSD,20984.2,21145.6,20978.7,21024.3,0.18745893,3948.406752285
1656028800,2022-06-24 00:00:00,BTC/TUSD,21059.6,21161.8,20964.3,20986.2,0.93375133,19704.355779037
1656025200,2022-06-23 23:00:00,BTC/TUSD,21012.9,21144.1,21012.9,21089,0.02781808,587.039217532
1656021600,2022-06-23 22:00:00,BTC/TUSD,20687.2,21166.5,20659.6,20981.3,1.98422507,41731.16620621
1656018000,2022-06-23 21:00:00,BTC/TUSD,20819.7,20826.5,20702.8,20708.5,1.25310674,25959.465699029
1656014400,2022-06-23 20:00:00,BTC/TUSD,20891.2,21120,20744.4,20794.5,0.87229861,18220.647573505
1656010800,2022-06-23 19:00:00,BTC/TUSD,20400.1,20914.6,20400.1,20857,2.4964432,51451.711512101
1656007200,2022-06-23 18:00:00,BTC/TUSD,20284.7,20426.6,20284.7,20415.7,0.05239384,1069.388113403
1656003600,2022-06-23 17:00:00,BTC/TUSD,20238.2,20350,20163.2,20314,0.76358319,15489.733294553
1656000000,2022-06-23 16:00:00,BTC/TUSD,20283.4,20321.1,20224.9,20319.6,0.12648345,2560.479063087
1655996400,2022-06-23 15:00:00,BTC/TUSD,20558.3,20575.7,20283.2,20361.5,0.98850626,20079.726143792
1655992800,2022-06-23 14:00:00,BTC/TUSD,20371.4,20559.4,20371.4,20559.4,2.15233388,43955.06881625
1655989200,2022-06-23 13:00:00,BTC/TUSD,20566.3,20576,20396.9,20396.9,0.28305684,5792.002181455
1655985600,2022-06-23 12:00:00,BTC/TUSD,20655.5,20783.6,20499.8,20515.8,0.96967884,20017.56537351
1655982000,2022-06-23 11:00:00,BTC/TUSD,20681.8,20683.7,20595.6,20601.1,1.45694307,30127.244480849
1655978400,2022-06-23 10:00:00,BTC/TUSD,20731.6,20737.3,20663.7,20663.7,1.15085442,23852.975018234
1655974800,2022-06-23 09:00:00,BTC/TUSD,20572.9,20750,20551.9,20750,0.40689301,8407.003137791
1655971200,2022-06-23 08:00:00,BTC/TUSD,20568,20579.6,20476.7,20525.9,0.04137831,850.658752165
1655967600,2022-06-23 07:00:00,BTC/TUSD,20531.7,20549.9,20441,20441,1.15407568,23596.362857084
