https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume UNFI,Volume USDT
1651536000,2022-05-03 00:00:00,UNFI/USDT,4.11,4.244,3.854,3.91,2682.74668521,10888.2678191177
1651449600,2022-05-02 00:00:00,UNFI/USDT,4.13,4.176,3.837,4.083,6228.29922849,24872.62490438933
1651363200,2022-05-01 00:00:00,UNFI/USDT,3.826,4.262,3.748,4.084,4638.09587925,18396.07072202161
1651276800,2022-04-30 00:00:00,UNFI/USDT,4.241,4.36,3.667,3.854,9813.14208239,40938.66469113701
1651190400,2022-04-29 00:00:00,UNFI/USDT,4.475,4.524,4.093,4.25,8108.52040595,34947.11348653205
1651104000,2022-04-28 00:00:00,UNFI/USDT,4.478,4.559,4.375,4.451,9246.74180441,41562.85977934628
1651017600,2022-04-27 00:00:00,UNFI/USDT,4.308,4.574,4.248,4.478,12185.80072652,54233.19365583631
1650931200,2022-04-26 00:00:00,UNFI/USDT,4.765,4.807,4.245,4.305,7629.65445829,34984.52513509123
1650844800,2022-04-25 00:00:00,UNFI/USDT,4.787,4.787,4,4.76,20494.89349382,92065.93790724172
1650758400,2022-04-24 00:00:00,UNFI/USDT,4.851,4.957,4.655,4.766,8946.44510644,43330.80836113279
1650672000,2022-04-23 00:00:00,UNFI/USDT,4.975,4.989,4.817,4.855,9273.61531075,45650.7814948938
1650585600,2022-04-22 00:00:00,UNFI/USDT,4.897,5.065,4.878,4.984,12340.27546416,61581.04191956767
1650499200,2022-04-21 00:00:00,UNFI/USDT,5.205,5.55,4.831,4.902,25580.68125448,132644.34755550763
1650412800,2022-04-20 00:00:00,UNFI/USDT,5.214,5.431,5.097,5.191,13639.65321271,71814.50664917865
1650326400,2022-04-19 00:00:00,UNFI/USDT,5.023,5.253,5.004,5.242,8655.43999985,44274.60242463015
1650240000,2022-04-18 00:00:00,UNFI/USDT,4.792,5.035,4.603,5.022,14200.11992774,68505.50468691139
1650153600,2022-04-17 00:00:00,UNFI/USDT,5.071,5.097,4.773,4.773,5844.72673479,29320.60519650583
1650067200,2022-04-16 00:00:00,UNFI/USDT,5.098,5.171,4.983,5.079,4760.24924975,24202.57205389375
1649980800,2022-04-15 00:00:00,UNFI/USDT,4.96,5.139,4.898,5.099,17411.0395141,87775.7895518041
1649894400,2022-04-14 00:00:00,UNFI/USDT,5.23,5.33,4.874,4.955,10683.4276813,54850.24162757952
1649808000,2022-04-13 00:00:00,UNFI/USDT,5.044,5.242,4.87,5.234,16359.59382934,83306.19815092361
1649721600,2022-04-12 00:00:00,UNFI/USDT,4.801,5.202,4.777,5.047,23786.05279313,119084.94278068521
1649635200,2022-04-11 00:00:00,UNFI/USDT,5.388,5.429,4.71,4.78,37899.79566803,192994.26102294971
1649548800,2022-04-10 00:00:00,UNFI/USDT,5.527,5.668,5.331,5.388,14249.3572206,78512.59655810563
1649462400,2022-04-09 00:00:00,UNFI/USDT,5.363,5.601,5.354,5.522,11350.22184586,61832.71558859012
1649376000,2022-04-08 00:00:00,UNFI/USDT,5.825,5.853,5.28,5.345,28043.87408843,155228.80408452189
1649289600,2022-04-07 00:00:00,UNFI/USDT,5.446,5.864,5.344,5.818,19530.26360826,110205.24623983404
1649203200,2022-04-06 00:00:00,UNFI/USDT,6.383,6.383,5.392,5.417,47201.79089316,275142.36885361453
1649116800,2022-04-05 00:00:00,UNFI/USDT,6.467,7.1,6.364,6.389,78047.51850275,515970.85722648972
1649030400,2022-04-04 00:00:00,UNFI/USDT,6.955,6.955,6.227,6.479,23593.32622765,155275.97808309181
1648944000,2022-04-03 00:00:00,UNFI/USDT,6.925,7.167,6.69,6.975,14253.65333074,98825.69817513764
