https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MV,Volume USDT
1654473600,2022-06-06 00:00:00,MV/USDT,0.62914,0.63282,0.60964,0.6177,245421.67916316,152427.5900883618682
1654387200,2022-06-05 00:00:00,MV/USDT,0.61162,0.62914,0.60375,0.62914,297487.04141286,182335.4225202683082
1654300800,2022-06-04 00:00:00,MV/USDT,0.60223,0.62826,0.58873,0.61147,282672.27020675,176410.827330348479
1654214400,2022-06-03 00:00:00,MV/USDT,0.70389,0.70389,0.59826,0.60223,310473.75819303,201638.4290081364487
1654128000,2022-06-02 00:00:00,MV/USDT,0.76426,0.76608,0.69401,0.69819,236754.12461393,170173.5818913312829
1654041600,2022-06-01 00:00:00,MV/USDT,0.77719,0.81447,0.76367,0.76588,203000.30605305,158980.3415144035865
1653955200,2022-05-31 00:00:00,MV/USDT,0.78951,0.78951,0.76437,0.7775,212106.13207667,165400.0455313728478
1653868800,2022-05-30 00:00:00,MV/USDT,0.76623,0.79167,0.76567,0.78507,77275.50216415,60747.8308198759893
1653782400,2022-05-29 00:00:00,MV/USDT,0.76327,0.78539,0.76327,0.78012,176223.11966322,137696.3242651895579
1653696000,2022-05-28 00:00:00,MV/USDT,0.75965,0.78365,0.755,0.77745,193841.66014757,148805.598796710245
1653609600,2022-05-27 00:00:00,MV/USDT,0.76735,0.76735,0.75451,0.75909,186010.08588839,141416.6533553572236
1653523200,2022-05-26 00:00:00,MV/USDT,0.79581,0.80392,0.76161,0.76334,206970.64278923,163062.3476595624816
1653436800,2022-05-25 00:00:00,MV/USDT,0.72453,0.95,0.71396,0.78095,268268.80762483,208814.8620504090901
1653350400,2022-05-24 00:00:00,MV/USDT,0.75353,0.7542,0.71988,0.72517,52184.63084306,38668.8649045738388
1653264000,2022-05-23 00:00:00,MV/USDT,0.74185,0.76574,0.73915,0.75127,49217.16233886,36856.7629577851707
1653177600,2022-05-22 00:00:00,MV/USDT,0.75028,0.75028,0.73314,0.74304,10625.64089379,7895.2969894701204
1653091200,2022-05-21 00:00:00,MV/USDT,0.7955,0.79551,0.74674,0.75512,12582.23758346,9882.844414527731
1653004800,2022-05-20 00:00:00,MV/USDT,0.81801,0.81801,0.79608,0.80087,1899.06150003,1529.4574034311751
1652918400,2022-05-19 00:00:00,MV/USDT,0.8049,0.821,0.802,0.821,2356.58498294,1914.5806802527508
1652832000,2022-05-18 00:00:00,MV/USDT,0.8271,0.8501,0.8042,0.8042,2185.95942477,1815.6264670613466
1652745600,2022-05-17 00:00:00,MV/USDT,0.821,0.8396,0.8192,0.8281,2185.91209658,1806.51207785372
1652659200,2022-05-16 00:00:00,MV/USDT,0.8546,0.8606,0.8175,0.8211,12886.49273125,10860.542709120167
1652572800,2022-05-15 00:00:00,MV/USDT,0.8168,0.9092,0.8168,0.8559,44795.14463994,39504.934526640872
1652486400,2022-05-14 00:00:00,MV/USDT,0.7739,0.8148,0.7692,0.8089,10976.21268871,8717.770740190862
1652400000,2022-05-13 00:00:00,MV/USDT,0.7022,0.8326,0.7022,0.7853,16942.46704172,13405.025307550979
1652313600,2022-05-12 00:00:00,MV/USDT,0.7404,0.8504,0.5002,0.6958,21889.82815473,15953.524992080397
1652227200,2022-05-11 00:00:00,MV/USDT,0.8745,0.8779,0.7208,0.7275,22056.17995132,18154.398312642488
1652140800,2022-05-10 00:00:00,MV/USDT,0.8884,0.9017,0.8685,0.8688,26837.94731147,24135.595368262338
1652054400,2022-05-09 00:00:00,MV/USDT,0.9342,0.9573,0.89,0.8925,41097.61138314,38373.504411053628
1651968000,2022-05-08 00:00:00,MV/USDT,0.9858,0.9988,0.9281,0.9281,4303.0952138,4116.446322840688
1651881600,2022-05-07 00:00:00,MV/USDT,0.9933,1.0192,0.9715,0.9829,10597.60952264,10471.111602467232
1651795200,2022-05-06 00:00:00,MV/USDT,1.0265,1.0265,0.9688,0.993,2215.58804682,2224.006165437913
1651708800,2022-05-05 00:00:00,MV/USDT,1.11,1.1458,1.0268,1.0268,5192.29018626,5640.487419450718
1651622400,2022-05-04 00:00:00,MV/USDT,1.1376,1.1442,1.0612,1.1076,6786.7083256,7536.554096813291
1651536000,2022-05-03 00:00:00,MV/USDT,1.3001,1.3224,1.095,1.1385,13496.9121246,16355.559921667564
1651449600,2022-05-02 00:00:00,MV/USDT,1.0531,1.3351,1.0485,1.3,80910.38813054,96028.431656941947
1651363200,2022-05-01 00:00:00,MV/USDT,0.9375,1.103,0.8985,1.0493,46975.1147527,50123.800957026914
1651276800,2022-04-30 00:00:00,MV/USDT,1.0398,1.0399,0.9379,0.9379,58835.23351461,59372.439505579444
1651190400,2022-04-29 00:00:00,MV/USDT,1.0997,1.0997,1.003,1.0341,18697.54068583,19229.913789974077
1651104000,2022-04-28 00:00:00,MV/USDT,1.1203,1.1563,1.0801,1.0997,16103.2759389,18133.394252574974
1651017600,2022-04-27 00:00:00,MV/USDT,1.2094,1.2094,1.1159,1.1203,61567.07087277,71054.954999128541
1650931200,2022-04-26 00:00:00,MV/USDT,1.273,1.3091,1.1989,1.2096,110519.81352013,139472.788251418964
1650844800,2022-04-25 00:00:00,MV/USDT,1.4099,1.4667,1.19,1.2504,172606.81392729,227037.694447565761
1650758400,2022-04-24 00:00:00,MV/USDT,1.4512,1.5797,1.3751,1.4089,251386.73316146,371583.986209372495
1650672000,2022-04-23 00:00:00,MV/USDT,1.2818,1.5,1.2735,1.4506,193929.16852569,276801.863128243983
1650585600,2022-04-22 00:00:00,MV/USDT,1.2329,1.3,1.2269,1.2736,97128.96168802,123919.522736076767
1650499200,2022-04-21 00:00:00,MV/USDT,1.2023,1.2775,1.1965,1.2287,93609.33659849,116732.353502918577
1650412800,2022-04-20 00:00:00,MV/USDT,1,1.59,1,1.1991,306321.86104971,376483.222085076832
