https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume CUSDTHALF,Volume USD
1629676800000.0,2021-08-23 00:00:00,CUSDTHALF/USD,5322.0,5331.75,5319.5,5322.0,0.0,0.0
1629590400000.0,2021-08-22 00:00:00,CUSDTHALF/USD,5322.0,5331.25,5319.5,5322.0,0.0,0.0
1629504000000.0,2021-08-21 00:00:00,CUSDTHALF/USD,5322.0,5323.0,5317.0,5322.0,0.0,0.0
1629417600000.0,2021-08-20 00:00:00,CUSDTHALF/USD,5316.5,5322.0,5314.0,5322.0,0.0,0.0
1629331200000.0,2021-08-19 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5315.75,5316.5,0.0,0.0
1629244800000.0,2021-08-18 00:00:00,CUSDTHALF/USD,5318.0,5322.0,5315.75,5317.25,0.0,0.0
1629158400000.0,2021-08-17 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5315.25,5318.0,0.0,0.0
1629072000000.0,2021-08-16 00:00:00,CUSDTHALF/USD,5322.0,5322.0,5318.0,5322.0,0.0,0.0
1628985600000.0,2021-08-15 00:00:00,CUSDTHALF/USD,5329.0,5330.75,5318.25,5322.0,0.01877,99.89394
1628899200000.0,2021-08-14 00:00:00,CUSDTHALF/USD,5330.75,5330.75,5322.5,5329.0,0.0,0.0
1628812800000.0,2021-08-13 00:00:00,CUSDTHALF/USD,5330.75,5330.75,5325.5,5330.75,0.0,0.0
1628726400000.0,2021-08-12 00:00:00,CUSDTHALF/USD,5330.75,5330.75,5326.25,5330.75,0.0,0.0
1628640000000.0,2021-08-11 00:00:00,CUSDTHALF/USD,5325.5,5330.75,5324.0,5330.75,0.0,0.0
1628553600000.0,2021-08-10 00:00:00,CUSDTHALF/USD,5328.75,5330.75,5324.75,5325.5,0.0,0.0
1628467200000.0,2021-08-09 00:00:00,CUSDTHALF/USD,5330.75,5332.0,5327.75,5328.75,0.0,0.0
1628380800000.0,2021-08-08 00:00:00,CUSDTHALF/USD,5333.5,5336.25,5330.25,5330.75,0.00207,11.0346525
1628294400000.0,2021-08-07 00:00:00,CUSDTHALF/USD,5333.5,5338.0,5332.5,5333.5,0.0,0.0
1628208000000.0,2021-08-06 00:00:00,CUSDTHALF/USD,5334.5,5339.25,5333.5,5333.5,0.0,0.0
1628121600000.0,2021-08-05 00:00:00,CUSDTHALF/USD,5338.5,5338.5,5332.75,5334.5,0.0020696119598837756,11.040345
1628035200000.0,2021-08-04 00:00:00,CUSDTHALF/USD,5339.25,5345.5,5331.75,5338.5,0.00414,22.10139
1627948800000.0,2021-08-03 00:00:00,CUSDTHALF/USD,5339.25,5365.75,5332.25,5339.25,0.0,0.0
1627862400000.0,2021-08-02 00:00:00,CUSDTHALF/USD,5341.75,5362.25,5333.0,5339.25,0.0,0.0
1627776000000.0,2021-08-01 00:00:00,CUSDTHALF/USD,5344.25,5365.75,5335.25,5341.75,0.0,0.0
1627689600000.0,2021-07-31 00:00:00,CUSDTHALF/USD,5348.25,5365.75,5337.25,5344.25,0.0,0.0
1627603200000.0,2021-07-30 00:00:00,CUSDTHALF/USD,5346.0,5365.75,5339.0,5348.25,0.0,0.0
1627516800000.0,2021-07-29 00:00:00,CUSDTHALF/USD,5347.0,5365.75,5339.25,5339.5,0.0,0.0
1627430400000.0,2021-07-28 00:00:00,CUSDTHALF/USD,5348.75,5365.75,5339.75,5340.0,0.0,0.0
1627344000000.0,2021-07-27 00:00:00,CUSDTHALF/USD,5350.0,5359.5,5340.5,5348.75,0.0,0.0
1627257600000.0,2021-07-26 00:00:00,CUSDTHALF/USD,5352.0,5365.75,5342.75,5350.0,0.0,0.0
1627171200000.0,2021-07-25 00:00:00,CUSDTHALF/USD,5345.5,5365.75,5345.0,5352.0,0.0,0.0
1627084800000.0,2021-07-24 00:00:00,CUSDTHALF/USD,5351.5,5365.75,5344.75,5345.5,0.0,0.0
1626998400000.0,2021-07-23 00:00:00,CUSDTHALF/USD,5351.25,5364.25,5343.0,5345.25,0.0,0.0
1626912000000.0,2021-07-22 00:00:00,CUSDTHALF/USD,5351.5,5365.75,5344.75,5345.5,0.0,0.0
1626825600000.0,2021-07-21 00:00:00,CUSDTHALF/USD,5350.25,5365.75,5343.5,5351.5,0.0,0.0
1626739200000.0,2021-07-20 00:00:00,CUSDTHALF/USD,5343.75,5365.75,5342.75,5344.25,0.0,0.0
