https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DRGN,Volume BTC
1654657200,2022-06-08 03:00:00,DRGN/BTC,0.00000071,0.00000071,0.00000071,0.00000071,4119.8916,0.002925123036
1654653600,2022-06-08 02:00:00,DRGN/BTC,0.00000069,0.00000071,0.00000069,0.0000007,22675.3805,0.015979179534
1654650000,2022-06-08 01:00:00,DRGN/BTC,0.00000069,0.0000007,0.00000069,0.0000007,4567.2301,0.003184694649
1654646400,2022-06-08 00:00:00,DRGN/BTC,0.00000069,0.00000069,0.00000069,0.00000069,6296.8263,0.004344810147
1654642800,2022-06-07 23:00:00,DRGN/BTC,0.0000007,0.0000007,0.00000068,0.00000069,87250.7905,0.059691094894
1654639200,2022-06-07 22:00:00,DRGN/BTC,0.00000069,0.00000071,0.00000068,0.0000007,34214.7124,0.023800616351
1654635600,2022-06-07 21:00:00,DRGN/BTC,0.00000071,0.00000071,0.0000007,0.0000007,25190.23082253,0.0176561843019963
1654632000,2022-06-07 20:00:00,DRGN/BTC,0.00000071,0.00000071,0.0000007,0.00000071,2976.8875,0.002090722627
1654628400,2022-06-07 19:00:00,DRGN/BTC,0.00000073,0.00000073,0.00000071,0.00000071,74927.0273,0.054312728059
1654624800,2022-06-07 18:00:00,DRGN/BTC,0.00000073,0.00000073,0.00000073,0.00000073,6770.3576,0.004942361048
1654621200,2022-06-07 17:00:00,DRGN/BTC,0.00000072,0.00000072,0.00000072,0.00000072,8510.6658,0.006127679376
1654617600,2022-06-07 16:00:00,DRGN/BTC,0.00000073,0.00000073,0.00000073,0.00000073,614.4911,0.000448578503
1654614000,2022-06-07 15:00:00,DRGN/BTC,0.00000073,0.00000073,0.00000072,0.00000073,51379.3441,0.037106921193
1654610400,2022-06-07 14:00:00,DRGN/BTC,0.00000074,0.00000075,0.00000073,0.00000073,17291.6042,0.012909591506
1654606800,2022-06-07 13:00:00,DRGN/BTC,0.00000074,0.00000075,0.00000073,0.00000073,2949.9908,0.002187368628
1654603200,2022-06-07 12:00:00,DRGN/BTC,0.00000074,0.00000074,0.00000074,0.00000074,4690.874,0.00347124676
1654599600,2022-06-07 11:00:00,DRGN/BTC,0.00000074,0.00000074,0.00000073,0.00000074,3452.2665,0.002552455399
