https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume SOLVE,Volume USDT
1651363200,2022-05-01 00:00:00,SOLVE/USDT,0.06996,0.07062,0.06815,0.07024,134101.66118899,9274.3088617450116
1651276800,2022-04-30 00:00:00,SOLVE/USDT,0.0715,0.07196,0.0697,0.07028,122018.37698059,8662.3965089552943
1651190400,2022-04-29 00:00:00,SOLVE/USDT,0.07313,0.07336,0.07016,0.07135,284667.79458128,20223.2483714624888
1651104000,2022-04-28 00:00:00,SOLVE/USDT,0.07189,0.07447,0.07164,0.07313,95313.78762463,6940.4248406732786
1651017600,2022-04-27 00:00:00,SOLVE/USDT,0.07133,0.07338,0.07076,0.07183,207149.90411029,14959.2385972036695
1650931200,2022-04-26 00:00:00,SOLVE/USDT,0.07507,0.07726,0.0709,0.0709,389564.36621533,28833.0806173011819
1650844800,2022-04-25 00:00:00,SOLVE/USDT,0.07449,0.07533,0.07145,0.07526,842323.59511112,62432.2958384021604
1650758400,2022-04-24 00:00:00,SOLVE/USDT,0.07638,0.07728,0.07437,0.07457,211695.1857941,16028.644032978754
1650672000,2022-04-23 00:00:00,SOLVE/USDT,0.07412,0.079,0.07368,0.0764,226612.72394999,17419.1908921786723
1650585600,2022-04-22 00:00:00,SOLVE/USDT,0.07501,0.07501,0.07347,0.07444,218675.17256129,16307.9646616641056
1650499200,2022-04-21 00:00:00,SOLVE/USDT,0.07696,0.07929,0.07472,0.07501,329057.13870613,25453.5363854432065
1650412800,2022-04-20 00:00:00,SOLVE/USDT,0.07777,0.07877,0.07642,0.07694,298778.13014221,23075.2231417438085
1650326400,2022-04-19 00:00:00,SOLVE/USDT,0.07721,0.07869,0.07558,0.078,160376.71598652,12379.858030396147
1650240000,2022-04-18 00:00:00,SOLVE/USDT,0.07683,0.07745,0.0741,0.07727,359253.6864326,27058.5109354262468
1650153600,2022-04-17 00:00:00,SOLVE/USDT,0.07979,0.08012,0.0764,0.07716,127947.40151437,9984.7562390202658
1650067200,2022-04-16 00:00:00,SOLVE/USDT,0.07809,0.08021,0.07766,0.07979,131722.53806477,10391.6511629892093
1649980800,2022-04-15 00:00:00,SOLVE/USDT,0.07867,0.0792,0.07772,0.07836,85821.32917461,6714.3438486593023
1649894400,2022-04-14 00:00:00,SOLVE/USDT,0.07898,0.07898,0.076,0.07887,253042.94680702,19574.7697437726204
1649808000,2022-04-13 00:00:00,SOLVE/USDT,0.07682,0.07985,0.07649,0.079,156009.50597786,12154.3310519790144
1649721600,2022-04-12 00:00:00,SOLVE/USDT,0.0764,0.0781,0.07583,0.07682,227393.80905707,17451.8206759717567
1649635200,2022-04-11 00:00:00,SOLVE/USDT,0.08383,0.08424,0.07571,0.0764,386792.66180047,30977.8295683260695
1649548800,2022-04-10 00:00:00,SOLVE/USDT,0.08383,0.08597,0.0828,0.08384,232940.44216241,19713.8757925545921
1649462400,2022-04-09 00:00:00,SOLVE/USDT,0.08541,0.08541,0.0826,0.08408,242766.57331018,20403.0663775755588
