https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TXA,Volume USDT
1650564000,2022-04-21 18:00:00,TXA/USDT,2.0109,2.011,1.987,1.9984,44900.8728578,89937.4212846845
1650560400,2022-04-21 17:00:00,TXA/USDT,2.0109,2.0109,2.0105,2.0109,43440.4136,87349.32178324
1650556800,2022-04-21 16:00:00,TXA/USDT,2.0071,2.0109,2.0071,2.0109,12089.902,24310.42225736
1650553200,2022-04-21 15:00:00,TXA/USDT,2.0109,2.011,2.0105,2.0109,20694.7659,41613.47769303
1650549600,2022-04-21 14:00:00,TXA/USDT,2.0107,2.011,2.0071,2.0109,25368.0579,51009.15015968
1650546000,2022-04-21 13:00:00,TXA/USDT,2.0106,2.011,2.0062,2.0107,8442.9239,16976.62822009
1650542400,2022-04-21 12:00:00,TXA/USDT,2.0094,2.011,2.0061,2.0106,41737.1509,83896.00450421
1650538800,2022-04-21 11:00:00,TXA/USDT,2.0109,2.0109,1.9977,2.0094,10401.8244,20901.32672736
1650535200,2022-04-21 10:00:00,TXA/USDT,2.0109,2.0109,2.0052,2.0109,11812.1044,23752.02263563
1650531600,2022-04-21 09:00:00,TXA/USDT,2.0108,2.0109,2.0072,2.0078,11618.1457,23361.48115283
1650528000,2022-04-21 08:00:00,TXA/USDT,2.0109,2.011,2.0106,2.0108,31346.2134,63032.25160851
1650524400,2022-04-21 07:00:00,TXA/USDT,2.0107,2.011,2.0079,2.011,37326.72875634,75055.82549289974
1650520800,2022-04-21 06:00:00,TXA/USDT,2.0109,2.0109,2.0076,2.0107,29944.0406,60210.54197998
1650517200,2022-04-21 05:00:00,TXA/USDT,2.0109,2.011,2.0076,2.0109,14167.01790467,28487.43538712137
1650513600,2022-04-21 04:00:00,TXA/USDT,2.0107,2.011,2.0065,2.0109,40624.9889635,81686.004976997838
1650510000,2022-04-21 03:00:00,TXA/USDT,2.0107,2.0108,1.998,2.0107,31072.7237,62477.06663384
1650506400,2022-04-21 02:00:00,TXA/USDT,2.0108,2.0109,2.0103,2.0107,29587.01178977,59490.871357108493
1650502800,2022-04-21 01:00:00,TXA/USDT,2.0108,2.0108,2.0105,2.0108,7409.0511,14897.66760936
1650499200,2022-04-21 00:00:00,TXA/USDT,2.0099,2.0109,1.9777,2.0108,16630.5177,33436.67480491
1650495600,2022-04-20 23:00:00,TXA/USDT,2.0099,2.0099,2.0075,2.0099,22032.0502,44281.25979545
1650492000,2022-04-20 22:00:00,TXA/USDT,2.0113,2.0124,2.0087,2.0099,15523.5087,31219.86937159
1650488400,2022-04-20 21:00:00,TXA/USDT,2.009,2.0113,2.0089,2.0113,13578.6824,27307.84561358
1650484800,2022-04-20 20:00:00,TXA/USDT,2.0085,2.0116,2.0068,2.009,10008.6079,20125.50725575
1650481200,2022-04-20 19:00:00,TXA/USDT,2.0089,2.0114,2.0047,2.0086,10220.7217,20547.61323033
1650477600,2022-04-20 18:00:00,TXA/USDT,2.0086,2.0089,2.0067,2.0089,8863.8997,17802.95300868
1650474000,2022-04-20 17:00:00,TXA/USDT,2.0088,2.0088,2.0042,2.0086,31129.1853,62515.7114692
1650470400,2022-04-20 16:00:00,TXA/USDT,2.0055,2.01,2.0054,2.0088,8127.5244,16320.83006389
1650466800,2022-04-20 15:00:00,TXA/USDT,1.9876,2.0077,1.9863,2.0055,10280.2717,20592.79702772
1650463200,2022-04-20 14:00:00,TXA/USDT,2.0111,2.0112,1.986,1.9998,20588.9059,41316.1750536
1650459600,2022-04-20 13:00:00,TXA/USDT,2.0104,2.0113,2.0058,2.0111,20691.8909,41609.23176188
1650456000,2022-04-20 12:00:00,TXA/USDT,2.0006,2.0104,2.0006,2.0102,21857.0077,43874.34082779
1650452400,2022-04-20 11:00:00,TXA/USDT,1.9282,2.0273,1.9279,2.0005,14315.94941652,28214.251926697585
1650448800,2022-04-20 10:00:00,TXA/USDT,1.9305,1.9322,1.928,1.9282,38865.521,74951.25690771
1650445200,2022-04-20 09:00:00,TXA/USDT,1.9282,1.9308,1.9282,1.9305,1062.3285,2050.90815528
1650441600,2022-04-20 08:00:00,TXA/USDT,1.97,1.9749,1.9179,1.9179,2799.0198,5431.90986218
1650438000,2022-04-20 07:00:00,TXA/USDT,1.9701,1.9701,1.97,1.97,14.303,28.17692612
1650434400,2022-04-20 06:00:00,TXA/USDT,1.9862,1.9862,1.965,1.965,1615.6158,3189.74166971
1650430800,2022-04-20 05:00:00,TXA/USDT,1.99,1.9921,1.9855,1.9921,196.005,390.32351986
1650427200,2022-04-20 04:00:00,TXA/USDT,1.99,1.99,1.99,1.99,0.3058,0.608542
1650423600,2022-04-20 03:00:00,TXA/USDT,1.9921,1.9925,1.9829,1.9855,4396.5304,8757.25165345
1650420000,2022-04-20 02:00:00,TXA/USDT,1.9924,1.9924,1.9873,1.9921,13686.4295,27264.95946011
1650416400,2022-04-20 01:00:00,TXA/USDT,1.9921,1.9924,1.9908,1.9924,41543.0999,82759.13692213
1650412800,2022-04-20 00:00:00,TXA/USDT,1.9921,1.9924,1.992,1.9921,20970.3924,41775.48037698
1650409200,2022-04-19 23:00:00,TXA/USDT,1.9921,1.9924,1.992,1.9921,17329.136,34522.0110818
1650405600,2022-04-19 22:00:00,TXA/USDT,1.9921,1.9923,1.992,1.9921,22361.43899408,44546.562931886176
1650402000,2022-04-19 21:00:00,TXA/USDT,1.9923,1.9946,1.9921,1.9921,11935.9774,23782.71305374
1650398400,2022-04-19 20:00:00,TXA/USDT,1.9921,1.9945,1.992,1.9923,21381.8944,42598.64579527
1650394800,2022-04-19 19:00:00,TXA/USDT,1.9922,1.9931,1.992,1.9921,6790.6884,13529.23821471
1650391200,2022-04-19 18:00:00,TXA/USDT,1.9921,1.9945,1.9921,1.9922,22208.7388,44249.86761548
1650387600,2022-04-19 17:00:00,TXA/USDT,1.9924,1.9963,1.9916,1.9921,11084.14886323,22081.193931176049
1650384000,2022-04-19 16:00:00,TXA/USDT,1.9919,1.997,1.9919,1.9924,1999.36931811,3984.04951257567
1650380400,2022-04-19 15:00:00,TXA/USDT,1.9923,1.9954,1.9919,1.9954,41.3023,82.28709336
1650376800,2022-04-19 14:00:00,TXA/USDT,2.005,2.0634,1.9726,1.994,389.7065,780.14065748
1650373200,2022-04-19 13:00:00,TXA/USDT,1.9842,2.0173,1.9804,1.9971,209.6317,418.19795535
1650369600,2022-04-19 12:00:00,TXA/USDT,1.9492,2.0104,1.9323,2.0004,6365.9679814,12546.38550924082
1650366000,2022-04-19 11:00:00,TXA/USDT,1.9492,1.9492,1.9492,1.9492,17.44305356,33.999999999152
1650362400,2022-04-19 10:00:00,TXA/USDT,1.9442,1.9475,1.9432,1.9475,262.37439845,510.647215691375
1650358800,2022-04-19 09:00:00,TXA/USDT,1.9448,1.9448,1.9445,1.9445,145.9407,283.79705532
1650355200,2022-04-19 08:00:00,TXA/USDT,1.9493,1.9493,1.9493,1.9493,43.6577,85.10195461
1650351600,2022-04-19 07:00:00,TXA/USDT,1.9448,1.9449,1.9448,1.9449,51.525,100.21091743
1650348000,2022-04-19 06:00:00,TXA/USDT,1.9297,1.9596,1.9297,1.9499,4044.6798,7865.50076567
1650344400,2022-04-19 05:00:00,TXA/USDT,1.9305,1.9328,1.9297,1.9297,17004.35,32834.12631765
1650340800,2022-04-19 04:00:00,TXA/USDT,1.932,1.9361,1.9299,1.9305,9241.6842,17846.08085339
1650337200,2022-04-19 03:00:00,TXA/USDT,1.9286,1.932,1.9285,1.932,150.23264771,289.72499529572
1650333600,2022-04-19 02:00:00,TXA/USDT,1.9328,1.9328,1.9328,1.9328,0,0
1650330000,2022-04-19 01:00:00,TXA/USDT,1.9285,1.9328,1.9285,1.9328,12.3223,23.81377955
1650326400,2022-04-19 00:00:00,TXA/USDT,1.9349,1.9596,1.9231,1.9281,513.2347,996.11429613
1650322800,2022-04-18 23:00:00,TXA/USDT,1.9305,1.9305,1.9305,1.9305,0.7117,1.37393685
1650319200,2022-04-18 22:00:00,TXA/USDT,1.9349,1.9349,1.9349,1.9349,0,0
1650315600,2022-04-18 21:00:00,TXA/USDT,1.9353,1.9353,1.9305,1.9349,8.3589,16.14259725
1650312000,2022-04-18 20:00:00,TXA/USDT,1.9554,1.9554,1.9287,1.9287,2323.6433,4505.560293
1650308400,2022-04-18 19:00:00,TXA/USDT,1.9554,1.9554,1.9554,1.9554,2.2,4.30188
1650304800,2022-04-18 18:00:00,TXA/USDT,1.9557,1.9557,1.9557,1.9557,0,0
1650301200,2022-04-18 17:00:00,TXA/USDT,1.9561,1.9561,1.9557,1.9557,71.2851,139.41632663
1650297600,2022-04-18 16:00:00,TXA/USDT,1.955,1.955,1.955,1.955,0,0
1650294000,2022-04-18 15:00:00,TXA/USDT,1.955,1.955,1.955,1.955,0,0
1650290400,2022-04-18 14:00:00,TXA/USDT,1.955,1.955,1.955,1.955,0,0
1650286800,2022-04-18 13:00:00,TXA/USDT,1.955,1.955,1.955,1.955,0,0
1650283200,2022-04-18 12:00:00,TXA/USDT,1.955,1.955,1.955,1.955,0.1044,0.204102
1650279600,2022-04-18 11:00:00,TXA/USDT,1.9538,1.9538,1.9538,1.9538,0.2256,0.44077728
1650276000,2022-04-18 10:00:00,TXA/USDT,1.9538,1.9538,1.9538,1.9538,1.072,2.0944736
1650272400,2022-04-18 09:00:00,TXA/USDT,1.9545,1.9545,1.9538,1.9538,26.0711,50.95587521
1650268800,2022-04-18 08:00:00,TXA/USDT,1.9531,1.9539,1.9531,1.9539,0.2769,0.54092131
1650265200,2022-04-18 07:00:00,TXA/USDT,1.9548,1.9548,1.9548,1.9548,72.2999,141.33184452
1650261600,2022-04-18 06:00:00,TXA/USDT,1.956,1.9604,1.9532,1.9541,308.8236,604.0421868
1650258000,2022-04-18 05:00:00,TXA/USDT,1.9645,1.9656,1.9493,1.9636,26729.10705697,52504.171119276292
1650254400,2022-04-18 04:00:00,TXA/USDT,1.966,1.9661,1.9528,1.9645,6965.7144,13685.30668521
1650250800,2022-04-18 03:00:00,TXA/USDT,1.9657,1.9662,1.9656,1.966,21673.7785,42606.78929163
1650247200,2022-04-18 02:00:00,TXA/USDT,1.9655,1.966,1.9655,1.9657,12341.495,24258.76131489
1650243600,2022-04-18 01:00:00,TXA/USDT,1.9653,1.9657,1.9652,1.9655,10450.1652,20539.36487115
1650240000,2022-04-18 00:00:00,TXA/USDT,1.9668,1.9688,1.9644,1.9653,7944.9784,15613.00044751
1650236400,2022-04-17 23:00:00,TXA/USDT,1.9666,1.9691,1.9665,1.9668,17177.39889816,33791.163290091456
1650232800,2022-04-17 22:00:00,TXA/USDT,1.9675,1.9691,1.9661,1.9666,17738.2969,34898.75558016
1650229200,2022-04-17 21:00:00,TXA/USDT,1.9671,1.9692,1.967,1.9674,7713.9378,15176.94709452
1650225600,2022-04-17 20:00:00,TXA/USDT,1.9671,1.969,1.9667,1.9671,8715.8129,17146.27474305
1650222000,2022-04-17 19:00:00,TXA/USDT,1.9659,1.9688,1.9659,1.9669,16190.5095,31842.6841987
1650218400,2022-04-17 18:00:00,TXA/USDT,1.9646,1.9686,1.9644,1.9659,7496.6915,14731.23696514
