https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ALBT,Volume USDT
1652832000,2022-05-18 00:00:00,ALBT/USDT,0.09335,0.09435,0.086,0.08606,1070046.14725598,96392.5100748370677
1652745600,2022-05-17 00:00:00,ALBT/USDT,0.0882,0.09608,0.08812,0.09335,1178000.59034339,109375.064871168783
1652659200,2022-05-16 00:00:00,ALBT/USDT,0.09473,0.09561,0.08751,0.08871,1062122.6619843,96722.4637821437701
1652572800,2022-05-15 00:00:00,ALBT/USDT,0.09186,0.09683,0.08861,0.0942,1476876.7947384,135205.4587233996514
1652486400,2022-05-14 00:00:00,ALBT/USDT,0.09015,0.093,0.08104,0.09236,1956135.18570595,169220.3792032673556
1652400000,2022-05-13 00:00:00,ALBT/USDT,0.082,0.10676,0.082,0.09079,2760351.58508651,257836.0752121643978
1652313600,2022-05-12 00:00:00,ALBT/USDT,0.09436,0.10135,0.07318,0.08206,6181309.46000054,507220.7196219940559
1652227200,2022-05-11 00:00:00,ALBT/USDT,0.12582,0.12658,0.08801,0.09393,4724474.89599958,501199.8461268985955
1652140800,2022-05-10 00:00:00,ALBT/USDT,0.12919,0.13899,0.11478,0.1256,1888732.03644429,240041.8316345059864
1652054400,2022-05-09 00:00:00,ALBT/USDT,0.14297,0.15088,0.1286,0.13009,1742338.32755952,241369.4079528224969
1651968000,2022-05-08 00:00:00,ALBT/USDT,0.15312,0.15463,0.14225,0.14241,840551.80644593,124692.8861725093347
1651881600,2022-05-07 00:00:00,ALBT/USDT,0.15306,0.157,0.15221,0.15235,433139.15580468,66531.4525984452923
1651795200,2022-05-06 00:00:00,ALBT/USDT,0.16134,0.16141,0.15228,0.15237,490555.23611364,76631.3683158832564
1651708800,2022-05-05 00:00:00,ALBT/USDT,0.17541,0.1759,0.1563,0.16093,995638.09929607,164120.6282747527597
1651622400,2022-05-04 00:00:00,ALBT/USDT,0.16228,0.18499,0.16135,0.17532,796847.3633292,134834.05972664023
1651536000,2022-05-03 00:00:00,ALBT/USDT,0.16496,0.16834,0.162,0.16218,523185.38528067,86485.2943939350296
1651449600,2022-05-02 00:00:00,ALBT/USDT,0.16597,0.16995,0.16011,0.16568,537707.36799624,88202.0215404221263
