https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume PDEX,Volume USDT
1654632000,2022-06-07 20:00:00,PDEX/USDT,1.8516,1.8711,1.8515,1.8708,5418.48029611,10096.431983876074
1654628400,2022-06-07 19:00:00,PDEX/USDT,1.8361,1.8518,1.8355,1.8516,6310.64036069,11619.180917853015
1654624800,2022-06-07 18:00:00,PDEX/USDT,1.8236,1.8392,1.8166,1.8362,5155.7990448,9412.86402359616
1654621200,2022-06-07 17:00:00,PDEX/USDT,1.8269,1.8345,1.8166,1.8237,4264.213255,7787.7589888075
1654617600,2022-06-07 16:00:00,PDEX/USDT,1.8212,1.8329,1.8179,1.8269,5957.95134487,10872.792228652223
1654614000,2022-06-07 15:00:00,PDEX/USDT,1.8256,1.8347,1.8209,1.8212,5429.05337706,9935.954184332086
1654610400,2022-06-07 14:00:00,PDEX/USDT,1.854,1.8581,1.77,1.8253,24185.6124339,43696.829601799662
1654606800,2022-06-07 13:00:00,PDEX/USDT,1.8671,1.8673,1.841,1.8541,4333.82651105,8057.28298513775
1654603200,2022-06-07 12:00:00,PDEX/USDT,1.8969,1.897,1.8409,1.867,8174.90175706,15187.346303475943
1654599600,2022-06-07 11:00:00,PDEX/USDT,1.9095,1.9189,1.8967,1.8969,5377.79091925,10240.5936318337
1654596000,2022-06-07 10:00:00,PDEX/USDT,1.8999,1.919,1.8998,1.9095,5332.67072059,10187.06045100221
1654592400,2022-06-07 09:00:00,PDEX/USDT,1.885,1.9269,1.8807,1.8998,8014.50808918,15293.019442573176
1654588800,2022-06-07 08:00:00,PDEX/USDT,1.8998,1.9,1.8614,1.8892,6069.51937941,11464.496826641332
1654585200,2022-06-07 07:00:00,PDEX/USDT,1.8967,1.9,1.8965,1.8997,5001.88685789,9490.540453711
1654581600,2022-06-07 06:00:00,PDEX/USDT,1.9158,1.924,1.893,1.8966,5492.29985605,10485.233695763802
1654578000,2022-06-07 05:00:00,PDEX/USDT,1.9032,1.916,1.9032,1.9062,4385.84656982,8363.317054690538
1654574400,2022-06-07 04:00:00,PDEX/USDT,1.8928,1.916,1.8838,1.9031,4997.77983777,9482.766600010768
1654570800,2022-06-07 03:00:00,PDEX/USDT,1.898,1.9021,1.8862,1.8929,5638.8375,10689.0601563
1654567200,2022-06-07 02:00:00,PDEX/USDT,1.9158,1.9158,1.8614,1.898,4544.52275602,8619.278494525708
1654563600,2022-06-07 01:00:00,PDEX/USDT,1.9282,1.9287,1.9062,1.909,4579.37201077,8791.494404393243
1654560000,2022-06-07 00:00:00,PDEX/USDT,1.9486,1.9586,1.9184,1.9282,5848.78451541,11334.684129192008
1654556400,2022-06-06 23:00:00,PDEX/USDT,1.9591,1.9653,1.9344,1.9486,5598.41472025,10938.512847547325
1654552800,2022-06-06 22:00:00,PDEX/USDT,1.9686,1.9686,1.959,1.9591,4621.91779965,9092.629952387846
1654549200,2022-06-06 21:00:00,PDEX/USDT,1.9623,1.9699,1.9592,1.9685,4226.4365,8304.456649413706
1654545600,2022-06-06 20:00:00,PDEX/USDT,1.959,1.9698,1.9589,1.9698,4908.8732604,9640.478127253848
1654542000,2022-06-06 19:00:00,PDEX/USDT,1.9679,1.9686,1.9588,1.9589,3746.04347666,7342.363786362876
1654538400,2022-06-06 18:00:00,PDEX/USDT,1.962,1.9685,1.9522,1.968,3691.11197592,7245.104644942737
1654534800,2022-06-06 17:00:00,PDEX/USDT,1.9605,1.9686,1.95,1.9619,6002.98315101,11757.382701410972
1654531200,2022-06-06 16:00:00,PDEX/USDT,1.967,1.9686,1.9501,1.9557,5506.1477245,10795.049368517416
1654527600,2022-06-06 15:00:00,PDEX/USDT,1.9817,2.0123,1.9654,1.9669,7925.0783321,15715.642796974827
1654524000,2022-06-06 14:00:00,PDEX/USDT,1.9969,2.0125,1.9721,1.9818,6473.412317,12930.889385306136
1654520400,2022-06-06 13:00:00,PDEX/USDT,2.0062,2.0228,1.9633,1.992,9459.25078279,18811.929909492986
1654516800,2022-06-06 12:00:00,PDEX/USDT,2.0264,2.0364,1.9995,2.0061,4761.06077935,9561.473734464136
1654513200,2022-06-06 11:00:00,PDEX/USDT,2.0271,2.0366,2.0094,2.0329,11970.94580767,24335.977480379188
1654509600,2022-06-06 10:00:00,PDEX/USDT,2.0297,2.0505,2.016,2.0296,6297.97660362,12802.582373814314
1654506000,2022-06-06 09:00:00,PDEX/USDT,2.033,2.033,2.0196,2.0295,4706.0878,9556.35052834
1654502400,2022-06-06 08:00:00,PDEX/USDT,2.0187,2.0434,2.0095,2.0331,5095.1609248,10358.517631019931
1654498800,2022-06-06 07:00:00,PDEX/USDT,2.0095,2.0195,2.0095,2.0188,2492.98467143,5018.228318232884
1654495200,2022-06-06 06:00:00,PDEX/USDT,2.0195,2.0585,1.9789,2.0095,8668.57066382,17506.786386791627
1654491600,2022-06-06 05:00:00,PDEX/USDT,2.0196,2.0199,1.9995,2.0095,5156.2319812,10382.393335933004
1654488000,2022-06-06 04:00:00,PDEX/USDT,2.0192,2.0331,2.0128,2.0296,4123.23956667,8350.866434763541
1654484400,2022-06-06 03:00:00,PDEX/USDT,2.0441,2.0441,1.9995,2.0192,5154.95509483,10417.76360841889
1654480800,2022-06-06 02:00:00,PDEX/USDT,2.0092,2.05,1.9996,2.0466,6196.65676248,12608.068778665464
1654477200,2022-06-06 01:00:00,PDEX/USDT,1.9882,2.0092,1.9857,1.9996,5179.09301862,10348.8082524091
1654473600,2022-06-06 00:00:00,PDEX/USDT,1.9885,1.9946,1.9881,1.9945,4232.05112956,8425.012232150376
1654470000,2022-06-05 23:00:00,PDEX/USDT,1.9882,1.9946,1.9881,1.9884,4717.55408604,9383.476485855384
1654466400,2022-06-05 22:00:00,PDEX/USDT,1.9951,1.9951,1.9881,1.9882,4372.90147518,8716.490132221618
1654462800,2022-06-05 21:00:00,PDEX/USDT,1.9876,1.9953,1.9856,1.9951,4072.05163207,8113.675238126064
1654459200,2022-06-05 20:00:00,PDEX/USDT,1.9872,1.9954,1.9872,1.9876,4476.26906522,8921.932754439988
1654455600,2022-06-05 19:00:00,PDEX/USDT,2.0468,2.0472,1.9858,1.9871,7367.29160409,14787.893699810233
1654452000,2022-06-05 18:00:00,PDEX/USDT,2.0288,2.0564,2.0026,2.0469,6743.53654404,13705.688833885253
1654448400,2022-06-05 17:00:00,PDEX/USDT,2.0194,2.0294,2.0002,2.0197,5860.56053018,11836.942261974526
1654444800,2022-06-05 16:00:00,PDEX/USDT,2.0127,2.0296,2.0003,2.0195,6184.00711493,12476.89039868993
1654441200,2022-06-05 15:00:00,PDEX/USDT,2.0256,2.061,2.0001,2.0127,7117.57363383,14441.759759489271
1654437600,2022-06-05 14:00:00,PDEX/USDT,2.0058,2.0331,1.9959,2.0326,5775.9825,11575.78520437
1654434000,2022-06-05 13:00:00,PDEX/USDT,2.0126,2.0194,1.9959,1.9961,5449.207,10910.410666
