https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MATIC3L,Volume USDT
1648425600,2022-03-28 00:00:00,MATIC3L/USDT,0.8341,0.9023,0.765,0.7761,983415.6603468,834868.928799069356
1648339200,2022-03-27 00:00:00,MATIC3L/USDT,0.7212,0.8341,0.7125,0.8331,773062.54794583,594240.326100248382
1648252800,2022-03-26 00:00:00,MATIC3L/USDT,0.6803,0.7257,0.6661,0.7198,431598.86657802,303458.749950770288
1648166400,2022-03-25 00:00:00,MATIC3L/USDT,0.7545,0.8005,0.6622,0.6807,847615.73138247,625670.521367115633
1648080000,2022-03-24 00:00:00,MATIC3L/USDT,0.6615,0.774,0.6478,0.7523,1081292.40144913,763808.291884242562
1647993600,2022-03-23 00:00:00,MATIC3L/USDT,0.6011,0.669,0.5874,0.6622,1009043.91922522,636290.520933139398
1647907200,2022-03-22 00:00:00,MATIC3L/USDT,0.5545,0.637,0.5499,0.6003,767768.91997327,465074.051157748147
1647820800,2022-03-21 00:00:00,MATIC3L/USDT,0.5559,0.593,0.5316,0.5546,449493.88024347,253287.599327550605
1647734400,2022-03-20 00:00:00,MATIC3L/USDT,0.636,0.6431,0.5501,0.5582,545734.59609422,319565.165273923984
1647648000,2022-03-19 00:00:00,MATIC3L/USDT,0.5998,0.6491,0.5998,0.6372,498985.79001909,311630.120746039756
1647561600,2022-03-18 00:00:00,MATIC3L/USDT,0.5428,0.6118,0.5119,0.5976,776661.91340683,430845.379226009297
1647475200,2022-03-17 00:00:00,MATIC3L/USDT,0.5694,0.5991,0.5304,0.5427,705650.44722455,393606.009460145189
1647388800,2022-03-16 00:00:00,MATIC3L/USDT,0.4765,0.571,0.4529,0.5702,1012775.32463046,516467.873839220459
1647302400,2022-03-15 00:00:00,MATIC3L/USDT,0.4765,0.5106,0.4306,0.4754,687363.43360192,322859.249314932257
1647216000,2022-03-14 00:00:00,MATIC3L/USDT,0.4579,0.4949,0.4305,0.479,830623.76303511,381184.959397744284
1647129600,2022-03-13 00:00:00,MATIC3L/USDT,0.4995,0.5239,0.4529,0.4614,738402.57567297,370074.648538538395
1647043200,2022-03-12 00:00:00,MATIC3L/USDT,0.5057,0.5453,0.496,0.4998,784860.07503512,409552.28830392141
1646956800,2022-03-11 00:00:00,MATIC3L/USDT,0.5437,0.5855,0.5052,0.5068,1475302.17834756,796154.279518302045
1646870400,2022-03-10 00:00:00,MATIC3L/USDT,0.6324,0.635,0.4994,0.5457,1548165.64976196,847909.539847117501
1646784000,2022-03-09 00:00:00,MATIC3L/USDT,0.5616,0.6824,0.561,0.6296,1333530.79949084,846916.313828441016
1646697600,2022-03-08 00:00:00,MATIC3L/USDT,0.5276,0.5983,0.5195,0.5636,1434223.10754339,809905.321677987353
1646611200,2022-03-07 00:00:00,MATIC3L/USDT,0.5558,0.6262,0.4851,0.5283,1377735.26601949,754378.54830559183
1646524800,2022-03-06 00:00:00,MATIC3L/USDT,0.647,0.6727,0.5517,0.5517,899755.74138122,548556.464663213866
1646438400,2022-03-05 00:00:00,MATIC3L/USDT,0.6083,0.67,0.5745,0.6489,1143108.77050747,707120.231301671344
1646352000,2022-03-04 00:00:00,MATIC3L/USDT,0.767,0.7709,0.574,0.6085,1729131.3012573,1154556.393973747014
1646265600,2022-03-03 00:00:00,MATIC3L/USDT,0.8484,0.8701,0.7044,0.7697,1482722.78713235,1162777.560339476344
1646179200,2022-03-02 00:00:00,MATIC3L/USDT,0.8305,0.9455,0.7662,0.8509,2270524.90023785,1944478.979145462584
