https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume FTT,Volume BTC
1654387200,2022-06-05 00:00:00,FTT/BTC,0.0008703,0.000877,0.0008658,0.0008724,174.18099483,0.151681709089658
1654300800,2022-06-04 00:00:00,FTT/BTC,0.0008756,0.0008771,0.0008646,0.0008699,696.56569673,0.604238363806789
1654214400,2022-06-03 00:00:00,FTT/BTC,0.0008921,0.0008924,0.0008732,0.0008737,720.14182508,0.634990024320578
1654128000,2022-06-02 00:00:00,FTT/BTC,0.0009036,0.0009052,0.0008862,0.0008924,731.54955044,0.65319298695776
1654041600,2022-06-01 00:00:00,FTT/BTC,0.0009108,0.0009121,0.0008983,0.0009052,2158.5511452,1.946636476334043
1653955200,2022-05-31 00:00:00,FTT/BTC,0.0009209,0.0009215,0.0009085,0.0009106,797.72450766,0.72875101732525
1653868800,2022-05-30 00:00:00,FTT/BTC,0.0009269,0.0009365,0.0009132,0.0009211,5876.86106183,5.439465077405937
1653782400,2022-05-29 00:00:00,FTT/BTC,0.0009347,0.0009347,0.0009249,0.0009267,273.52320289,0.253988246096059
1653696000,2022-05-28 00:00:00,FTT/BTC,0.0009222,0.0009356,0.0009209,0.0009341,954.33961778,0.886544321002944
1653609600,2022-05-27 00:00:00,FTT/BTC,0.0009428,0.0009428,0.0009196,0.0009219,2392.49843395,2.227391177463449
1653523200,2022-05-26 00:00:00,FTT/BTC,0.0009814,0.0009838,0.0009399,0.0009436,2494.54403517,2.378679292287221
1653436800,2022-05-25 00:00:00,FTT/BTC,0.0010089,0.0010089,0.0009469,0.0009804,1268.99488324,1.251505574594578
1653350400,2022-05-24 00:00:00,FTT/BTC,0.0010187,0.0010247,0.0009834,0.0010074,1175.13881067,1.174027257890273
1653264000,2022-05-23 00:00:00,FTT/BTC,0.0010168,0.0010228,0.0010099,0.0010189,1853.72915355,1.881666486912525
1653177600,2022-05-22 00:00:00,FTT/BTC,0.0010235,0.0010279,0.0010131,0.0010167,183.68819338,0.187906989972234
1653091200,2022-05-21 00:00:00,FTT/BTC,0.0010186,0.0010252,0.0010153,0.0010243,225.77680147,0.230368116072928
1653004800,2022-05-20 00:00:00,FTT/BTC,0.001023,0.0010242,0.0010131,0.0010179,949.22280898,0.965444417419162
1652918400,2022-05-19 00:00:00,FTT/BTC,0.0010308,0.0010804,0.0010158,0.0010215,5083.59532858,5.332304127421042
1652832000,2022-05-18 00:00:00,FTT/BTC,0.0010542,0.0010579,0.0010303,0.0010332,486.90860092,0.506277455704068
1652745600,2022-05-17 00:00:00,FTT/BTC,0.001065,0.0010706,0.0010489,0.0010546,359.4263,0.38022667271
1652659200,2022-05-16 00:00:00,FTT/BTC,0.0010418,0.0010805,0.0010385,0.0010649,1453.31018653,1.534992604428229
1652572800,2022-05-15 00:00:00,FTT/BTC,0.0010487,0.0010593,0.0010407,0.0010407,497.41707678,0.521482745981065
1652486400,2022-05-14 00:00:00,FTT/BTC,0.0010512,0.0010615,0.0010415,0.0010476,395.63450757,0.41582288530392
1652400000,2022-05-13 00:00:00,FTT/BTC,0.0010229,0.0010559,0.0010181,0.0010533,831.98190512,0.858213516531236
1652313600,2022-05-12 00:00:00,FTT/BTC,0.0010245,0.001054,0.0009834,0.0010209,5904.77085283,6.04034318811734
1652227200,2022-05-11 00:00:00,FTT/BTC,0.001066,0.0010718,0.0008739,0.0010266,12885.21016454,12.607198599320091
1652140800,2022-05-10 00:00:00,FTT/BTC,0.0010031,0.0010861,0.0009883,0.0010669,2180.62117144,2.261504814931421
1652054400,2022-05-09 00:00:00,FTT/BTC,0.0009946,0.0010163,0.0009762,0.0010057,2147.74293528,2.143535822059129
1651968000,2022-05-08 00:00:00,FTT/BTC,0.0009903,0.0009976,0.0009811,0.0009945,688.2041,0.68001656752
1651881600,2022-05-07 00:00:00,FTT/BTC,0.0009974,0.0009995,0.0009869,0.0009887,190.54527559,0.189063060849903
1651795200,2022-05-06 00:00:00,FTT/BTC,0.000991,0.0009992,0.0009852,0.000996,2151.92969216,2.131542445135234
1651708800,2022-05-05 00:00:00,FTT/BTC,0.0009975,0.0010051,0.0009864,0.0009908,2687.36870556,2.678560612920833
1651622400,2022-05-04 00:00:00,FTT/BTC,0.0010015,0.0010031,0.0009854,0.0009958,2010.8461,1.99511917574
1651536000,2022-05-03 00:00:00,FTT/BTC,0.0010158,0.0010181,0.0009996,0.001,1339.04183273,1.349696438121116
1651449600,2022-05-02 00:00:00,FTT/BTC,0.0010177,0.0010302,0.0010019,0.001015,2287.54015062,2.332051911235605
1651363200,2022-05-01 00:00:00,FTT/BTC,0.0010086,0.001021,0.0010066,0.0010176,1129.18183197,1.14273002847362
1651276800,2022-04-30 00:00:00,FTT/BTC,0.0010046,0.0010238,0.0010038,0.0010087,1370.4873,1.3864480885
1651190400,2022-04-29 00:00:00,FTT/BTC,0.0010024,0.0010154,0.0010021,0.001004,184.9802,0.186193549
1651104000,2022-04-28 00:00:00,FTT/BTC,0.0010059,0.0010223,0.0010031,0.0010031,1106.19449503,1.120242248246753
1651017600,2022-04-27 00:00:00,FTT/BTC,0.0010137,0.0010196,0.001006,0.0010093,1590.4408672,1.61018834384912
1650931200,2022-04-26 00:00:00,FTT/BTC,0.0010344,0.0010447,0.0010118,0.0010141,5966.9612,6.12636637953
1650844800,2022-04-25 00:00:00,FTT/BTC,0.0010338,0.0010522,0.0010312,0.0010355,5009.27704216,5.214037882043151
1650758400,2022-04-24 00:00:00,FTT/BTC,0.0010391,0.001051,0.0010294,0.0010334,1862.0060981,1.928069509498858
1650672000,2022-04-23 00:00:00,FTT/BTC,0.0010419,0.0010623,0.0010311,0.0010406,856.55119965,0.89310438373586
1650585600,2022-04-22 00:00:00,FTT/BTC,0.0010385,0.0010477,0.0010367,0.0010422,2582.33102825,2.691209498116252
1650499200,2022-04-21 00:00:00,FTT/BTC,0.0010335,0.0010951,0.0010322,0.0010396,6203.58450063,6.547368158319819
1650412800,2022-04-20 00:00:00,FTT/BTC,0.0010481,0.0010507,0.0010325,0.0010338,2895.76107648,3.015783421620896
