https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETH,Volume USDT
1659186000,2022-07-30 13:00:00,ETH/USDT,1719.25,1733.97,1719.25,1724.26,16.69744903,28790.743464467803
1659182400,2022-07-30 12:00:00,ETH/USDT,1705.65,1716.42,1705.28,1716.42,4.83425169,8297.6062857498
1659178800,2022-07-30 11:00:00,ETH/USDT,1687.98,1708.15,1687.98,1708.15,4.63215968,7912.4235573920005
1659175200,2022-07-30 10:00:00,ETH/USDT,1692.21,1692.21,1680.08,1686.43,12.56886818,21196.5163647974
1659171600,2022-07-30 09:00:00,ETH/USDT,1713.88,1713.88,1700.47,1703.55,7.21940019,12298.6091936745
1659168000,2022-07-30 08:00:00,ETH/USDT,1722.81,1722.81,1710.82,1715.96,6.12409769,10508.7066721324
1659164400,2022-07-30 07:00:00,ETH/USDT,1713.76,1714.55,1713.76,1714.55,1.89157088,3243.1928523039996
1659160800,2022-07-30 06:00:00,ETH/USDT,1707.21,1717.35,1707.03,1717.35,3.90280422,6702.480827217
1659157200,2022-07-30 05:00:00,ETH/USDT,1702.56,1709.30,1702.56,1709.30,3.77767841,6457.185706213
1659153600,2022-07-30 04:00:00,ETH/USDT,1704.60,1707.21,1691.16,1701.80,7.88112396,13412.096755128
1659150000,2022-07-30 03:00:00,ETH/USDT,1713.41,1713.41,1698.88,1705.32,7.43845483,12684.9457906956
1659146400,2022-07-30 02:00:00,ETH/USDT,1719.21,1719.21,1701.56,1710.11,10.15481244,17365.8463017684
1659142800,2022-07-30 01:00:00,ETH/USDT,1729.04,1729.04,1693.00,1694.43,24.31426291,41198.816502591304
1659139200,2022-07-30 00:00:00,ETH/USDT,1723.10,1729.85,1718.38,1729.85,13.25055845,22921.478534732498
1659135600,2022-07-29 23:00:00,ETH/USDT,1740.65,1764.12,1734.58,1734.58,12.69973355,22028.703821158997
1659132000,2022-07-29 22:00:00,ETH/USDT,1716.96,1740.30,1712.05,1740.30,15.81149357,27516.742259871
1659128400,2022-07-29 21:00:00,ETH/USDT,1722.73,1729.82,1705.06,1714.11,4.96750558,8514.850989733799
1659124800,2022-07-29 20:00:00,ETH/USDT,1736.82,1736.82,1718.73,1731.26,21.89316646,37902.7633655396
1659121200,2022-07-29 19:00:00,ETH/USDT,1725.94,1727.23,1713.57,1722.20,9.96647924,17164.270547128
1659117600,2022-07-29 18:00:00,ETH/USDT,1730.09,1733.13,1719.72,1727.48,8.73185846,15084.1108524808
1659114000,2022-07-29 17:00:00,ETH/USDT,1681.86,1704.04,1676.27,1704.04,12.20562921,20798.880399008398
