https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DOT,Volume BTC
1654646400000.0,2022-06-08 00:00:00,DOT/BTC,0.00029649,0.00030137,0.00029531,0.00029788,11081.529632738017,3.300966047
1654560000000.0,2022-06-07 00:00:00,DOT/BTC,0.00030277,0.0003086,0.00029354,0.00029649,30406.178036358728,9.015127726
1654473600000.0,2022-06-06 00:00:00,DOT/BTC,0.00031232,0.00031674,0.00030041,0.00030277,29891.377788420254,9.050212453
1654387200000.0,2022-06-05 00:00:00,DOT/BTC,0.00031609,0.00031737,0.00031179,0.00031232,5879.346695696721,1.83623756
1654300800000.0,2022-06-04 00:00:00,DOT/BTC,0.00031563,0.00031908,0.00030985,0.00031609,14114.773991584676,4.461538911
1654214400000.0,2022-06-03 00:00:00,DOT/BTC,0.00032459,0.00032529,0.00031151,0.00031563,11229.619975921172,3.544404953
1654128000000.0,2022-06-02 00:00:00,DOT/BTC,0.00031754,0.00032827,0.00031419,0.00032459,12060.892467420439,3.914845086
1654041600000.0,2022-06-01 00:00:00,DOT/BTC,0.00032586,0.0003371,0.00031469,0.00031754,28802.425924293002,9.145922328
1653955200000.0,2022-05-31 00:00:00,DOT/BTC,0.00032964,0.00033538,0.00031833,0.00032586,23090.7432670472,7.524349601
1653868800000.0,2022-05-30 00:00:00,DOT/BTC,0.00033863,0.00034617,0.00032908,0.00032964,17240.026862638028,5.683002455
1653782400000.0,2022-05-29 00:00:00,DOT/BTC,0.00033259,0.00034119,0.0003229,0.00033863,19596.88467649057,6.636093058
1653696000000.0,2022-05-28 00:00:00,DOT/BTC,0.00031846,0.00033626,0.00031341,0.00033259,52271.09452479028,17.384843328
1653609600000.0,2022-05-27 00:00:00,DOT/BTC,0.0003132,0.00034446,0.00029908,0.00031846,77823.86412736293,24.78378777
1653523200000.0,2022-05-26 00:00:00,DOT/BTC,0.00033398,0.00033628,0.00031113,0.0003132,39217.99995849297,12.283077587
1653436800000.0,2022-05-25 00:00:00,DOT/BTC,0.00034364,0.00034452,0.00033021,0.00033398,39947.212545661416,13.341570046
