https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ZEN,Volume USDT
1662724800,2022-09-09 12:00:00,ZEN/USDT,16.885,17.144,16.885,16.982,21.8464,371.8032265
1662721200,2022-09-09 11:00:00,ZEN/USDT,16.96,17.004,16.906,16.906,1.1002,18.645475
1662717600,2022-09-09 10:00:00,ZEN/USDT,17.012,17.086,16.875,16.875,298.7161,5041.0416375
1662714000,2022-09-09 09:00:00,ZEN/USDT,17.036,17.036,16.88,16.957,12.3836,209.236642
1662710400,2022-09-09 08:00:00,ZEN/USDT,16.721,17.22,16.721,16.982,66.5076,1129.127789
1662706800,2022-09-09 07:00:00,ZEN/USDT,16.559,16.726,16.559,16.726,59.5983,993.6848113
1662703200,2022-09-09 06:00:00,ZEN/USDT,16.463,16.55,16.436,16.525,131.3833,2160.7686633
1662699600,2022-09-09 05:00:00,ZEN/USDT,16.297,16.441,16.244,16.441,16.1716,263.8977353
1662696000,2022-09-09 04:00:00,ZEN/USDT,15.867,16.349,15.867,16.28,32.6755,524.4627302
1662692400,2022-09-09 03:00:00,ZEN/USDT,15.641,15.86,15.641,15.86,78.6665,1237.2746896
1662688800,2022-09-09 02:00:00,ZEN/USDT,15.658,15.697,15.59,15.59,0.421,6.5761933
1662685200,2022-09-09 01:00:00,ZEN/USDT,15.63,15.687,15.602,15.602,1.168,18.2954904
1662681600,2022-09-09 00:00:00,ZEN/USDT,15.463,15.633,15.463,15.58,38.377,599.2926412
1662678000,2022-09-08 23:00:00,ZEN/USDT,15.5,15.503,15.44,15.503,0.3233,5.002373
1662674400,2022-09-08 22:00:00,ZEN/USDT,15.515,15.515,15.491,15.491,0.175,2.7145442
1662670800,2022-09-08 21:00:00,ZEN/USDT,15.526,15.538,15.466,15.491,0.9975,15.4524599
1662667200,2022-09-08 20:00:00,ZEN/USDT,15.535,15.642,15.535,15.545,3.5612,55.4221696
1662663600,2022-09-08 19:00:00,ZEN/USDT,15.354,15.531,15.354,15.531,52.0095,804.5271283
1662660000,2022-09-08 18:00:00,ZEN/USDT,15.365,15.392,15.31,15.388,78.3844,1205.3184329
1662656400,2022-09-08 17:00:00,ZEN/USDT,15.224,15.365,15.224,15.289,5.975,91.1359144
1662652800,2022-09-08 16:00:00,ZEN/USDT,15.3,15.3,15.112,15.269,32.8096,499.695183
1662649200,2022-09-08 15:00:00,ZEN/USDT,15.377,15.44,15.3,15.3,333.085,5114.5355518
1662645600,2022-09-08 14:00:00,ZEN/USDT,15.133,15.377,15.023,15.377,23.3875,354.9559451
1662642000,2022-09-08 13:00:00,ZEN/USDT,14.881,15.164,14.8,15.164,16.946,252.176782
1662638400,2022-09-08 12:00:00,ZEN/USDT,15.063,15.076,14.887,14.887,21.7716,327.2122379
1662634800,2022-09-08 11:00:00,ZEN/USDT,15.111,15.111,15.04,15.049,0.3608,5.4409228
1662631200,2022-09-08 10:00:00,ZEN/USDT,14.996,15.164,14.996,15.089,17.0197,256.5713114
1662627600,2022-09-08 09:00:00,ZEN/USDT,14.953,14.969,14.88,14.88,0.1653,2.4716859
1662624000,2022-09-08 08:00:00,ZEN/USDT,14.855,14.93,14.855,14.93,0.893,13.3085107
1662620400,2022-09-08 07:00:00,ZEN/USDT,14.996,14.996,14.758,14.886,5.1138,75.9555364
1662616800,2022-09-08 06:00:00,ZEN/USDT,15.026,15.14,15.003,15.008,2.4946,37.5966112
1662613200,2022-09-08 05:00:00,ZEN/USDT,15.036,15.05,14.989,14.989,0.2066,3.1064436
1662609600,2022-09-08 04:00:00,ZEN/USDT,15.102,15.164,14.996,14.996,1.2801,19.2748908
1662606000,2022-09-08 03:00:00,ZEN/USDT,15.092,15.092,15.064,15.064,0.7677,11.584252
1662602400,2022-09-08 02:00:00,ZEN/USDT,14.996,15.077,14.996,15.077,1.1631,17.4788474
1662598800,2022-09-08 01:00:00,ZEN/USDT,14.943,14.981,14.921,14.959,9.2999,139.1667321
1662595200,2022-09-08 00:00:00,ZEN/USDT,14.96,15.032,14.868,14.878,1.5162,22.6722205
1662591600,2022-09-07 23:00:00,ZEN/USDT,14.99,15.034,14.868,14.868,92.9989,1391.0952941
1662588000,2022-09-07 22:00:00,ZEN/USDT,15.04,15.04,14.945,14.945,11.9527,178.7199064
1662584400,2022-09-07 21:00:00,ZEN/USDT,15.046,15.046,14.953,15.023,15.1172,226.5692252
1662580800,2022-09-07 20:00:00,ZEN/USDT,14.843,15.151,14.843,15.072,3.1025,46.4935327
1662577200,2022-09-07 19:00:00,ZEN/USDT,14.804,14.833,14.781,14.81,12.4509,184.268996
1662573600,2022-09-07 18:00:00,ZEN/USDT,14.8,14.804,14.758,14.758,55.6824,821.8467035
1662570000,2022-09-07 17:00:00,ZEN/USDT,14.753,14.8,14.685,14.8,0.4293,6.3319687
1662566400,2022-09-07 16:00:00,ZEN/USDT,14.767,14.785,14.674,14.687,47.3736,695.1819323
1662562800,2022-09-07 15:00:00,ZEN/USDT,14.723,14.723,14.674,14.707,4.9833,73.3662055
1662559200,2022-09-07 14:00:00,ZEN/USDT,14.641,14.778,14.626,14.712,2168.7142,31998.7549504
1662555600,2022-09-07 13:00:00,ZEN/USDT,14.515,14.719,14.515,14.641,25.8609,380.0313731
1662552000,2022-09-07 12:00:00,ZEN/USDT,14.411,14.499,14.358,14.499,75.2223,1083.5529183
1662548400,2022-09-07 11:00:00,ZEN/USDT,14.422,14.433,14.368,14.368,4.037,58.0971475
1662544800,2022-09-07 10:00:00,ZEN/USDT,14.563,14.563,14.422,14.466,14.1088,204.4917641
1662541200,2022-09-07 09:00:00,ZEN/USDT,14.563,14.564,14.516,14.535,0.8,11.6225684
1662537600,2022-09-07 08:00:00,ZEN/USDT,14.624,14.624,14.578,14.616,11.1915,163.1585528
1662534000,2022-09-07 07:00:00,ZEN/USDT,14.6,14.603,14.538,14.603,8.1179,118.2481904
1662530400,2022-09-07 06:00:00,ZEN/USDT,14.612,14.641,14.56,14.56,3.882,56.7340759
1662526800,2022-09-07 05:00:00,ZEN/USDT,14.56,14.612,14.518,14.538,117.3377,1710.5435606
1662523200,2022-09-07 04:00:00,ZEN/USDT,14.506,14.537,14.456,14.518,36.2409,525.6836894
1662519600,2022-09-07 03:00:00,ZEN/USDT,14.387,14.556,14.387,14.506,250.9468,3652.0228735
1662516000,2022-09-07 02:00:00,ZEN/USDT,14.48,14.48,14.269,14.358,53.2904,764.5648318
1662512400,2022-09-07 01:00:00,ZEN/USDT,14.6,14.6,14.474,14.559,21.1116,307.3308231
1662508800,2022-09-07 00:00:00,ZEN/USDT,14.516,14.612,14.42,14.6,100.3205,1455.2103436
1662505200,2022-09-06 23:00:00,ZEN/USDT,14.679,14.744,14.536,14.536,8.7618,128.4401206
1662501600,2022-09-06 22:00:00,ZEN/USDT,14.665,14.76,14.616,14.758,0.6003,8.8138387
1662498000,2022-09-06 21:00:00,ZEN/USDT,14.767,14.794,14.674,14.735,4.139,60.7827267
1662494400,2022-09-06 20:00:00,ZEN/USDT,14.86,14.86,14.686,14.857,8.8943,131.1308053
1662490800,2022-09-06 19:00:00,ZEN/USDT,14.913,15.003,14.78,14.866,204.1503,3039.1254039
1662487200,2022-09-06 18:00:00,ZEN/USDT,15.151,15.151,14.86,14.97,57.4322,861.534345
1662483600,2022-09-06 17:00:00,ZEN/USDT,16.255,16.255,15.12,15.212,120.928,1864.9651734
1662480000,2022-09-06 16:00:00,ZEN/USDT,16.307,16.374,16.224,16.352,1.4951,24.3603825
1662476400,2022-09-06 15:00:00,ZEN/USDT,16.345,16.371,16.28,16.306,0.3695,6.036427
1662472800,2022-09-06 14:00:00,ZEN/USDT,16.162,16.345,16.054,16.345,268.9548,4331.9337817
1662469200,2022-09-06 13:00:00,ZEN/USDT,16.492,16.492,16.169,16.169,122.8473,2024.6402615
1662465600,2022-09-06 12:00:00,ZEN/USDT,16.553,16.58,16.431,16.431,729.1771,12070.0928216
1662462000,2022-09-06 11:00:00,ZEN/USDT,16.511,16.562,16.473,16.553,110.6299,1829.2895094
1662458400,2022-09-06 10:00:00,ZEN/USDT,16.409,16.56,16.409,16.523,44.683,738.1949771
1662454800,2022-09-06 09:00:00,ZEN/USDT,16.426,16.468,16.255,16.4,28.9601,472.4911694
1662451200,2022-09-06 08:00:00,ZEN/USDT,16.468,16.496,16.459,16.459,3.2414,53.4269919
1662447600,2022-09-06 07:00:00,ZEN/USDT,16.409,16.512,16.402,16.418,1783.6367,29438.6894123
1662444000,2022-09-06 06:00:00,ZEN/USDT,16.415,16.415,16.415,16.415,0.1217,1.9977055
1662440400,2022-09-06 05:00:00,ZEN/USDT,16.255,16.441,16.255,16.38,2.073,33.9328362
1662436800,2022-09-06 04:00:00,ZEN/USDT,16.277,16.34,16.277,16.285,0.5631,9.1853779
1662433200,2022-09-06 03:00:00,ZEN/USDT,16.263,16.291,16.184,16.255,17.8042,288.6675223
1662429600,2022-09-06 02:00:00,ZEN/USDT,16.348,16.348,16.094,16.32,11.5891,187.826818
1662426000,2022-09-06 01:00:00,ZEN/USDT,16.48,16.537,16.371,16.371,18.7753,309.6922845
1662422400,2022-09-06 00:00:00,ZEN/USDT,16.077,16.846,16.075,16.481,90.2063,1490.396172
1662418800,2022-09-05 23:00:00,ZEN/USDT,15.926,16.147,15.926,16.005,34.3001,549.0374761
1662415200,2022-09-05 22:00:00,ZEN/USDT,15.81,15.92,15.81,15.92,128.6519,2042.7822817
