https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ARPA,Volume USDT
1660204800,2022-08-11 08:00:00,ARPA/USDT,0.044273,0.044775,0.044023,0.044645,104023.59813464,4590.24395893369928
1660201200,2022-08-11 07:00:00,ARPA/USDT,0.044599,0.044793,0.044002,0.044301,30034.79454348,1338.08995812833564
1660197600,2022-08-11 06:00:00,ARPA/USDT,0.044675,0.0447,0.044453,0.0446,100202.75733221,4476.12767966342093
1660194000,2022-08-11 05:00:00,ARPA/USDT,0.04478,0.044831,0.044538,0.044682,3361.19762426,150.06637503699779
1660190400,2022-08-11 04:00:00,ARPA/USDT,0.044592,0.044858,0.044498,0.044769,86640.22675996,3885.28505179993808
1660186800,2022-08-11 03:00:00,ARPA/USDT,0.044407,0.044713,0.04434,0.044649,9725.65855342,432.40165897444252
1660183200,2022-08-11 02:00:00,ARPA/USDT,0.044599,0.044645,0.044128,0.044388,2590.53968906,114.92479271799419
1660179600,2022-08-11 01:00:00,ARPA/USDT,0.0445,0.044906,0.044403,0.044551,2888.10909114,128.85272501636191
1660176000,2022-08-11 00:00:00,ARPA/USDT,0.044098,0.0445,0.044039,0.0445,28538.08260899,1262.44827432903422
1660172400,2022-08-10 23:00:00,ARPA/USDT,0.043825,0.044173,0.04378,0.044173,7110.65714385,312.74396317015579
1660168800,2022-08-10 22:00:00,ARPA/USDT,0.044106,0.044172,0.043798,0.043798,6132.90861001,269.47676927735
1660165200,2022-08-10 21:00:00,ARPA/USDT,0.044139,0.044248,0.0438,0.043986,42544.81375777,1879.95936479056804
1660161600,2022-08-10 20:00:00,ARPA/USDT,0.043691,0.044279,0.043691,0.044279,20821.56201232,916.06435498327006
1660158000,2022-08-10 19:00:00,ARPA/USDT,0.043574,0.043897,0.04356,0.043627,4503.49055493,196.77315690171649
1660154400,2022-08-10 18:00:00,ARPA/USDT,0.043856,0.044015,0.043448,0.043475,211703.52221257,9246.2598877566115
