https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BURGER,Volume USDT
1662588000,2022-09-07 22:00:00,BURGER/USDT,1.1105,1.1158,1.1038,1.1046,1511.5922133,1675.604376036085
1662584400,2022-09-07 21:00:00,BURGER/USDT,1.1161,1.1282,1.1096,1.1112,13713.39658308,15306.054146840856
1662580800,2022-09-07 20:00:00,BURGER/USDT,1.0924,1.1194,1.0868,1.1113,10506.3322858,11660.04792481694
1662577200,2022-09-07 19:00:00,BURGER/USDT,1.0985,1.1058,1.0927,1.0943,3071.3996363,3376.41401504993
1662573600,2022-09-07 18:00:00,BURGER/USDT,1.1005,1.1052,1.0929,1.0996,7466.2336,8198.19381773
1662570000,2022-09-07 17:00:00,BURGER/USDT,1.088,1.1064,1.0819,1.0964,7093.23228881,7780.339944101487
1662566400,2022-09-07 16:00:00,BURGER/USDT,1.0807,1.1646,1.0807,1.0917,27062.38692848,30181.049260891549
1662562800,2022-09-07 15:00:00,BURGER/USDT,1.0712,1.0802,1.0693,1.0802,5524.34855338,5937.679315442672
1662559200,2022-09-07 14:00:00,BURGER/USDT,1.0681,1.0732,1.0681,1.0711,3539.13089139,3789.661495587824
1662555600,2022-09-07 13:00:00,BURGER/USDT,1.0649,1.0722,1.0648,1.0681,3100.9011,3312.52639658
1662552000,2022-09-07 12:00:00,BURGER/USDT,1.0605,1.0646,1.06,1.0637,1848.8303,1963.35014838
1662548400,2022-09-07 11:00:00,BURGER/USDT,1.06,1.0711,1.06,1.0609,2950.6528,3143.38747173
1662544800,2022-09-07 10:00:00,BURGER/USDT,1.0655,1.0655,1.0541,1.0541,3766.6263,3988.10775661
1662541200,2022-09-07 09:00:00,BURGER/USDT,1.07,1.0732,1.0672,1.0692,3192.6734196,3415.19605570592
1662537600,2022-09-07 08:00:00,BURGER/USDT,1.0655,1.0711,1.0647,1.0701,3752.1377,4011.24690069
1662534000,2022-09-07 07:00:00,BURGER/USDT,1.0718,1.0721,1.0645,1.0651,2615.461,2791.63582408
1662530400,2022-09-07 06:00:00,BURGER/USDT,1.0589,1.0767,1.0555,1.0684,2665.17660838,2835.676428827102
1662526800,2022-09-07 05:00:00,BURGER/USDT,1.0646,1.0646,1.0555,1.06,711.23858979,752.73091906782
1662523200,2022-09-07 04:00:00,BURGER/USDT,1.0688,1.0698,1.0632,1.0663,1459.671,1554.95907498
1662519600,2022-09-07 03:00:00,BURGER/USDT,1.0439,1.0827,1.0439,1.0693,3082.73048023,3308.479390622929
1662516000,2022-09-07 02:00:00,BURGER/USDT,1.0521,1.0521,1.0373,1.0464,1479.22238406,1544.84075069849
1662512400,2022-09-07 01:00:00,BURGER/USDT,1.0545,1.0551,1.0523,1.053,1127.0973,1187.34494476
1662508800,2022-09-07 00:00:00,BURGER/USDT,1.0625,1.0666,1.0536,1.055,2673.4679,2829.92999729
1662505200,2022-09-06 23:00:00,BURGER/USDT,1.06,1.0778,1.06,1.0614,3453.86765342,3683.38573856953
1662501600,2022-09-06 22:00:00,BURGER/USDT,1.0596,1.0597,1.0534,1.0591,4984.9622,5258.36019419
1662498000,2022-09-06 21:00:00,BURGER/USDT,1.0611,1.0622,1.0529,1.0599,1477.72094305,1564.99479274856
1662494400,2022-09-06 20:00:00,BURGER/USDT,1.0549,1.0632,1.0437,1.0591,8107.28027551,8559.936472903393
1662490800,2022-09-06 19:00:00,BURGER/USDT,1.0776,1.0827,1.0437,1.0586,16513.10790727,17532.632186904653
1662487200,2022-09-06 18:00:00,BURGER/USDT,1.0861,1.0889,1.0736,1.0787,5583.13099526,6042.126194077167
1662483600,2022-09-06 17:00:00,BURGER/USDT,1.1248,1.1254,1.0736,1.0879,7999.97643875,8730.778440685474
