https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume RSR,Volume USDT
1648857600,2022-04-02 00:00:00,RSR/USDT,0.0207,0.02185,0.01936,0.01955,160613950.42971192,3332203.1875911971971
1648771200,2022-04-01 00:00:00,RSR/USDT,0.02053,0.0266,0.01962,0.02068,386552250.57468688,8208063.4297009815848
1648684800,2022-03-31 00:00:00,RSR/USDT,0.01845,0.0215,0.01762,0.02048,307850351.711566,5912488.2926898719833
1648598400,2022-03-30 00:00:00,RSR/USDT,0.0165,0.01907,0.01584,0.01847,184441826.21668034,3292156.3556887111159
1648512000,2022-03-29 00:00:00,RSR/USDT,0.01578,0.0188,0.01573,0.01652,187139912.97257886,3196090.2778406431094
1648425600,2022-03-28 00:00:00,RSR/USDT,0.0168,0.01757,0.01546,0.01578,93285100.39269824,1566656.6411390049052
1648339200,2022-03-27 00:00:00,RSR/USDT,0.01499,0.01808,0.01413,0.01678,148566113.35296247,2439395.0784970738691
1648252800,2022-03-26 00:00:00,RSR/USDT,0.01411,0.01501,0.01402,0.01498,22866026.37307399,331129.420867948323
1648166400,2022-03-25 00:00:00,RSR/USDT,0.01469,0.016,0.01397,0.01411,152613994.05750563,2311605.9333403794587
1648080000,2022-03-24 00:00:00,RSR/USDT,0.01458,0.01505,0.01425,0.01469,48684425.9931696,708964.6452153396047
1647993600,2022-03-23 00:00:00,RSR/USDT,0.01414,0.01545,0.01374,0.01455,60119969.87989465,865858.0992322411888
1647907200,2022-03-22 00:00:00,RSR/USDT,0.01376,0.01523,0.01346,0.01415,55259891.33276162,793940.615649507616
1647820800,2022-03-21 00:00:00,RSR/USDT,0.01315,0.01435,0.01283,0.01375,23707627.88862545,326030.2791797623526
1647734400,2022-03-20 00:00:00,RSR/USDT,0.01378,0.01384,0.01293,0.01312,14257197.39607338,189768.5932528036915
1647648000,2022-03-19 00:00:00,RSR/USDT,0.01335,0.0142,0.01331,0.01377,23988941.74947439,331836.9486260070126
1647561600,2022-03-18 00:00:00,RSR/USDT,0.01317,0.01388,0.01274,0.01339,22212858.67599657,290635.5018363825635
1647475200,2022-03-17 00:00:00,RSR/USDT,0.01375,0.01692,0.01309,0.01317,81754741.53755276,1163839.845966186335
1647388800,2022-03-16 00:00:00,RSR/USDT,0.01203,0.01412,0.01202,0.01375,47667854.92661146,632047.147261000118
1647302400,2022-03-15 00:00:00,RSR/USDT,0.01283,0.01284,0.01179,0.01203,21579520.71328044,263530.5502062314339
1647216000,2022-03-14 00:00:00,RSR/USDT,0.01165,0.01311,0.01158,0.01284,41990065.75382123,525529.5333235141315
1647129600,2022-03-13 00:00:00,RSR/USDT,0.012,0.01291,0.0108,0.01167,26191174.78670175,319694.8302700792969
1647043200,2022-03-12 00:00:00,RSR/USDT,0.01226,0.01263,0.01198,0.01201,16347201.53986149,200669.0376561049837
1646956800,2022-03-11 00:00:00,RSR/USDT,0.0121,0.01248,0.0116,0.01225,35047128.97137109,422295.5628364751255
1646870400,2022-03-10 00:00:00,RSR/USDT,0.01303,0.01308,0.01182,0.01211,34647484.15236688,423716.7251976195154
1646784000,2022-03-09 00:00:00,RSR/USDT,0.01212,0.01319,0.01212,0.01306,21696018.17640981,279288.0689460280651
1646697600,2022-03-08 00:00:00,RSR/USDT,0.0117,0.01226,0.01166,0.01216,20379230.80378471,245040.1478517498098
1646611200,2022-03-07 00:00:00,RSR/USDT,0.01154,0.01234,0.01112,0.01177,29460364.29529959,342621.6483219504354
1646524800,2022-03-06 00:00:00,RSR/USDT,0.0123,0.01291,0.01151,0.01158,16567559.83618721,197891.8351901735505
1646438400,2022-03-05 00:00:00,RSR/USDT,0.01183,0.01244,0.01151,0.01225,12580967.80573322,152188.7464894495551
1646352000,2022-03-04 00:00:00,RSR/USDT,0.01298,0.01303,0.0117,0.01186,27042877.23665109,334044.1468577676931
