https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume TIME,Volume USDT
1662724800,2022-09-09 12:00:00,TIME/USDT,57.703,57.838,57,57.838,9.6224,552.8616253
1662721200,2022-09-09 11:00:00,TIME/USDT,58.747,58.747,57.313,57.755,103.2449,5976.9473549
1662717600,2022-09-09 10:00:00,TIME/USDT,58.362,59.156,58.361,58.75,26.8522,1584.5081488
1662714000,2022-09-09 09:00:00,TIME/USDT,58.422,58.422,57.825,58.362,26.947,1559.7885153
1662710400,2022-09-09 08:00:00,TIME/USDT,58.429,58.429,57.879,58.422,9.6187,559.3561718
1662706800,2022-09-09 07:00:00,TIME/USDT,58.844,61.041,58.097,58.097,123.5372,7337.3988211
1662703200,2022-09-09 06:00:00,TIME/USDT,59.947,59.947,58.455,58.774,389.4363,22977.9783972
1662699600,2022-09-09 05:00:00,TIME/USDT,58.929,61.229,57.245,59.947,120.9646,7197.3377562
1662696000,2022-09-09 04:00:00,TIME/USDT,55.207,60,55.207,58.864,455.9397,26568.4955334
1662692400,2022-09-09 03:00:00,TIME/USDT,53.872,55.207,53.697,55.207,22.2337,1209.565583
1662688800,2022-09-09 02:00:00,TIME/USDT,53.547,54.98,53.547,53.872,165.1249,9014.3261177
1662685200,2022-09-09 01:00:00,TIME/USDT,53.75,53.774,53.144,53.145,1.9221,102.2980873
1662681600,2022-09-09 00:00:00,TIME/USDT,53.601,53.849,53.169,53.283,11.1831,595.7887472
1662678000,2022-09-08 23:00:00,TIME/USDT,54.069,54.1,53.601,54.1,0.7888,42.6674779
1662674400,2022-09-08 22:00:00,TIME/USDT,53.751,53.751,53.6,53.6,0.2674,14.3680074
1662670800,2022-09-08 21:00:00,TIME/USDT,53.871,54.132,53.75,53.75,0.6572,35.4264637
1662667200,2022-09-08 20:00:00,TIME/USDT,53.605,54.132,53.301,53.87,8.099,434.1412595
1662663600,2022-09-08 19:00:00,TIME/USDT,54.278,54.414,53.59,53.59,27.7943,1494.6377135
1662660000,2022-09-08 18:00:00,TIME/USDT,54.197,54.386,53.916,53.916,0.4547,24.6266469
1662656400,2022-09-08 17:00:00,TIME/USDT,54.979,54.979,53.854,53.854,12.8472,697.5186428
1662652800,2022-09-08 16:00:00,TIME/USDT,54.523,54.979,54.523,54.979,16.2722,894.4358563
1662649200,2022-09-08 15:00:00,TIME/USDT,54.974,54.981,54.21,54.967,32.4424,1767.661221
1662645600,2022-09-08 14:00:00,TIME/USDT,54.8,54.959,54.45,54.889,27.6238,1507.160291
1662642000,2022-09-08 13:00:00,TIME/USDT,54.8,54.847,54.213,54.847,3.6772,200.8374931
1662638400,2022-09-08 12:00:00,TIME/USDT,54.626,54.798,54.416,54.488,3.7742,206.1229673
1662634800,2022-09-08 11:00:00,TIME/USDT,54.698,54.847,54.278,54.756,6.0909,332.0436664
1662631200,2022-09-08 10:00:00,TIME/USDT,54.8,55.488,54.118,54.698,29.5763,1614.2947164
1662627600,2022-09-08 09:00:00,TIME/USDT,54.974,55.264,54.701,54.708,3.1056,170.6955871
1662624000,2022-09-08 08:00:00,TIME/USDT,54.299,54.945,54.299,54.945,15.7869,859.1917381
1662620400,2022-09-08 07:00:00,TIME/USDT,54.455,54.829,54.3,54.3,7.8417,426.0100063
1662616800,2022-09-08 06:00:00,TIME/USDT,54.85,54.856,54.285,54.468,3.3494,182.7210274
1662613200,2022-09-08 05:00:00,TIME/USDT,55.263,55.264,55.263,55.263,0.4501,24.873914
1662609600,2022-09-08 04:00:00,TIME/USDT,55.081,55.233,54.81,54.848,65.1096,3586.8873157
1662606000,2022-09-08 03:00:00,TIME/USDT,54.938,55.088,54.626,55.088,42.9899,2361.8682761
1662602400,2022-09-08 02:00:00,TIME/USDT,55.179,55.496,54.583,54.583,41.6678,2288.2304037
1662598800,2022-09-08 01:00:00,TIME/USDT,55.129,55.546,54.959,55.546,8.8156,485.1996638
1662595200,2022-09-08 00:00:00,TIME/USDT,56.396,56.396,55.129,55.129,15.0156,834.3153362
1662591600,2022-09-07 23:00:00,TIME/USDT,56.464,56.885,56.396,56.396,14.1226,799.0905097
1662588000,2022-09-07 22:00:00,TIME/USDT,55.252,56.451,54.982,56.45,55.0415,3084.5706308
1662584400,2022-09-07 21:00:00,TIME/USDT,54.415,55.497,54.415,55.254,34.6799,1906.3547913
1662580800,2022-09-07 20:00:00,TIME/USDT,54.212,55.376,53.87,54.415,68.8947,3788.0099219
1662577200,2022-09-07 19:00:00,TIME/USDT,54.414,54.414,53.591,53.85,4.7723,257.9122432
1662573600,2022-09-07 18:00:00,TIME/USDT,54.358,55.091,54.113,54.413,16.7466,914.4335523
1662570000,2022-09-07 17:00:00,TIME/USDT,54.075,54.357,53.849,54.357,12.8239,696.3152762
1662566400,2022-09-07 16:00:00,TIME/USDT,53.583,54.127,53.583,53.59,7.2668,390.6589258
1662562800,2022-09-07 15:00:00,TIME/USDT,53.928,54.109,53.584,53.584,5.2961,285.4521417
1662559200,2022-09-07 14:00:00,TIME/USDT,54.588,55,52.896,53.939,414.1138,22055.2753284
1662555600,2022-09-07 13:00:00,TIME/USDT,54.387,54.5,54.151,54.224,6.8552,372.4422924
1662552000,2022-09-07 12:00:00,TIME/USDT,54.15,54.387,54.15,54.174,3.4265,185.8529498
1662548400,2022-09-07 11:00:00,TIME/USDT,54.279,54.279,53.395,54.213,29.0585,1570.6697848
1662544800,2022-09-07 10:00:00,TIME/USDT,54.83,55,54.28,54.28,24.8086,1358.4081875
1662541200,2022-09-07 09:00:00,TIME/USDT,55,55,54,54.795,91.976,4997.1032457
1662537600,2022-09-07 08:00:00,TIME/USDT,55.83,55.864,54.698,55,341.8543,18834.1219154
1662534000,2022-09-07 07:00:00,TIME/USDT,56.4,56.4,55.322,55.824,27.2615,1515.727205
