https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1550102400,2019-02-14 00:00:00,LTC/USDT,41.99,42.411368,41.872705,42.270258,12.635279,535.02600304
1550098800,2019-02-13 23:00:00,LTC/USDT,41.931601,41.931601,41.931601,41.931601,1.794,75.22529219
1550095200,2019-02-13 22:00:00,LTC/USDT,41.611313,41.95935,41.521911,41.879075,82.770272,3442.32586022
1550091600,2019-02-13 21:00:00,LTC/USDT,41.579538,41.626909,41.579538,41.626909,2.1122,87.91904216
1550088000,2019-02-13 20:00:00,LTC/USDT,41.219132,41.496952,41.219132,41.496952,1.295,53.46073284
1550084400,2019-02-13 19:00:00,LTC/USDT,41.662425,41.662425,41.219132,41.219132,11.278877,465.02674898
1550080800,2019-02-13 18:00:00,LTC/USDT,41.85884,41.85884,41.7,41.7,12.017717,502.79280919
1550073600,2019-02-13 16:00:00,LTC/USDT,41.265735,41.888047,41.265735,41.888047,1.142395,47.22424405
1550070000,2019-02-13 15:00:00,LTC/USDT,41.799948,41.819002,40,40.954755,42.669827,1766.18189255
1550066400,2019-02-13 14:00:00,LTC/USDT,42.22507,42.22507,42,42.190579,0.803203,33.75921468
1550055600,2019-02-13 11:00:00,LTC/USDT,42.3,42.460536,42.3,42.460536,0.042255,1.78817971
1550052000,2019-02-13 10:00:00,LTC/USDT,42.615356,42.615356,42.3,42.61,3.531865,150.22408692
1550048400,2019-02-13 09:00:00,LTC/USDT,43.286305,43.346623,43.286305,43.346623,0.538539,23.34049921
1550044800,2019-02-13 08:00:00,LTC/USDT,43.521509,43.521509,43.356661,43.356665,0.996341,43.24482886
1550041200,2019-02-13 07:00:00,LTC/USDT,43.819692,43.819692,43.224357,43.768822,3.44703,149.26168534
1550037600,2019-02-13 06:00:00,LTC/USDT,43.889331,44.453781,43.839585,43.839585,1.143027,50.73901232
1550034000,2019-02-13 05:00:00,LTC/USDT,44.170932,44.170932,44.170932,44.170932,0.382751,16.90646839
1550030400,2019-02-13 04:00:00,LTC/USDT,44.1,44.251373,43.81969,44.191033,259.271735,11384.83126036
1550026800,2019-02-13 03:00:00,LTC/USDT,43.851743,43.851744,43.812956,43.819689,1.020465,44.71949648
1550023200,2019-02-13 02:00:00,LTC/USDT,43.948242,44.020133,43.948242,44.020133,0.004443,0.1953721
1550019600,2019-02-13 01:00:00,LTC/USDT,44.351869,44.351869,43.620737,43.620737,0.159858,7.02395061
1550016000,2019-02-13 00:00:00,LTC/USDT,44.038539,44.038539,44.038539,44.038539,0.006418,0.28263934
1550012400,2019-02-12 23:00:00,LTC/USDT,43.778882,44.342411,43.730159,43.730159,46.165244,2043.47879375
1550005200,2019-02-12 21:00:00,LTC/USDT,43.958959,44.512715,43.396138,43.620745,60.927894,2687.64939123
1550001600,2019-02-12 20:00:00,LTC/USDT,43.682104,43.682104,43.682104,43.682104,0.010597,0.46289926
1549998000,2019-02-12 19:00:00,LTC/USDT,44.211124,44.211124,44.030169,44.030172,25.276287,1113.34828058
1549994400,2019-02-12 18:00:00,LTC/USDT,43.6821,44.390493,43.6821,44.390493,7.483539,330.24867439
1549990800,2019-02-12 17:00:00,LTC/USDT,42.914448,43.386805,42.914448,43.386805,0.121678,5.22898016
1549987200,2019-02-12 16:00:00,LTC/USDT,43.03558,43.053717,43.03558,43.053717,0.644864,27.76362235
1549983600,2019-02-12 15:00:00,LTC/USDT,42.785135,42.785136,42.6821,42.6821,8.718212,372.99196553
1549980000,2019-02-12 14:00:00,LTC/USDT,43.101458,43.101458,42.880026,42.880029,10.012727,430.84891879
1549976400,2019-02-12 13:00:00,LTC/USDT,43.58553,43.58553,43.58553,43.58553,0.35,15.2549355
1549972800,2019-02-12 12:00:00,LTC/USDT,43.101461,43.101461,43.101461,43.101461,0.013799,0.59475706
1549969200,2019-02-12 11:00:00,LTC/USDT,43.5,43.5,43.477297,43.477297,0.860656,37.42786402
1549965600,2019-02-12 10:00:00,LTC/USDT,43.003973,43.507458,43.003973,43.507458,10.02,430.91491401
1549962000,2019-02-12 09:00:00,LTC/USDT,43.396871,43.396871,43.216821,43.216821,21.167009,914.79235846
1549958400,2019-02-12 08:00:00,LTC/USDT,43.636763,43.636763,43.396826,43.396866,13,566.55822219
1549954800,2019-02-12 07:00:00,LTC/USDT,43.62809,43.62809,43.62809,43.62809,0.00455,0.19850781
1549951200,2019-02-12 06:00:00,LTC/USDT,43.798816,43.798816,43.798816,43.798816,2,87.597632
1549947600,2019-02-12 05:00:00,LTC/USDT,43.770011,43.770014,43.770011,43.770011,5.747432,251.5651632
1549944000,2019-02-12 04:00:00,LTC/USDT,43.869337,43.869349,43.869337,43.869349,10.49212,460.2824576
1549940400,2019-02-12 03:00:00,LTC/USDT,43.520087,43.99756,43.520087,43.99756,14.662391,644.61345883
1549936800,2019-02-12 02:00:00,LTC/USDT,42.81274,43.420087,42.81274,43.420087,28.750805,1244.86077978
1549933200,2019-02-12 01:00:00,LTC/USDT,42.615356,42.944521,42.615356,42.944521,13.248984,564.70459601
1549929600,2019-02-12 00:00:00,LTC/USDT,42.281402,42.6,42.281402,42.6,16.244437,691.75823239
1549926000,2019-02-11 23:00:00,LTC/USDT,42.775181,42.9,42.775181,42.9,0.396291,16.9965251
1549922400,2019-02-11 22:00:00,LTC/USDT,43.154073,43.377778,43.154073,43.377778,24.013322,1039.31813329
1549918800,2019-02-11 21:00:00,LTC/USDT,42.816348,42.816348,42.816348,42.816348,0.254102,10.87971966
1549911600,2019-02-11 19:00:00,LTC/USDT,42.545858,42.816348,42.427016,42.816348,1.584802,67.51120641
1549904400,2019-02-11 17:00:00,LTC/USDT,42.666756,43.004831,42.666756,43.004831,1.750582,75.12501075
1549900800,2019-02-11 16:00:00,LTC/USDT,43.034989,43.034989,41.830153,41.830153,12.607758,539.88004669
1549897200,2019-02-11 15:00:00,LTC/USDT,44.01384,44.01384,42.14847,43.165676,60.089523,2567.46070889
1549893600,2019-02-11 14:00:00,LTC/USDT,44.593133,44.593133,44.028592,44.048487,48.087046,2117.28262176
1549890000,2019-02-11 13:00:00,LTC/USDT,44.562898,44.640992,44.562898,44.640992,0.381531,17.02440374
1549886400,2019-02-11 12:00:00,LTC/USDT,44.301616,44.301616,44.177808,44.177808,0.714831,31.66794833
