https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume COMB,Volume USDT
1655078400,2022-06-13 00:00:00,COMB/USDT,0.000858,0.000889,0.00071,0.000766,101060045.31512274,80225.49540365273165
1654992000,2022-06-12 00:00:00,COMB/USDT,0.000817,0.000975,0.000796,0.000859,85700506.48282103,72761.5582834936329
1654905600,2022-06-11 00:00:00,COMB/USDT,0.000973,0.000973,0.0008,0.000815,119081722.4496829,103196.49742331305227
1654819200,2022-06-10 00:00:00,COMB/USDT,0.001039,0.001039,0.00097,0.000973,58250207.26380407,57834.65570216434802
1654732800,2022-06-09 00:00:00,COMB/USDT,0.000965,0.001064,0.000957,0.001038,88815074.04727408,87832.52538002924902
1654646400,2022-06-08 00:00:00,COMB/USDT,0.000989,0.001026,0.000961,0.000967,67336223.52560143,66201.04291033982842
1654560000,2022-06-07 00:00:00,COMB/USDT,0.000973,0.001543,0.000902,0.000989,428989422.0073052,495724.36787629166523
1654473600,2022-06-06 00:00:00,COMB/USDT,0.000993,0.001067,0.000938,0.000973,330554390.95580783,327082.88626639887475
1654387200,2022-06-05 00:00:00,COMB/USDT,0.001052,0.001062,0.00096,0.000996,322350861.60408007,322979.11155273073486
1654300800,2022-06-04 00:00:00,COMB/USDT,0.001027,0.0012,0.000944,0.001051,389608729.33696303,404314.69465130492455
1654214400,2022-06-03 00:00:00,COMB/USDT,0.000961,0.001384,0.000885,0.001025,640638666.96321487,692634.6745668528806
1654128000,2022-06-02 00:00:00,COMB/USDT,0.000782,0.0012,0.000781,0.000956,505253973.47713769,455998.90414348883952
1654041600,2022-06-01 00:00:00,COMB/USDT,0.000893,0.000898,0.000778,0.000783,313690015.28488523,262974.53623778345859
1653955200,2022-05-31 00:00:00,COMB/USDT,0.000941,0.000942,0.000875,0.000894,317516241.18283814,287395.34639183290644
1653868800,2022-05-30 00:00:00,COMB/USDT,0.000897,0.000958,0.000826,0.000938,421261173.9798636,373537.95695696852868
1653782400,2022-05-29 00:00:00,COMB/USDT,0.00083,0.001032,0.00081,0.000897,619590134.59355766,550401.83020331570136
1653696000,2022-05-28 00:00:00,COMB/USDT,0.00115,0.00129,0.0008,0.000831,827585203.27370164,773562.03348221547772
1653609600,2022-05-27 00:00:00,COMB/USDT,0.000707,0.001661,0.000681,0.00116,1015347983.25296969,932829.69629282687413
1653523200,2022-05-26 00:00:00,COMB/USDT,0.000914,0.000986,0.000701,0.000704,601660749.19475068,501718.28698594378096
1653436800,2022-05-25 00:00:00,COMB/USDT,0.000964,0.000994,0.00087,0.000914,561830678.74145526,518344.95732148021526
1653350400,2022-05-24 00:00:00,COMB/USDT,0.001028,0.001088,0.000949,0.000968,509292117.26671243,517755.62760368908399
1653264000,2022-05-23 00:00:00,COMB/USDT,0.001158,0.001186,0.001001,0.00103,530245488.37402197,564671.31540324613005
1653177600,2022-05-22 00:00:00,COMB/USDT,0.001383,0.001424,0.001,0.001153,667435145.16320508,770336.80292982632975
1653091200,2022-05-21 00:00:00,COMB/USDT,0.000714,0.002416,0.00069,0.001383,1368529703.79489146,2076095.30982908815363
