https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DERO,Volume USDT
1651104000,2022-04-28 00:00:00,DERO/USDT,12.59859,12.89946,12.45,12.65829,8267.88472996,104898.4299876125758
1651017600,2022-04-27 00:00:00,DERO/USDT,12.53681,13.19905,12.5,12.58295,15859.40585782,202491.0752812479096
1650931200,2022-04-26 00:00:00,DERO/USDT,13.59547,14.19999,12.5,12.50192,21245.80721113,283278.3418569472342
1650844800,2022-04-25 00:00:00,DERO/USDT,13.64016,13.7195,12.68332,13.59547,22039.50811698,290264.5300477010761
1650758400,2022-04-24 00:00:00,DERO/USDT,13.17884,13.96147,13.13734,13.64016,15740.96629071,212877.8082245405775
1650672000,2022-04-23 00:00:00,DERO/USDT,13.61536,14.16507,13.1066,13.1141,25189.08298328,343121.108958993966
1650585600,2022-04-22 00:00:00,DERO/USDT,12.52462,14,12.4188,13.61759,24206.2008462,316942.081048213751
1650499200,2022-04-21 00:00:00,DERO/USDT,13.1526,13.55866,12.53245,12.53245,26655.78123826,347412.388903070349
1650412800,2022-04-20 00:00:00,DERO/USDT,13.43821,14.86,12.9019,13.15354,38426.43201095,517587.9670942837794
1650326400,2022-04-19 00:00:00,DERO/USDT,11.82207,13.9,11.78401,13.43834,48699.50674545,618698.2187710990831
1650240000,2022-04-18 00:00:00,DERO/USDT,11.14522,11.9,10.6597,11.83034,14576.34667488,162510.8069286122796
1650153600,2022-04-17 00:00:00,DERO/USDT,10.30831,11.49999,10.18643,11.14619,20567.43277953,223580.0328841424088
1650067200,2022-04-16 00:00:00,DERO/USDT,10.00672,10.49999,9.94301,10.29773,6743.10246164,68230.1773980423567
1649980800,2022-04-15 00:00:00,DERO/USDT,10.07826,10.198,9.8261,10.00672,5696.18824078,56898.9316338216181
1649894400,2022-04-14 00:00:00,DERO/USDT,10.3332,10.4999,10.0001,10.12281,10374.5243143,105976.8634370148328
1649808000,2022-04-13 00:00:00,DERO/USDT,10.02844,10.4465,9.7825,10.34064,5732.28015203,57794.0402628321162
1649721600,2022-04-12 00:00:00,DERO/USDT,9.84395,10.19999,9.7638,10.02844,12010.1063763,120011.5984553342652
1649635200,2022-04-11 00:00:00,DERO/USDT,10.55141,10.61489,9.7545,9.75772,18505.4814189,187134.2130902145074
1649548800,2022-04-10 00:00:00,DERO/USDT,10.74517,10.87869,10.40185,10.55411,8885.44916888,94798.7364607818713
1649462400,2022-04-09 00:00:00,DERO/USDT,11.16309,11.40869,10.19999,10.74517,15047.26305434,160784.2611832145752
1649376000,2022-04-08 00:00:00,DERO/USDT,11.18006,11.83862,10.91071,11.166,16271.24125569,183782.767434670774
1649289600,2022-04-07 00:00:00,DERO/USDT,10.70666,11.85,10.55,11.1944,13540.13983286,148062.5570988204346
1649203200,2022-04-06 00:00:00,DERO/USDT,11.14453,12.10625,10.6251,10.70907,17842.85140101,199177.6864870603937
1649116800,2022-04-05 00:00:00,DERO/USDT,11.37638,11.87408,11.0253,11.13695,17845.93469221,204413.1168547120312
1649030400,2022-04-04 00:00:00,DERO/USDT,11.62485,11.8971,11.08538,11.36949,25200.57756278,287670.7762348934853
1648944000,2022-04-03 00:00:00,DERO/USDT,12.04598,12.2466,11.22224,11.63983,22215.11189978,258803.2522320527898
1648857600,2022-04-02 00:00:00,DERO/USDT,12.89482,13,11.83673,11.96251,15077.59413391,185999.8430198061525
1648771200,2022-04-01 00:00:00,DERO/USDT,11.84871,12.89483,11.62122,12.88,16807.10398515,202703.6556951456782
1648684800,2022-03-31 00:00:00,DERO/USDT,11.84843,12.34998,11.53,11.78373,27737.96508218,327608.2234323861498
1648598400,2022-03-30 00:00:00,DERO/USDT,12.13964,12.15863,11.67713,11.76058,19015.89145254,228031.1885650603071
1648512000,2022-03-29 00:00:00,DERO/USDT,12.27779,12.85768,12.00984,12.13964,18550.09303129,232288.3804066957777
1648425600,2022-03-28 00:00:00,DERO/USDT,12.09432,12.56282,11.40466,12.27779,31999.9641403,387162.0065449151028
1648339200,2022-03-27 00:00:00,DERO/USDT,11.8733,12.17394,11.6313,12.17393,14088.6662585,167995.1408802658633
